# event_ticker=KXATPMATCH-26APR24CERHAN
# final_score=6-1 7-5
# match_winner=Francisco Cerundolo
# fav_player=Francisco Cerundolo
# dog_player=Yannick Hanfmann
# kalshi_date=2026-04-24
timestamp,Francisco Cerundolo,Yannick Hanfmann
2026-04-24T21:45:00Z,72.00,
2026-04-24T21:49:00Z,72.00,
2026-04-24T21:50:00Z,72.00,
2026-04-24T22:04:00Z,72.00,30.00
2026-04-24T22:12:00Z,72.00,30.00
2026-04-24T22:15:00Z,70.00,30.00
2026-04-24T22:19:00Z,72.00,30.00
2026-04-24T22:21:00Z,72.00,30.00
2026-04-24T22:40:00Z,72.00,30.00
2026-04-24T22:41:00Z,70.00,30.00
2026-04-24T22:54:00Z,70.00,30.00
2026-04-24T23:01:00Z,72.00,30.00
2026-04-24T23:04:00Z,72.00,30.00
2026-04-24T23:29:00Z,72.00,30.00
2026-04-24T23:34:00Z,72.00,30.00
2026-04-24T23:51:00Z,72.00,30.00
2026-04-24T23:53:00Z,72.00,30.00
2026-04-25T00:01:00Z,72.00,30.00
2026-04-25T00:07:00Z,72.00,28.00
2026-04-25T00:18:00Z,72.00,30.00
2026-04-25T00:52:00Z,72.00,30.00
2026-04-25T00:55:00Z,72.00,30.00
2026-04-25T01:13:00Z,72.00,30.00
2026-04-25T01:20:00Z,72.00,30.00
2026-04-25T01:22:00Z,72.00,30.00
2026-04-25T01:30:00Z,72.00,30.00
2026-04-25T01:36:00Z,70.11,30.00
2026-04-25T01:39:00Z,72.00,30.00
2026-04-25T01:46:00Z,72.00,30.00
2026-04-25T02:01:00Z,72.00,30.00
2026-04-25T02:08:00Z,70.00,30.00
2026-04-25T02:12:00Z,72.00,30.00
2026-04-25T02:17:00Z,72.00,30.00
2026-04-25T02:30:00Z,72.00,29.00
2026-04-25T02:32:00Z,72.00,29.00
2026-04-25T02:33:00Z,72.00,29.00
2026-04-25T02:50:00Z,72.00,29.00
2026-04-25T02:53:00Z,72.00,29.00
2026-04-25T02:56:00Z,72.00,29.00
2026-04-25T02:57:00Z,72.00,29.00
2026-04-25T02:58:00Z,72.00,29.00
2026-04-25T03:04:00Z,72.00,29.00
2026-04-25T03:05:00Z,72.00,29.00
2026-04-25T03:09:00Z,72.00,29.00
2026-04-25T03:14:00Z,72.00,29.00
2026-04-25T03:16:00Z,72.00,29.00
2026-04-25T03:17:00Z,72.00,29.00
2026-04-25T03:20:00Z,72.00,29.00
