# event_ticker=KXATPCHALLENGERMATCH-26MAR27MEDMUL
# final_score=6-2 6-2
# score_resolution=2-6 2-6
# match_winner=Hamad Medjedovic
# fav_player=Alexandre Muller
# dog_player=Hamad Medjedovic
# kalshi_date=2026-03-27
timestamp,Alexandre Muller,Hamad Medjedovic
2026-03-27T02:33:00Z,41.00,
2026-03-27T03:12:00Z,41.00,61.00
2026-03-27T03:22:00Z,41.00,61.00
2026-03-27T03:48:00Z,41.00,61.00
2026-03-27T03:55:00Z,41.00,61.00
2026-03-27T04:12:00Z,41.00,61.00
2026-03-27T04:21:00Z,41.00,61.00
2026-03-27T04:26:00Z,41.00,60.00
2026-03-27T04:27:00Z,41.00,58.00
2026-03-27T04:50:00Z,41.00,60.00
2026-03-27T04:59:00Z,41.00,60.00
2026-03-27T05:00:00Z,41.00,60.00
2026-03-27T05:02:00Z,41.00,60.00
2026-03-27T05:28:00Z,41.00,58.00
2026-03-27T05:37:00Z,41.00,59.00
2026-03-27T05:42:00Z,42.06,59.00
2026-03-27T05:45:00Z,42.06,59.00
2026-03-27T05:48:00Z,42.06,59.00
2026-03-27T05:54:00Z,43.00,59.00
2026-03-27T05:55:00Z,43.00,59.00
2026-03-27T06:07:00Z,43.62,59.00
2026-03-27T06:16:00Z,43.90,59.00
2026-03-27T06:19:00Z,44.00,59.00
2026-03-27T06:21:00Z,43.00,59.00
2026-03-27T06:24:00Z,44.00,59.00
2026-03-27T07:06:00Z,44.00,59.00
2026-03-27T07:10:00Z,44.00,59.00
2026-03-27T07:27:00Z,44.00,59.00
2026-03-27T08:04:00Z,44.00,59.00
2026-03-27T08:12:00Z,44.00,59.00
2026-03-27T08:21:00Z,44.00,59.00
2026-03-27T08:22:00Z,44.00,58.00
2026-03-27T08:34:00Z,44.00,58.00
2026-03-27T08:43:00Z,45.00,58.00
2026-03-27T09:01:00Z,45.00,58.00
2026-03-27T09:16:00Z,45.00,58.00
2026-03-27T09:24:00Z,45.00,58.00
2026-03-27T09:29:00Z,45.00,58.00
2026-03-27T09:32:00Z,45.00,58.00
2026-03-27T10:22:00Z,45.00,58.00
2026-03-27T10:23:00Z,45.00,58.00
2026-03-27T10:26:00Z,43.00,58.00
2026-03-27T10:29:00Z,44.00,58.00
2026-03-27T10:37:00Z,44.00,58.00
2026-03-27T10:44:00Z,44.00,58.00
2026-03-27T10:49:00Z,44.00,58.00
2026-03-27T10:55:00Z,44.00,58.00
2026-03-27T10:56:00Z,44.00,58.00
2026-03-27T10:59:00Z,44.00,58.00
2026-03-27T11:01:00Z,44.00,58.00
