# event_ticker=KXATPMATCH-25AUG19BAECAR
# final_score=7-5 6-2
# score_resolution=5-7 2-6
# match_winner=Sebastian Baez
# fav_player=Pablo Carreno Busta
# dog_player=Sebastian Baez
# kalshi_date=2025-08-19
timestamp,Pablo Carreno Busta,Sebastian Baez
2025-08-19T12:46:00Z,70.00,
2025-08-19T13:02:00Z,70.00,
2025-08-19T13:26:00Z,70.00,38.00
2025-08-19T13:28:00Z,67.00,38.00
2025-08-19T14:05:00Z,67.00,38.00
2025-08-19T14:22:00Z,67.00,34.00
2025-08-19T15:41:00Z,67.00,34.00
2025-08-19T16:15:00Z,67.00,34.00
2025-08-19T16:23:00Z,67.00,34.05
2025-08-19T16:30:00Z,67.97,34.05
2025-08-19T16:52:00Z,67.00,34.05
2025-08-19T16:59:00Z,67.00,34.00
2025-08-19T17:35:00Z,67.00,34.00
2025-08-19T17:56:00Z,68.24,31.00
2025-08-19T18:06:00Z,69.00,31.00
2025-08-19T18:13:00Z,68.00,31.00
2025-08-19T19:08:00Z,68.00,32.00
2025-08-19T19:19:00Z,68.00,34.00
2025-08-19T19:42:00Z,68.00,35.29
2025-08-19T19:45:00Z,66.48,35.29
2025-08-19T19:48:00Z,66.48,32.00
2025-08-19T20:01:00Z,66.48,32.00
2025-08-19T20:07:00Z,69.00,32.00
2025-08-19T20:22:00Z,69.00,32.00
2025-08-19T20:28:00Z,69.00,32.00
2025-08-19T20:41:00Z,69.00,34.00
2025-08-19T20:45:00Z,69.00,34.00
2025-08-19T20:47:00Z,69.00,34.00
2025-08-19T20:59:00Z,69.00,34.00
2025-08-19T21:05:00Z,68.00,34.00
2025-08-19T21:12:00Z,68.00,34.00
2025-08-19T21:13:00Z,68.00,34.00
2025-08-19T21:21:00Z,68.00,34.00
2025-08-19T21:27:00Z,68.00,34.00
2025-08-19T21:30:00Z,68.00,34.00
2025-08-19T21:31:00Z,68.00,34.00
2025-08-19T21:53:00Z,68.00,34.00
2025-08-19T21:55:00Z,68.00,34.00
2025-08-19T22:02:00Z,68.00,35.84
2025-08-19T22:05:00Z,68.00,35.00
2025-08-19T22:06:00Z,67.00,36.04
2025-08-19T22:07:00Z,67.00,36.00
2025-08-19T22:08:00Z,67.00,36.00
2025-08-19T22:09:00Z,67.00,35.00
2025-08-19T22:10:00Z,67.89,34.65
2025-08-19T22:11:00Z,66.00,36.95
2025-08-19T22:12:00Z,69.00,34.01
2025-08-19T22:13:00Z,69.00,32.13
2025-08-19T22:14:00Z,69.00,31.69
2025-08-19T22:15:00Z,69.00,31.00
2025-08-19T22:16:00Z,69.00,33.27
2025-08-19T22:17:00Z,75.65,23.70
2025-08-19T22:18:00Z,78.00,24.69
2025-08-19T22:19:00Z,78.00,28.00
2025-08-19T22:20:00Z,71.43,26.62
2025-08-19T22:21:00Z,76.12,28.94
2025-08-19T22:22:00Z,72.00,29.91
2025-08-19T22:23:00Z,70.44,30.78
2025-08-19T22:24:00Z,70.44,28.83
2025-08-19T22:25:00Z,70.44,31.36
2025-08-19T22:26:00Z,72.00,30.00
2025-08-19T22:27:00Z,72.00,30.00
2025-08-19T22:28:00Z,73.00,30.00
2025-08-19T22:29:00Z,73.00,24.85
2025-08-19T22:30:00Z,81.00,22.07
2025-08-19T22:31:00Z,79.00,19.20
2025-08-19T22:32:00Z,82.13,19.20
2025-08-19T22:33:00Z,79.00,22.00
2025-08-19T22:34:00Z,79.00,29.67
2025-08-19T22:35:00Z,71.52,32.00
2025-08-19T22:36:00Z,70.00,32.00
2025-08-19T22:37:00Z,69.00,31.00
2025-08-19T22:38:00Z,74.00,31.00
2025-08-19T22:39:00Z,68.00,32.69
2025-08-19T22:40:00Z,66.00,35.71
2025-08-19T22:41:00Z,66.97,32.00
2025-08-19T22:42:00Z,61.00,39.96
2025-08-19T22:43:00Z,63.00,36.76
2025-08-19T22:44:00Z,63.00,36.00
2025-08-19T22:45:00Z,57.19,39.02
2025-08-19T22:46:00Z,57.19,38.00
2025-08-19T22:49:00Z,57.19,34.51
2025-08-19T22:50:00Z,70.08,28.50
2025-08-19T22:51:00Z,69.00,34.71
2025-08-19T22:52:00Z,75.00,25.00
2025-08-19T22:53:00Z,72.00,28.00
2025-08-19T22:54:00Z,72.00,30.00
2025-08-19T22:55:00Z,70.00,30.96
2025-08-19T22:56:00Z,67.04,32.00
2025-08-19T22:57:00Z,67.04,36.00
2025-08-19T22:58:00Z,58.04,40.83
2025-08-19T22:59:00Z,58.04,34.50
2025-08-19T23:01:00Z,58.04,31.37
2025-08-19T23:02:00Z,77.09,31.37
2025-08-19T23:03:00Z,69.00,30.00
2025-08-19T23:04:00Z,75.50,25.25
2025-08-19T23:05:00Z,75.50,31.64
2025-08-19T23:06:00Z,80.00,23.00
2025-08-19T23:07:00Z,76.00,24.09
2025-08-19T23:08:00Z,76.00,24.24
2025-08-19T23:09:00Z,73.71,29.68
2025-08-19T23:10:00Z,66.00,38.64
2025-08-19T23:11:00Z,65.00,35.42
2025-08-19T23:12:00Z,43.06,52.60
2025-08-19T23:14:00Z,44.00,55.50
2025-08-19T23:15:00Z,54.77,49.40
2025-08-19T23:16:00Z,62.95,38.06
2025-08-19T23:17:00Z,52.35,47.22
2025-08-19T23:18:00Z,50.35,53.10
2025-08-19T23:19:00Z,50.35,61.09
2025-08-19T23:20:00Z,50.35,62.00
2025-08-19T23:21:00Z,35.85,62.00
2025-08-19T23:22:00Z,35.85,61.00
2025-08-19T23:23:00Z,35.85,61.00
2025-08-19T23:24:00Z,35.46,62.00
2025-08-19T23:25:00Z,38.00,64.45
2025-08-19T23:26:00Z,30.00,63.61
2025-08-19T23:27:00Z,30.00,70.00
2025-08-19T23:28:00Z,35.10,70.00
2025-08-19T23:29:00Z,35.10,64.88
2025-08-19T23:30:00Z,31.00,68.85
2025-08-19T23:31:00Z,27.09,76.86
2025-08-19T23:32:00Z,17.01,82.64
2025-08-19T23:33:00Z,14.95,88.04
2025-08-19T23:34:00Z,18.01,83.98
2025-08-19T23:35:00Z,14.08,86.66
2025-08-19T23:36:00Z,19.39,83.91
2025-08-19T23:37:00Z,19.39,80.97
2025-08-19T23:38:00Z,22.07,81.00
2025-08-19T23:39:00Z,22.07,84.02
2025-08-19T23:40:00Z,21.00,84.70
2025-08-19T23:41:00Z,25.00,77.48
2025-08-19T23:42:00Z,20.26,84.56
2025-08-19T23:43:00Z,7.03,86.35
2025-08-19T23:44:00Z,16.00,85.85
2025-08-19T23:45:00Z,17.53,83.65
2025-08-19T23:46:00Z,18.00,82.72
2025-08-19T23:47:00Z,17.00,85.62
2025-08-19T23:48:00Z,16.26,87.14
2025-08-19T23:49:00Z,10.95,90.92
2025-08-19T23:50:00Z,11.71,91.98
2025-08-19T23:51:00Z,8.34,93.94
2025-08-19T23:52:00Z,1.00,98.50
2025-08-19T23:53:00Z,1.00,98.21
2025-08-19T23:54:00Z,1.00,99.00
2025-08-19T23:55:00Z,1.00,99.00
