# event_ticker=KXATPMATCH-25NOV01STRLAJ
# final_score=6-4 6-2
# score_resolution=4-6 2-6
# match_winner=Jan-Lennard Struff
# fav_player=Mark Lajal
# dog_player=Jan-Lennard Struff
# kalshi_date=2025-11-01
timestamp,Mark Lajal,Jan-Lennard Struff
2025-11-01T09:15:00Z,55.00,61.00
2025-11-01T09:39:00Z,55.00,62.00
2025-11-01T09:46:00Z,55.00,61.00
2025-11-01T10:05:00Z,55.00,61.00
2025-11-01T10:26:00Z,40.00,61.00
2025-11-01T10:32:00Z,40.00,61.00
2025-11-01T10:42:00Z,40.00,61.00
2025-11-01T10:45:00Z,40.00,61.00
2025-11-01T10:46:00Z,40.00,61.00
2025-11-01T10:48:00Z,40.00,61.00
2025-11-01T10:50:00Z,40.00,61.00
2025-11-01T10:56:00Z,40.00,61.00
2025-11-01T10:57:00Z,40.00,61.00
2025-11-01T11:01:00Z,40.00,61.00
2025-11-01T11:05:00Z,40.00,61.00
2025-11-01T11:08:00Z,40.00,61.86
2025-11-01T11:24:00Z,40.00,62.00
2025-11-01T11:28:00Z,39.00,62.00
2025-11-01T11:36:00Z,39.00,62.00
2025-11-01T11:38:00Z,39.00,62.00
2025-11-01T11:42:00Z,39.00,61.00
2025-11-01T11:44:00Z,39.00,62.00
2025-11-01T11:52:00Z,39.00,62.00
2025-11-01T12:15:00Z,39.00,62.00
2025-11-01T12:18:00Z,39.00,62.00
2025-11-01T12:34:00Z,39.00,62.00
2025-11-01T12:36:00Z,39.00,62.00
2025-11-01T12:39:00Z,39.00,62.00
2025-11-01T12:40:00Z,39.00,62.00
2025-11-01T12:46:00Z,39.00,66.82
2025-11-01T12:50:00Z,33.00,79.83
2025-11-01T12:53:00Z,33.00,75.00
2025-11-01T12:54:00Z,33.00,75.00
2025-11-01T12:59:00Z,38.00,75.00
2025-11-01T13:02:00Z,25.00,78.00
2025-11-01T13:03:00Z,38.00,78.00
2025-11-01T13:05:00Z,22.92,80.00
2025-11-01T13:07:00Z,37.85,83.00
2025-11-01T13:09:00Z,21.00,83.00
2025-11-01T13:11:00Z,21.00,75.00
2025-11-01T13:17:00Z,21.00,74.00
2025-11-01T13:24:00Z,21.00,72.00
2025-11-01T13:27:00Z,43.00,61.24
2025-11-01T13:30:00Z,43.00,72.00
2025-11-01T13:31:00Z,43.00,72.00
2025-11-01T13:34:00Z,43.00,72.00
2025-11-01T13:35:00Z,43.00,72.00
2025-11-01T13:37:00Z,37.00,72.00
2025-11-01T13:42:00Z,37.00,72.00
2025-11-01T13:43:00Z,47.73,62.73
2025-11-01T13:44:00Z,49.55,60.00
2025-11-01T13:45:00Z,49.55,69.99
2025-11-01T13:46:00Z,36.00,65.00
2025-11-01T13:47:00Z,45.98,63.99
2025-11-01T13:48:00Z,37.92,66.00
2025-11-01T13:49:00Z,43.91,64.00
2025-11-01T13:50:00Z,44.66,64.00
2025-11-01T13:51:00Z,44.66,64.00
2025-11-01T13:52:00Z,44.66,65.00
2025-11-01T13:53:00Z,44.66,61.79
2025-11-01T13:54:00Z,25.00,67.00
2025-11-01T13:55:00Z,42.00,68.61
2025-11-01T13:57:00Z,35.00,68.61
2025-11-01T13:58:00Z,35.00,74.19
2025-11-01T14:00:00Z,35.00,75.00
2025-11-01T14:02:00Z,39.00,74.46
2025-11-01T14:03:00Z,39.00,74.00
2025-11-01T14:05:00Z,35.02,70.00
2025-11-01T14:06:00Z,37.94,70.00
2025-11-01T14:07:00Z,38.00,70.00
2025-11-01T14:08:00Z,42.00,70.00
2025-11-01T14:09:00Z,37.00,70.00
2025-11-01T14:11:00Z,38.00,73.93
2025-11-01T14:12:00Z,37.81,64.69
2025-11-01T14:13:00Z,39.09,74.00
2025-11-01T14:14:00Z,42.12,65.00
2025-11-01T14:15:00Z,42.12,66.00
2025-11-01T14:16:00Z,42.12,67.52
2025-11-01T14:17:00Z,39.00,71.35
2025-11-01T14:18:00Z,22.05,75.00
2025-11-01T14:19:00Z,24.04,75.36
2025-11-01T14:20:00Z,18.44,84.74
2025-11-01T14:21:00Z,11.81,91.82
2025-11-01T14:22:00Z,10.00,89.00
2025-11-01T14:23:00Z,10.00,91.13
2025-11-01T14:24:00Z,10.99,89.52
2025-11-01T14:25:00Z,11.00,89.36
2025-11-01T14:26:00Z,11.00,89.36
2025-11-01T14:27:00Z,10.07,94.91
2025-11-01T14:28:00Z,8.87,94.91
2025-11-01T14:29:00Z,12.00,93.00
2025-11-01T14:30:00Z,14.00,90.88
2025-11-01T14:31:00Z,15.76,86.63
2025-11-01T14:32:00Z,19.94,86.48
2025-11-01T14:33:00Z,15.64,87.41
2025-11-01T14:34:00Z,16.87,85.00
2025-11-01T14:35:00Z,14.00,86.00
2025-11-01T14:36:00Z,14.00,87.53
2025-11-01T14:37:00Z,12.90,89.00
2025-11-01T14:38:00Z,11.58,91.00
2025-11-01T14:39:00Z,10.04,93.67
2025-11-01T14:40:00Z,9.82,90.00
2025-11-01T14:41:00Z,10.81,94.94
2025-11-01T14:42:00Z,9.00,89.02
2025-11-01T14:43:00Z,9.66,90.65
2025-11-01T14:44:00Z,9.66,90.64
2025-11-01T14:45:00Z,10.19,90.64
2025-11-01T14:46:00Z,6.18,95.98
2025-11-01T14:47:00Z,8.95,91.70
2025-11-01T14:48:00Z,9.00,90.14
2025-11-01T14:49:00Z,10.63,90.03
2025-11-01T14:50:00Z,9.53,90.03
2025-11-01T14:51:00Z,10.00,92.24
2025-11-01T14:52:00Z,9.91,92.24
2025-11-01T14:53:00Z,9.87,91.30
2025-11-01T14:54:00Z,9.47,92.19
2025-11-01T14:55:00Z,10.62,92.19
2025-11-01T14:56:00Z,10.96,92.00
2025-11-01T14:57:00Z,11.00,91.77
2025-11-01T14:58:00Z,11.00,90.50
2025-11-01T14:59:00Z,10.30,90.82
2025-11-01T15:00:00Z,10.87,96.78
2025-11-01T15:01:00Z,13.00,90.00
