# event_ticker=KXATPMATCH-25JUL21GASGOM
# final_score=6-3 6-4
# score_resolution=3-6 4-6
# match_winner=Norbert Gombos
# fav_player=Hugo Gaston
# dog_player=Norbert Gombos
# kalshi_date=2025-07-21
timestamp,Hugo Gaston,Norbert Gombos
2025-07-21T06:57:00Z,,40.00
2025-07-21T12:01:00Z,,37.00
2025-07-21T12:13:00Z,65.00,33.50
2025-07-21T14:39:00Z,64.73,33.50
2025-07-21T14:44:00Z,65.00,33.50
2025-07-21T15:16:00Z,65.00,33.50
2025-07-21T18:08:00Z,64.00,33.50
2025-07-21T18:20:00Z,65.00,39.00
2025-07-21T18:21:00Z,75.00,39.00
2025-07-21T18:27:00Z,61.20,39.00
2025-07-21T18:30:00Z,61.20,43.00
2025-07-21T18:32:00Z,61.20,75.00
2025-07-21T18:33:00Z,44.00,75.00
2025-07-21T18:34:00Z,44.00,75.00
2025-07-21T18:35:00Z,42.00,59.00
2025-07-21T18:36:00Z,42.00,60.78
2025-07-21T18:37:00Z,41.00,60.78
2025-07-21T18:38:00Z,42.00,60.78
2025-07-21T18:39:00Z,42.00,58.00
2025-07-21T18:41:00Z,42.00,68.00
2025-07-21T18:42:00Z,50.00,68.00
2025-07-21T18:43:00Z,56.00,46.00
2025-07-21T18:44:00Z,56.00,46.00
2025-07-21T18:45:00Z,50.16,45.00
2025-07-21T18:47:00Z,46.00,54.05
2025-07-21T18:48:00Z,46.00,62.15
2025-07-21T18:49:00Z,40.00,65.21
2025-07-21T18:50:00Z,40.00,57.92
2025-07-21T18:51:00Z,40.00,77.09
2025-07-21T18:54:00Z,40.00,81.00
2025-07-21T18:57:00Z,21.24,81.00
2025-07-21T18:58:00Z,21.24,77.00
2025-07-21T18:59:00Z,51.70,77.00
2025-07-21T19:00:00Z,42.07,61.00
2025-07-21T19:01:00Z,37.00,66.11
2025-07-21T19:02:00Z,33.00,69.01
2025-07-21T19:03:00Z,29.00,71.07
2025-07-21T19:04:00Z,29.00,71.07
2025-07-21T19:05:00Z,29.00,71.93
2025-07-21T19:06:00Z,33.33,69.00
2025-07-21T19:08:00Z,33.33,70.07
2025-07-21T19:09:00Z,33.33,71.40
2025-07-21T19:10:00Z,29.82,76.16
2025-07-21T19:11:00Z,36.07,74.00
2025-07-21T19:12:00Z,39.51,70.00
2025-07-21T19:13:00Z,28.27,74.26
2025-07-21T19:14:00Z,26.03,74.38
2025-07-21T19:15:00Z,26.37,77.51
2025-07-21T19:16:00Z,29.87,78.27
2025-07-21T19:17:00Z,31.17,80.00
2025-07-21T19:18:00Z,16.00,81.00
2025-07-21T19:19:00Z,15.08,85.07
2025-07-21T19:20:00Z,18.19,79.98
2025-07-21T19:21:00Z,29.79,79.98
2025-07-21T19:22:00Z,23.18,79.00
2025-07-21T19:23:00Z,18.12,83.84
2025-07-21T19:24:00Z,20.03,80.20
2025-07-21T19:25:00Z,19.27,82.67
2025-07-21T19:26:00Z,17.41,83.28
2025-07-21T19:27:00Z,19.91,81.36
2025-07-21T19:28:00Z,14.00,87.05
2025-07-21T19:29:00Z,11.72,89.89
2025-07-21T19:30:00Z,1.04,98.05
2025-07-21T19:31:00Z,10.57,87.19
2025-07-21T19:32:00Z,17.99,84.56
2025-07-21T19:33:00Z,16.00,84.39
2025-07-21T19:34:00Z,13.00,88.59
2025-07-21T19:35:00Z,11.00,90.94
2025-07-21T19:36:00Z,5.54,93.15
2025-07-21T19:37:00Z,15.33,91.00
2025-07-21T19:38:00Z,12.00,90.00
2025-07-21T19:39:00Z,12.00,87.18
2025-07-21T19:40:00Z,13.00,88.59
2025-07-21T19:41:00Z,14.51,96.00
2025-07-21T19:43:00Z,14.51,98.15
2025-07-21T19:44:00Z,2.00,99.00
2025-07-21T19:45:00Z,2.83,93.84
2025-07-21T19:46:00Z,5.94,92.00
2025-07-21T19:47:00Z,8.09,93.40
2025-07-21T19:48:00Z,2.00,97.26
2025-07-21T19:49:00Z,2.00,99.00
2025-07-21T19:50:00Z,2.00,99.00
2025-07-21T19:51:00Z,2.00,99.00
