# event_ticker=KXATPCHALLENGERMATCH-26FEB12PERMIL
# final_score=7-5 1-6 6-1
# score_resolution=5-7 6-1 1-6
# match_winner=Daniel Milavsky
# fav_player=Raphael Perot
# dog_player=Daniel Milavsky
# kalshi_date=2026-02-12
timestamp,Raphael Perot,Daniel Milavsky
2026-02-12T10:33:00Z,62.00,
2026-02-12T12:07:00Z,48.00,
2026-02-12T12:08:00Z,48.00,55.69
2026-02-12T12:31:00Z,48.00,56.00
2026-02-12T12:46:00Z,48.00,54.00
2026-02-12T12:50:00Z,49.00,54.00
2026-02-12T13:01:00Z,49.00,54.00
2026-02-12T13:14:00Z,49.95,54.00
2026-02-12T13:21:00Z,53.00,54.00
2026-02-12T13:30:00Z,53.00,54.00
2026-02-12T13:35:00Z,53.00,50.00
2026-02-12T13:51:00Z,52.00,50.00
2026-02-12T13:52:00Z,52.00,50.00
2026-02-12T13:54:00Z,52.00,51.00
2026-02-12T14:06:00Z,46.00,53.00
2026-02-12T14:22:00Z,46.00,54.00
2026-02-12T14:30:00Z,49.00,54.00
2026-02-12T14:32:00Z,49.00,54.00
2026-02-12T14:50:00Z,49.00,54.00
2026-02-12T15:02:00Z,49.00,54.00
2026-02-12T15:06:00Z,49.00,54.00
2026-02-12T15:09:00Z,49.00,53.89
2026-02-12T15:11:00Z,49.00,54.00
2026-02-12T15:24:00Z,49.00,51.10
2026-02-12T15:26:00Z,48.00,51.10
2026-02-12T15:28:00Z,48.00,53.72
2026-02-12T16:05:00Z,48.00,54.10
2026-02-12T16:09:00Z,48.00,55.20
2026-02-12T16:27:00Z,48.00,56.43
2026-02-12T16:30:00Z,48.00,56.00
2026-02-12T16:37:00Z,47.00,56.00
2026-02-12T16:39:00Z,47.00,56.18
2026-02-12T16:40:00Z,47.00,56.18
2026-02-12T16:46:00Z,47.00,56.18
2026-02-12T16:51:00Z,47.00,56.18
2026-02-12T16:56:00Z,47.00,56.18
2026-02-12T16:57:00Z,47.00,55.50
2026-02-12T16:58:00Z,47.00,56.00
2026-02-12T17:06:00Z,47.00,56.00
2026-02-12T17:09:00Z,47.00,56.00
2026-02-12T17:10:00Z,47.00,56.00
2026-02-12T17:12:00Z,47.00,57.33
2026-02-12T17:13:00Z,46.00,56.50
2026-02-12T17:16:00Z,45.75,56.50
2026-02-12T17:17:00Z,44.75,56.50
2026-02-12T17:18:00Z,46.55,56.50
2026-02-12T17:19:00Z,46.48,57.66
2026-02-12T17:21:00Z,43.13,60.07
2026-02-12T17:22:00Z,39.75,62.66
2026-02-12T17:23:00Z,34.31,65.86
2026-02-12T17:24:00Z,35.16,67.11
2026-02-12T17:25:00Z,39.07,57.14
2026-02-12T17:26:00Z,45.07,55.26
2026-02-12T17:27:00Z,49.40,53.94
2026-02-12T17:28:00Z,46.99,58.14
2026-02-12T17:29:00Z,44.34,55.85
2026-02-12T17:30:00Z,45.81,57.24
2026-02-12T17:31:00Z,43.65,58.00
2026-02-12T17:32:00Z,43.89,58.65
2026-02-12T17:33:00Z,45.36,56.00
2026-02-12T17:34:00Z,46.07,55.00
2026-02-12T17:35:00Z,45.05,55.50
2026-02-12T17:36:00Z,46.32,54.83
2026-02-12T17:37:00Z,51.94,53.89
2026-02-12T17:38:00Z,51.94,56.71
2026-02-12T17:39:00Z,42.73,58.87
2026-02-12T17:41:00Z,52.00,50.34
2026-02-12T17:42:00Z,55.38,49.14
