# event_ticker=KXATPCHALLENGERMATCH-26MAY05SAMSAK
# final_score=6-3 2-6 6-4
# match_winner=Stefanos Sakellaridis
# fav_player=Stefanos Sakellaridis
# dog_player=Toby Samuel
# kalshi_date=2026-05-05
timestamp,Toby Samuel,Stefanos Sakellaridis
2026-05-04T21:40:00Z,51.00,
2026-05-05T00:38:00Z,52.00,
2026-05-05T02:19:00Z,52.00,
2026-05-05T02:35:00Z,52.00,
2026-05-05T02:50:00Z,52.00,50.00
2026-05-05T02:57:00Z,52.00,50.00
2026-05-05T03:20:00Z,52.00,50.00
2026-05-05T03:24:00Z,52.00,50.00
2026-05-05T03:48:00Z,51.00,50.00
2026-05-05T03:49:00Z,51.00,50.00
2026-05-05T04:00:00Z,51.00,50.00
2026-05-05T04:18:00Z,51.00,50.00
2026-05-05T04:28:00Z,51.00,51.80
2026-05-05T04:40:00Z,51.00,52.00
2026-05-05T04:43:00Z,51.00,52.00
2026-05-05T04:57:00Z,51.00,52.00
2026-05-05T05:02:00Z,51.00,52.00
2026-05-05T05:10:00Z,50.00,52.00
2026-05-05T05:15:00Z,50.00,52.75
2026-05-05T05:17:00Z,50.00,50.00
2026-05-05T05:29:00Z,50.00,52.00
2026-05-05T05:36:00Z,50.00,52.00
2026-05-05T06:00:00Z,50.00,52.00
2026-05-05T06:08:00Z,50.00,50.00
2026-05-05T07:40:00Z,50.00,50.00
2026-05-05T08:05:00Z,50.00,52.49
2026-05-05T08:15:00Z,50.00,52.00
2026-05-05T08:34:00Z,50.00,52.00
2026-05-05T08:48:00Z,50.00,52.00
2026-05-05T08:54:00Z,49.00,53.78
2026-05-05T09:01:00Z,49.00,53.78
2026-05-05T09:07:00Z,47.00,53.78
2026-05-05T09:08:00Z,47.00,55.94
2026-05-05T09:11:00Z,47.11,54.00
2026-05-05T09:14:00Z,45.00,54.00
2026-05-05T09:17:00Z,45.00,57.00
2026-05-05T09:18:00Z,44.05,56.49
2026-05-05T09:20:00Z,44.05,56.00
2026-05-05T09:21:00Z,44.05,57.60
2026-05-05T09:22:00Z,41.00,57.60
2026-05-05T09:23:00Z,37.00,60.00
2026-05-05T09:24:00Z,32.68,67.88
2026-05-05T09:25:00Z,38.30,63.00
2026-05-05T09:26:00Z,38.30,69.23
2026-05-05T09:27:00Z,27.00,74.00
2026-05-05T09:28:00Z,23.59,74.00
2026-05-05T09:29:00Z,24.06,74.00
2026-05-05T09:30:00Z,24.06,77.00
2026-05-05T09:32:00Z,25.00,75.00
2026-05-05T09:33:00Z,27.01,75.00
2026-05-05T09:34:00Z,26.93,73.05
2026-05-05T09:35:00Z,26.93,75.00
2026-05-05T09:36:00Z,26.96,76.00
2026-05-05T09:37:00Z,28.17,68.02
2026-05-05T09:38:00Z,24.00,75.27
2026-05-05T09:39:00Z,25.00,75.27
2026-05-05T09:40:00Z,25.00,75.00
2026-05-05T09:41:00Z,25.00,75.00
2026-05-05T09:42:00Z,25.00,75.00
2026-05-05T09:43:00Z,25.03,76.00
2026-05-05T09:44:00Z,25.03,76.98
2026-05-05T09:46:00Z,21.00,80.00
2026-05-05T09:47:00Z,21.00,81.00
2026-05-05T09:48:00Z,21.00,81.00
2026-05-05T09:49:00Z,21.00,81.00
2026-05-05T09:50:00Z,26.00,81.00
2026-05-05T09:51:00Z,25.22,81.00
2026-05-05T09:52:00Z,26.00,73.00
2026-05-05T09:53:00Z,30.31,68.00
2026-05-05T09:54:00Z,28.72,70.59
2026-05-05T09:55:00Z,28.94,74.00
2026-05-05T09:56:00Z,23.98,76.00
2026-05-05T09:57:00Z,23.98,76.00
2026-05-05T09:58:00Z,25.00,76.00
2026-05-05T09:59:00Z,25.74,76.00
2026-05-05T10:00:00Z,24.70,79.00
2026-05-05T10:01:00Z,26.00,75.00
2026-05-05T10:02:00Z,25.00,75.00
2026-05-05T10:03:00Z,25.75,75.00
2026-05-05T10:04:00Z,41.00,64.00
2026-05-05T10:05:00Z,32.86,68.00
2026-05-05T10:06:00Z,32.00,68.00
2026-05-05T10:07:00Z,38.57,61.00
2026-05-05T10:09:00Z,42.46,61.00
2026-05-05T10:10:00Z,45.00,56.00
2026-05-05T10:11:00Z,46.68,56.00
2026-05-05T10:12:00Z,48.43,54.00
2026-05-05T10:13:00Z,47.20,50.97
2026-05-05T10:14:00Z,47.00,52.11
2026-05-05T10:15:00Z,48.00,53.80
2026-05-05T10:16:00Z,43.56,54.00
2026-05-05T10:17:00Z,42.69,58.96
2026-05-05T10:18:00Z,38.10,60.62
2026-05-05T10:19:00Z,43.20,58.94
2026-05-05T10:20:00Z,48.21,52.18
2026-05-05T10:21:00Z,49.00,52.24
2026-05-05T10:22:00Z,48.11,52.24
2026-05-05T10:23:00Z,50.00,52.24
2026-05-05T10:24:00Z,49.20,50.00
2026-05-05T10:25:00Z,49.00,50.00
2026-05-05T10:26:00Z,49.96,50.00
2026-05-05T10:27:00Z,52.50,50.00
2026-05-05T10:28:00Z,54.00,45.62
2026-05-05T10:29:00Z,55.98,43.49
2026-05-05T10:30:00Z,56.33,45.00
2026-05-05T10:31:00Z,52.20,45.10
