# event_ticker=KXATPMATCH-26APR28MENZVE
# final_score=6-4 6-7(4) 6-3
# score_resolution=4-6 7-6 3-6
# match_winner=Alexander Zverev
# fav_player=Jakub Mensik
# dog_player=Alexander Zverev
# kalshi_date=2026-04-28
timestamp,Jakub Mensik,Alexander Zverev
2026-04-28T09:15:00Z,34.00,
2026-04-28T09:17:00Z,34.00,67.00
2026-04-28T09:23:00Z,34.00,67.00
2026-04-28T09:29:00Z,34.00,66.00
2026-04-28T09:32:00Z,34.00,67.00
2026-04-28T09:49:00Z,34.00,67.00
2026-04-28T09:51:00Z,34.00,67.00
2026-04-28T09:56:00Z,34.00,67.00
2026-04-28T09:59:00Z,34.00,67.00
2026-04-28T10:05:00Z,34.00,67.00
2026-04-28T10:07:00Z,34.00,67.00
2026-04-28T10:08:00Z,34.00,67.00
2026-04-28T10:12:00Z,34.00,67.00
2026-04-28T10:15:00Z,34.00,67.00
2026-04-28T10:29:00Z,34.00,67.00
2026-04-28T10:35:00Z,34.00,67.00
2026-04-28T10:38:00Z,34.00,67.00
2026-04-28T10:39:00Z,34.00,67.00
2026-04-28T10:44:00Z,34.00,67.00
2026-04-28T10:45:00Z,34.00,67.00
2026-04-28T10:46:00Z,34.00,67.00
2026-04-28T10:50:00Z,34.00,67.00
2026-04-28T10:51:00Z,34.00,67.00
2026-04-28T10:54:00Z,34.00,67.00
2026-04-28T11:02:00Z,34.00,67.00
2026-04-28T11:07:00Z,34.00,67.00
2026-04-28T11:09:00Z,34.00,67.00
2026-04-28T11:11:00Z,34.00,67.00
2026-04-28T11:13:00Z,34.00,67.00
2026-04-28T11:17:00Z,34.00,67.00
2026-04-28T11:21:00Z,34.44,67.00
2026-04-28T11:24:00Z,34.44,67.00
2026-04-28T11:31:00Z,34.44,67.00
2026-04-28T11:32:00Z,34.44,67.00
2026-04-28T11:34:00Z,34.44,67.00
2026-04-28T11:36:00Z,34.00,67.00
2026-04-28T11:44:00Z,34.57,67.00
2026-04-28T11:45:00Z,34.57,67.00
2026-04-28T11:48:00Z,35.00,67.00
2026-04-28T11:49:00Z,35.00,67.00
2026-04-28T11:52:00Z,35.00,67.00
2026-04-28T11:56:00Z,35.00,67.00
2026-04-28T12:00:00Z,35.00,67.00
2026-04-28T12:03:00Z,35.00,67.00
2026-04-28T12:04:00Z,35.00,67.00
2026-04-28T12:08:00Z,35.00,67.00
2026-04-28T12:11:00Z,35.00,67.00
2026-04-28T12:12:00Z,35.00,67.00
2026-04-28T12:17:00Z,35.00,67.00
2026-04-28T12:21:00Z,35.00,67.00
2026-04-28T12:23:00Z,35.00,67.00
2026-04-28T12:27:00Z,35.00,67.00
2026-04-28T12:28:00Z,35.00,67.00
2026-04-28T12:31:00Z,35.00,67.00
2026-04-28T12:35:00Z,35.00,67.00
2026-04-28T12:37:00Z,35.00,67.00
2026-04-28T12:39:00Z,35.00,67.00
2026-04-28T12:42:00Z,35.00,67.00
2026-04-28T12:43:00Z,35.00,67.00
