# event_ticker=KXATPCHALLENGERMATCH-26MAR12BICMAN
# final_score=6-7(2) 6-2 6-2
# score_resolution=7-6 2-6 2-6
# match_winner=Adrian Mannarino
# fav_player=Blaise Bicknell
# dog_player=Adrian Mannarino
# kalshi_date=2026-03-12
timestamp,Blaise Bicknell,Adrian Mannarino
2026-03-12T10:52:00Z,23.00,
2026-03-12T13:40:00Z,23.00,81.00
2026-03-12T13:41:00Z,23.00,77.00
2026-03-12T14:07:00Z,23.00,79.00
2026-03-12T14:57:00Z,23.00,80.00
2026-03-12T16:16:00Z,23.00,80.00
2026-03-12T16:23:00Z,23.00,80.00
2026-03-12T17:06:00Z,23.00,80.47
2026-03-12T17:07:00Z,23.00,79.00
2026-03-12T17:08:00Z,23.00,79.00
2026-03-12T17:10:00Z,23.00,79.00
2026-03-12T17:12:00Z,23.00,79.00
2026-03-12T17:17:00Z,22.00,79.00
2026-03-12T17:21:00Z,22.00,79.00
2026-03-12T17:27:00Z,22.00,79.00
2026-03-12T17:28:00Z,22.00,79.00
2026-03-12T17:32:00Z,22.00,79.00
2026-03-12T17:55:00Z,22.00,79.00
2026-03-12T17:57:00Z,22.00,79.00
2026-03-12T18:00:00Z,22.00,79.00
2026-03-12T18:01:00Z,22.00,79.00
2026-03-12T18:04:00Z,24.00,79.00
2026-03-12T18:08:00Z,24.00,79.00
2026-03-12T18:11:00Z,24.00,78.86
2026-03-12T18:15:00Z,20.00,82.96
2026-03-12T18:16:00Z,24.67,82.96
2026-03-12T18:17:00Z,19.30,83.10
2026-03-12T18:18:00Z,15.00,86.00
2026-03-12T18:19:00Z,15.01,84.00
2026-03-12T18:20:00Z,18.46,80.65
2026-03-12T18:21:00Z,22.16,82.00
2026-03-12T18:22:00Z,24.35,82.00
2026-03-12T18:23:00Z,30.00,70.00
2026-03-12T18:24:00Z,29.84,70.00
2026-03-12T18:25:00Z,29.00,72.92
2026-03-12T18:26:00Z,29.00,73.00
2026-03-12T18:27:00Z,28.07,73.48
