# event_ticker=KXATPMATCH-25OCT15CILRUU
# final_score=7-6(2) 6-4
# score_resolution=7-6 6-4
# match_winner=Casper Ruud
# fav_player=Casper Ruud
# dog_player=Marin Cilic
# kalshi_date=2025-10-15
timestamp,Casper Ruud,Marin Cilic
2025-10-15T07:27:00Z,,38.00
2025-10-15T07:28:00Z,,38.00
2025-10-15T07:37:00Z,63.00,38.00
2025-10-15T07:40:00Z,63.00,41.00
2025-10-15T07:47:00Z,60.00,41.00
2025-10-15T07:49:00Z,60.00,41.00
2025-10-15T08:16:00Z,60.00,41.00
2025-10-15T08:55:00Z,60.00,41.00
2025-10-15T08:57:00Z,60.00,41.00
2025-10-15T09:07:00Z,60.00,41.00
2025-10-15T09:33:00Z,60.00,41.00
2025-10-15T10:13:00Z,62.00,41.00
2025-10-15T10:14:00Z,61.00,41.00
2025-10-15T10:17:00Z,61.00,41.00
2025-10-15T10:22:00Z,61.00,40.00
2025-10-15T10:29:00Z,61.00,40.00
2025-10-15T10:45:00Z,61.00,40.00
2025-10-15T10:46:00Z,61.00,40.00
2025-10-15T11:02:00Z,61.00,40.00
2025-10-15T11:19:00Z,61.00,40.00
2025-10-15T11:20:00Z,61.00,40.00
2025-10-15T11:24:00Z,61.00,40.00
2025-10-15T11:26:00Z,61.00,40.00
2025-10-15T11:34:00Z,61.00,40.00
2025-10-15T11:45:00Z,61.96,40.00
2025-10-15T11:46:00Z,62.00,40.00
2025-10-15T12:29:00Z,61.00,40.00
2025-10-15T12:31:00Z,61.00,40.00
2025-10-15T12:54:00Z,61.00,40.00
2025-10-15T12:58:00Z,61.00,40.00
2025-10-15T13:03:00Z,61.00,40.00
2025-10-15T13:08:00Z,61.00,40.00
2025-10-15T13:12:00Z,61.00,40.00
2025-10-15T13:15:00Z,61.00,40.00
2025-10-15T13:16:00Z,61.00,40.00
2025-10-15T13:20:00Z,61.00,40.00
2025-10-15T13:23:00Z,61.00,40.00
2025-10-15T13:32:00Z,62.00,40.00
2025-10-15T13:33:00Z,62.00,40.00
2025-10-15T13:34:00Z,62.00,40.00
2025-10-15T13:35:00Z,62.00,40.00
