# event_ticker=KXATPCHALLENGERMATCH-26MAR30MATSAM
# final_score=7-6(4) 6-3
# score_resolution=7-6 6-3
# match_winner=Hayato Matsuoka
# fav_player=Hayato Matsuoka
# dog_player=Kasidit Samrej
# kalshi_date=2026-03-30
timestamp,Hayato Matsuoka,Kasidit Samrej
2026-03-30T14:28:00Z,60.00,
2026-03-30T15:02:00Z,59.00,
2026-03-30T16:00:00Z,59.33,
2026-03-30T16:02:00Z,57.00,
2026-03-30T17:38:00Z,59.00,
2026-03-30T18:01:00Z,60.50,
2026-03-30T18:55:00Z,60.00,
2026-03-30T19:57:00Z,60.00,
2026-03-30T20:57:00Z,60.00,
2026-03-30T21:17:00Z,61.00,
2026-03-30T22:26:00Z,61.00,
2026-03-30T22:40:00Z,61.00,
2026-03-30T22:54:00Z,61.00,
2026-03-30T22:57:00Z,61.00,
2026-03-30T23:25:00Z,61.00,
2026-03-30T23:34:00Z,61.00,
2026-03-30T23:35:00Z,61.00,40.00
2026-03-31T00:05:00Z,61.00,39.30
2026-03-31T00:43:00Z,61.00,39.30
2026-03-31T01:01:00Z,61.00,39.30
2026-03-31T01:11:00Z,61.00,39.30
2026-03-31T01:12:00Z,62.00,39.30
2026-03-31T01:26:00Z,62.00,40.00
2026-03-31T01:30:00Z,62.00,40.00
2026-03-31T01:33:00Z,62.00,40.00
2026-03-31T01:37:00Z,62.00,40.00
2026-03-31T01:39:00Z,62.00,40.00
2026-03-31T01:46:00Z,62.00,40.00
2026-03-31T01:51:00Z,62.00,40.00
2026-03-31T01:52:00Z,62.81,40.00
2026-03-31T01:56:00Z,62.81,40.00
2026-03-31T02:00:00Z,63.00,40.00
2026-03-31T02:04:00Z,62.00,40.00
2026-03-31T02:07:00Z,65.03,40.00
2026-03-31T02:08:00Z,66.33,40.00
2026-03-31T02:11:00Z,64.00,38.98
2026-03-31T02:12:00Z,64.00,38.79
2026-03-31T02:13:00Z,62.03,38.59
2026-03-31T02:14:00Z,61.00,39.34
2026-03-31T02:15:00Z,58.00,41.00
2026-03-31T02:16:00Z,62.00,41.00
2026-03-31T02:17:00Z,62.73,37.44
2026-03-31T02:18:00Z,63.00,37.00
2026-03-31T02:19:00Z,63.00,36.91
2026-03-31T02:20:00Z,62.00,41.00
2026-03-31T02:22:00Z,59.71,43.50
2026-03-31T02:23:00Z,55.93,43.50
2026-03-31T02:24:00Z,53.30,49.90
2026-03-31T02:25:00Z,44.09,56.75
2026-03-31T02:26:00Z,43.00,57.96
2026-03-31T02:27:00Z,51.94,57.96
2026-03-31T02:28:00Z,57.00,44.05
2026-03-31T02:29:00Z,58.18,43.00
2026-03-31T02:30:00Z,54.27,44.70
2026-03-31T02:31:00Z,56.00,44.70
2026-03-31T02:32:00Z,56.24,45.95
2026-03-31T02:33:00Z,59.00,39.13
2026-03-31T02:34:00Z,61.25,35.67
2026-03-31T02:35:00Z,59.36,42.19
2026-03-31T02:36:00Z,60.18,41.24
2026-03-31T02:37:00Z,57.00,44.00
2026-03-31T02:38:00Z,58.24,45.50
2026-03-31T02:39:00Z,55.81,45.67
2026-03-31T02:40:00Z,51.85,48.80
2026-03-31T02:41:00Z,58.00,45.00
2026-03-31T02:42:00Z,58.16,41.06
2026-03-31T02:43:00Z,56.49,45.44
2026-03-31T02:44:00Z,55.07,47.50
2026-03-31T02:45:00Z,54.00,46.81
2026-03-31T02:46:00Z,55.50,47.00
2026-03-31T02:47:00Z,58.97,47.00
2026-03-31T02:48:00Z,64.00,37.33
2026-03-31T02:49:00Z,63.05,40.29
2026-03-31T02:50:00Z,65.29,37.25
2026-03-31T02:51:00Z,63.73,37.50
2026-03-31T02:52:00Z,58.27,42.43
2026-03-31T02:53:00Z,57.00,42.43
2026-03-31T02:54:00Z,63.24,40.09
2026-03-31T02:55:00Z,60.24,38.69
2026-03-31T02:56:00Z,58.25,41.24
2026-03-31T02:57:00Z,61.86,39.15
2026-03-31T02:58:00Z,59.87,41.98
2026-03-31T02:59:00Z,61.91,39.00
2026-03-31T03:00:00Z,55.81,44.69
2026-03-31T03:01:00Z,54.53,44.69
2026-03-31T03:02:00Z,50.44,50.40
2026-03-31T03:03:00Z,57.92,43.96
2026-03-31T03:04:00Z,49.97,50.09
2026-03-31T03:05:00Z,49.12,51.59
2026-03-31T03:06:00Z,64.66,38.23
2026-03-31T03:07:00Z,67.15,32.92
2026-03-31T03:08:00Z,74.53,23.54
2026-03-31T03:09:00Z,71.97,30.30
2026-03-31T03:10:00Z,74.56,27.26
2026-03-31T03:11:00Z,69.34,32.87
2026-03-31T03:12:00Z,74.22,24.93
2026-03-31T03:13:00Z,81.15,17.42
2026-03-31T03:14:00Z,82.67,21.42
2026-03-31T03:15:00Z,82.00,18.00
2026-03-31T03:16:00Z,83.59,18.00
2026-03-31T03:17:00Z,82.08,18.00
2026-03-31T03:18:00Z,84.00,17.74
2026-03-31T03:19:00Z,83.00,17.17
2026-03-31T03:20:00Z,84.18,16.47
2026-03-31T03:21:00Z,83.11,17.07
2026-03-31T03:22:00Z,83.79,15.92
2026-03-31T03:23:00Z,83.01,16.00
2026-03-31T03:24:00Z,84.03,15.00
2026-03-31T03:25:00Z,83.50,16.88
2026-03-31T03:26:00Z,82.00,18.33
2026-03-31T03:27:00Z,83.00,15.56
2026-03-31T03:28:00Z,82.00,20.77
2026-03-31T03:29:00Z,80.29,18.57
2026-03-31T03:30:00Z,85.00,17.00
2026-03-31T03:31:00Z,84.03,18.00
2026-03-31T03:32:00Z,84.00,17.11
2026-03-31T03:33:00Z,84.00,19.00
2026-03-31T03:34:00Z,81.00,18.23
2026-03-31T03:35:00Z,80.51,22.00
2026-03-31T03:36:00Z,84.04,17.00
2026-03-31T03:37:00Z,84.99,14.58
2026-03-31T03:38:00Z,85.48,16.54
2026-03-31T03:39:00Z,85.69,14.58
2026-03-31T03:40:00Z,82.96,18.77
2026-03-31T03:41:00Z,80.17,20.68
2026-03-31T03:42:00Z,83.90,17.26
2026-03-31T03:43:00Z,84.91,15.93
2026-03-31T03:44:00Z,87.30,12.22
2026-03-31T03:45:00Z,86.18,14.35
2026-03-31T03:46:00Z,84.83,15.97
2026-03-31T03:47:00Z,94.52,5.25
2026-03-31T03:48:00Z,96.83,3.18
2026-03-31T03:49:00Z,98.47,1.32
2026-03-31T03:50:00Z,99.00,1.00
2026-03-31T03:51:00Z,99.00,1.00
2026-03-31T03:52:00Z,99.00,1.00
2026-03-31T03:53:00Z,99.00,1.00
