# event_ticker=KXATPMATCH-25SEP18THOTAB
# final_score=6-4 6-3
# match_winner=Alejandro Tabilo
# fav_player=Alejandro Tabilo
# dog_player=Jordan Thompson
# kalshi_date=2025-09-18
timestamp,Alejandro Tabilo,Jordan Thompson
2025-09-17T20:13:00Z,,50.00
2025-09-17T20:16:00Z,52.00,50.00
2025-09-17T20:26:00Z,52.00,50.00
2025-09-17T21:11:00Z,51.89,50.00
2025-09-17T21:18:00Z,51.89,50.00
2025-09-17T21:31:00Z,51.89,50.00
2025-09-17T21:34:00Z,51.89,50.00
2025-09-17T21:37:00Z,51.00,50.00
2025-09-17T21:42:00Z,51.00,50.00
2025-09-17T21:47:00Z,51.00,50.00
2025-09-17T22:03:00Z,51.00,50.00
2025-09-17T22:14:00Z,51.00,50.00
2025-09-17T22:20:00Z,52.00,50.00
2025-09-17T22:36:00Z,52.00,50.00
2025-09-18T01:13:00Z,53.00,50.00
2025-09-18T01:19:00Z,53.00,50.00
2025-09-18T01:22:00Z,53.75,50.00
2025-09-18T01:24:00Z,53.75,47.00
2025-09-18T01:28:00Z,53.75,47.00
2025-09-18T01:33:00Z,53.75,47.00
2025-09-18T01:44:00Z,53.75,47.00
2025-09-18T01:48:00Z,53.75,47.00
2025-09-18T01:52:00Z,53.75,47.00
2025-09-18T02:00:00Z,53.75,47.67
2025-09-18T02:07:00Z,53.00,47.67
2025-09-18T02:16:00Z,55.00,47.67
2025-09-18T02:20:00Z,55.00,47.00
2025-09-18T02:28:00Z,55.00,47.00
2025-09-18T02:32:00Z,55.00,47.00
2025-09-18T02:33:00Z,55.00,47.00
2025-09-18T02:37:00Z,55.00,47.00
2025-09-18T02:39:00Z,55.00,47.00
2025-09-18T02:49:00Z,55.00,47.00
2025-09-18T02:52:00Z,55.00,47.00
2025-09-18T02:56:00Z,55.00,47.00
2025-09-18T03:03:00Z,55.00,47.00
2025-09-18T03:11:00Z,55.00,47.00
2025-09-18T03:12:00Z,55.00,47.00
2025-09-18T03:14:00Z,54.00,47.00
2025-09-18T03:41:00Z,54.00,47.00
2025-09-18T03:43:00Z,54.00,48.00
2025-09-18T03:46:00Z,54.00,48.00
2025-09-18T03:50:00Z,54.00,48.00
2025-09-18T03:51:00Z,54.00,48.00
2025-09-18T03:52:00Z,54.00,48.00
2025-09-18T03:55:00Z,54.00,48.00
2025-09-18T03:59:00Z,54.00,48.00
2025-09-18T04:03:00Z,54.00,48.00
2025-09-18T04:11:00Z,54.00,47.00
2025-09-18T04:13:00Z,54.00,47.00
2025-09-18T04:20:00Z,54.00,47.00
2025-09-18T04:21:00Z,54.00,47.46
2025-09-18T04:23:00Z,54.00,46.00
2025-09-18T04:30:00Z,54.00,48.00
2025-09-18T04:33:00Z,54.00,48.00
2025-09-18T04:34:00Z,54.00,48.00
2025-09-18T04:35:00Z,54.00,48.00
2025-09-18T04:36:00Z,54.00,48.00
2025-09-18T04:46:00Z,54.00,48.00
2025-09-18T04:50:00Z,54.00,48.00
2025-09-18T04:53:00Z,54.00,46.13
2025-09-18T05:00:00Z,54.00,48.00
2025-09-18T05:13:00Z,54.00,48.00
2025-09-18T05:17:00Z,54.00,48.00
2025-09-18T05:18:00Z,54.00,48.00
2025-09-18T05:28:00Z,54.00,47.00
2025-09-18T05:29:00Z,54.00,47.00
2025-09-18T05:36:00Z,54.00,47.00
2025-09-18T05:42:00Z,54.00,47.00
2025-09-18T05:43:00Z,54.00,47.00
2025-09-18T05:45:00Z,53.00,50.38
2025-09-18T05:48:00Z,52.00,50.38
2025-09-18T05:49:00Z,52.00,49.00
2025-09-18T05:51:00Z,52.00,49.00
2025-09-18T05:52:00Z,52.00,49.00
2025-09-18T05:56:00Z,52.00,49.00
2025-09-18T05:57:00Z,52.00,49.00
2025-09-18T06:01:00Z,52.00,49.00
2025-09-18T06:05:00Z,52.16,49.00
2025-09-18T06:07:00Z,52.16,49.00
2025-09-18T06:08:00Z,52.00,49.00
2025-09-18T06:09:00Z,48.39,49.00
2025-09-18T06:10:00Z,45.00,49.00
2025-09-18T06:11:00Z,50.00,54.00
2025-09-18T06:12:00Z,50.00,54.00
2025-09-18T06:14:00Z,56.16,44.35
2025-09-18T06:15:00Z,62.00,44.35
2025-09-18T06:16:00Z,57.31,44.35
2025-09-18T06:17:00Z,54.64,44.35
2025-09-18T06:18:00Z,56.00,48.00
2025-09-18T06:19:00Z,58.00,48.00
2025-09-18T06:20:00Z,58.00,44.00
2025-09-18T06:21:00Z,58.00,46.00
2025-09-18T06:22:00Z,55.00,46.00
2025-09-18T06:23:00Z,53.00,46.00
2025-09-18T06:24:00Z,51.98,49.00
2025-09-18T06:25:00Z,55.86,49.00
2025-09-18T06:26:00Z,55.86,44.00
