# event_ticker=KXATPCHALLENGERMATCH-26MAR16MAYAND
# final_score=6-4 7-6(4)
# score_resolution=4-6 6-7
# match_winner=Andres Andrade
# fav_player=Aidan Mayo
# dog_player=Andres Andrade
# kalshi_date=2026-03-16
timestamp,Aidan Mayo,Andres Andrade
2026-03-16T11:09:00Z,,68.00
2026-03-16T12:58:00Z,,66.00
2026-03-16T14:43:00Z,35.00,66.00
2026-03-16T14:55:00Z,34.00,66.00
2026-03-16T15:26:00Z,34.00,66.00
2026-03-16T15:40:00Z,35.00,66.00
2026-03-16T15:55:00Z,36.00,66.00
2026-03-16T16:40:00Z,36.00,66.00
2026-03-16T17:08:00Z,36.00,66.00
2026-03-16T17:50:00Z,36.00,66.00
2026-03-16T18:00:00Z,36.00,64.00
2026-03-16T18:10:00Z,35.00,66.00
2026-03-16T18:29:00Z,35.00,66.00
2026-03-16T18:30:00Z,34.00,66.00
2026-03-16T18:35:00Z,34.00,66.00
2026-03-16T18:57:00Z,34.00,66.00
2026-03-16T19:06:00Z,35.00,66.00
2026-03-16T19:07:00Z,35.00,64.00
2026-03-16T19:12:00Z,35.00,67.00
2026-03-16T19:27:00Z,33.00,67.00
2026-03-16T19:31:00Z,33.00,67.00
2026-03-16T19:42:00Z,33.00,67.00
2026-03-16T19:51:00Z,33.00,67.00
2026-03-16T19:53:00Z,33.18,67.00
2026-03-16T20:09:00Z,33.18,67.00
2026-03-16T20:17:00Z,35.00,67.00
2026-03-16T20:19:00Z,35.00,67.00
2026-03-16T20:20:00Z,35.28,67.00
2026-03-16T20:21:00Z,36.00,67.00
2026-03-16T20:28:00Z,33.00,67.00
2026-03-16T20:33:00Z,33.00,67.00
2026-03-16T20:46:00Z,33.00,66.00
2026-03-16T20:47:00Z,33.00,66.97
2026-03-16T20:54:00Z,33.00,67.00
2026-03-16T20:56:00Z,33.00,67.00
2026-03-16T20:57:00Z,33.00,67.00
2026-03-16T21:02:00Z,33.00,67.00
2026-03-16T21:13:00Z,35.00,65.00
2026-03-16T21:15:00Z,35.00,67.00
2026-03-16T21:17:00Z,35.00,67.00
2026-03-16T21:19:00Z,35.51,67.00
2026-03-16T21:21:00Z,35.51,67.00
2026-03-16T21:22:00Z,35.51,67.00
2026-03-16T21:23:00Z,35.00,67.00
2026-03-16T21:24:00Z,35.00,67.00
2026-03-16T21:25:00Z,35.00,68.90
2026-03-16T21:26:00Z,34.96,67.00
2026-03-16T21:27:00Z,37.87,65.93
2026-03-16T21:28:00Z,37.91,64.00
2026-03-16T21:29:00Z,37.00,64.00
2026-03-16T21:30:00Z,37.00,63.91
2026-03-16T21:31:00Z,42.00,63.91
2026-03-16T21:32:00Z,43.86,54.65
2026-03-16T21:33:00Z,39.01,60.95
2026-03-16T21:34:00Z,34.83,63.39
2026-03-16T21:35:00Z,31.22,70.12
2026-03-16T21:36:00Z,24.40,76.62
2026-03-16T21:37:00Z,23.00,76.50
2026-03-16T21:38:00Z,24.00,75.05
2026-03-16T21:39:00Z,27.20,74.00
2026-03-16T21:40:00Z,26.75,71.51
2026-03-16T21:41:00Z,27.51,72.27
2026-03-16T21:42:00Z,28.62,71.20
2026-03-16T21:43:00Z,30.00,71.31
2026-03-16T21:44:00Z,23.00,75.90
2026-03-16T21:45:00Z,22.00,78.96
2026-03-16T21:46:00Z,21.05,79.77
2026-03-16T21:47:00Z,21.05,81.00
2026-03-16T21:48:00Z,21.03,79.21
2026-03-16T21:49:00Z,20.00,80.98
2026-03-16T21:50:00Z,22.00,78.00
2026-03-16T21:51:00Z,23.48,76.89
2026-03-16T21:52:00Z,32.71,73.15
2026-03-16T21:53:00Z,30.99,71.21
2026-03-16T21:54:00Z,30.20,70.00
2026-03-16T21:55:00Z,30.76,63.26
2026-03-16T21:56:00Z,37.17,63.89
2026-03-16T21:57:00Z,26.84,71.38
2026-03-16T21:58:00Z,25.24,75.38
2026-03-16T21:59:00Z,23.22,77.69
2026-03-16T22:00:00Z,22.99,78.45
2026-03-16T22:01:00Z,22.00,79.00
2026-03-16T22:02:00Z,22.07,79.04
2026-03-16T22:03:00Z,31.19,78.60
2026-03-16T22:04:00Z,32.00,74.34
2026-03-16T22:05:00Z,23.29,78.55
2026-03-16T22:06:00Z,23.37,77.22
2026-03-16T22:07:00Z,20.46,79.44
2026-03-16T22:08:00Z,19.32,80.59
2026-03-16T22:09:00Z,19.61,80.91
2026-03-16T22:10:00Z,19.67,80.37
2026-03-16T22:11:00Z,22.00,80.00
2026-03-16T22:12:00Z,21.04,80.00
2026-03-16T22:13:00Z,18.00,82.99
2026-03-16T22:14:00Z,15.89,83.90
