# event_ticker=KXATPMATCH-25JUL17DUCDAV
# final_score=6-3 6-4
# score_resolution=3-6 4-6
# match_winner=James Duckworth
# fav_player=Alejandro Davidovich Fokina
# dog_player=James Duckworth
# kalshi_date=2025-07-17
timestamp,Alejandro Davidovich Fokina,James Duckworth
2025-07-16T17:51:00Z,77.00,
2025-07-16T18:06:00Z,77.00,23.00
2025-07-16T18:54:00Z,77.00,23.00
2025-07-16T20:00:00Z,77.00,23.00
2025-07-16T23:42:00Z,77.00,22.00
2025-07-17T01:03:00Z,79.00,22.00
2025-07-17T01:21:00Z,79.00,22.00
2025-07-17T02:09:00Z,79.00,22.00
2025-07-17T02:13:00Z,79.00,21.00
2025-07-17T02:15:00Z,79.00,21.00
2025-07-17T02:38:00Z,79.00,21.00
2025-07-17T03:07:00Z,79.00,21.00
2025-07-17T03:11:00Z,79.00,21.00
2025-07-17T03:14:00Z,79.00,21.66
2025-07-17T03:15:00Z,79.00,21.00
2025-07-17T03:18:00Z,79.00,21.84
2025-07-17T03:19:00Z,79.00,21.84
2025-07-17T03:37:00Z,79.00,21.41
2025-07-17T03:44:00Z,79.50,21.41
2025-07-17T03:49:00Z,79.00,21.29
2025-07-17T04:04:00Z,80.00,21.29
2025-07-17T04:06:00Z,84.78,21.29
2025-07-17T04:07:00Z,84.78,22.00
2025-07-17T04:08:00Z,84.78,22.00
2025-07-17T04:09:00Z,84.78,21.58
2025-07-17T04:10:00Z,84.78,20.91
2025-07-17T04:11:00Z,79.00,20.87
2025-07-17T04:12:00Z,77.94,26.97
2025-07-17T04:13:00Z,77.94,25.00
2025-07-17T04:14:00Z,73.00,26.43
2025-07-17T04:15:00Z,66.29,33.03
2025-07-17T04:16:00Z,61.75,40.88
2025-07-17T04:17:00Z,55.06,45.83
2025-07-17T04:18:00Z,56.01,46.95
2025-07-17T04:19:00Z,56.01,43.20
2025-07-17T04:20:00Z,58.38,44.18
2025-07-17T04:21:00Z,58.38,41.75
2025-07-17T04:22:00Z,55.34,45.68
2025-07-17T04:23:00Z,51.41,52.06
2025-07-17T04:24:00Z,43.05,60.08
2025-07-17T04:25:00Z,43.05,59.94
2025-07-17T04:26:00Z,41.91,59.29
2025-07-17T04:27:00Z,41.02,59.63
2025-07-17T04:28:00Z,40.20,61.76
2025-07-17T04:29:00Z,40.19,60.49
2025-07-17T04:30:00Z,40.00,59.96
2025-07-17T04:31:00Z,41.14,54.76
2025-07-17T04:32:00Z,41.00,63.66
2025-07-17T04:33:00Z,43.00,60.00
2025-07-17T04:34:00Z,44.00,57.00
2025-07-17T04:35:00Z,45.19,54.73
2025-07-17T04:36:00Z,48.15,54.73
2025-07-17T04:37:00Z,46.00,55.03
2025-07-17T04:38:00Z,48.57,54.40
2025-07-17T04:39:00Z,47.00,54.01
2025-07-17T04:40:00Z,50.00,61.63
2025-07-17T04:41:00Z,51.83,50.17
2025-07-17T04:42:00Z,53.68,53.63
2025-07-17T04:43:00Z,50.65,51.16
2025-07-17T04:44:00Z,51.47,56.03
2025-07-17T04:45:00Z,59.16,44.98
2025-07-17T04:46:00Z,53.52,47.89
2025-07-17T04:47:00Z,48.00,55.43
2025-07-17T04:48:00Z,70.00,69.00
2025-07-17T04:49:00Z,57.89,61.60
2025-07-17T04:50:00Z,51.54,54.46
2025-07-17T04:51:00Z,37.33,53.94
2025-07-17T04:52:00Z,29.49,72.13
2025-07-17T04:53:00Z,30.86,68.78
2025-07-17T04:54:00Z,31.32,72.00
2025-07-17T04:55:00Z,27.77,72.78
2025-07-17T04:56:00Z,34.33,67.08
2025-07-17T04:57:00Z,29.86,71.11
2025-07-17T04:58:00Z,28.00,71.03
2025-07-17T04:59:00Z,25.18,78.11
2025-07-17T05:00:00Z,32.32,81.51
2025-07-17T05:01:00Z,31.21,71.93
2025-07-17T05:02:00Z,35.40,70.00
2025-07-17T05:03:00Z,30.09,69.01
2025-07-17T05:04:00Z,31.34,72.52
2025-07-17T05:05:00Z,27.42,75.07
2025-07-17T05:06:00Z,22.90,78.03
2025-07-17T05:07:00Z,26.00,83.00
2025-07-17T05:08:00Z,26.00,85.11
2025-07-17T05:09:00Z,25.97,85.11
2025-07-17T05:10:00Z,24.29,75.43
2025-07-17T05:11:00Z,25.00,75.43
2025-07-17T05:12:00Z,26.49,70.11
2025-07-17T05:13:00Z,25.00,75.98
2025-07-17T05:14:00Z,30.88,78.82
2025-07-17T05:15:00Z,34.19,68.04
2025-07-17T05:16:00Z,22.84,81.36
2025-07-17T05:17:00Z,13.45,85.32
2025-07-17T05:18:00Z,13.45,83.00
2025-07-17T05:19:00Z,13.45,87.00
2025-07-17T05:20:00Z,19.00,87.00
2025-07-17T05:21:00Z,18.00,84.02
2025-07-17T05:22:00Z,16.21,84.00
2025-07-17T05:23:00Z,20.00,80.10
2025-07-17T05:24:00Z,20.95,82.00
2025-07-17T05:25:00Z,16.06,83.62
2025-07-17T05:26:00Z,22.31,77.98
2025-07-17T05:27:00Z,22.75,78.91
2025-07-17T05:28:00Z,21.94,82.86
2025-07-17T05:29:00Z,10.80,87.17
2025-07-17T05:30:00Z,7.13,95.56
2025-07-17T05:31:00Z,12.00,89.99
2025-07-17T05:33:00Z,8.85,91.14
2025-07-17T05:34:00Z,4.16,96.22
2025-07-17T05:35:00Z,3.19,97.74
2025-07-17T05:36:00Z,6.24,95.01
2025-07-17T05:37:00Z,1.00,98.98
2025-07-17T05:38:00Z,1.00,99.00
2025-07-17T05:40:00Z,1.00,99.00
