# event_ticker=KXATPCHALLENGERMATCH-26APR10PRIROY
# final_score=6-3 6-2
# score_resolution=3-6 2-6
# match_winner=Dino Prizmic
# fav_player=Valentin Royer
# dog_player=Dino Prizmic
# kalshi_date=2026-04-10
timestamp,Valentin Royer,Dino Prizmic
2026-04-10T01:10:00Z,37.00,
2026-04-10T02:02:00Z,37.00,65.00
2026-04-10T02:03:00Z,37.00,65.00
2026-04-10T02:09:00Z,37.00,65.00
2026-04-10T02:20:00Z,37.00,65.00
2026-04-10T03:01:00Z,36.00,65.00
2026-04-10T03:19:00Z,36.00,65.00
2026-04-10T03:36:00Z,36.00,65.00
2026-04-10T04:23:00Z,37.00,65.00
2026-04-10T04:48:00Z,37.00,65.00
2026-04-10T04:49:00Z,37.00,65.00
2026-04-10T05:08:00Z,37.00,65.00
2026-04-10T05:17:00Z,37.00,65.00
2026-04-10T05:18:00Z,37.00,65.00
2026-04-10T05:24:00Z,37.00,66.00
2026-04-10T05:25:00Z,37.00,64.00
2026-04-10T05:42:00Z,37.00,65.00
2026-04-10T05:56:00Z,37.00,65.00
2026-04-10T06:07:00Z,37.00,65.00
2026-04-10T06:50:00Z,37.00,66.00
2026-04-10T06:55:00Z,37.00,66.00
2026-04-10T07:36:00Z,37.00,65.00
2026-04-10T07:44:00Z,36.00,65.00
2026-04-10T08:31:00Z,36.00,65.00
2026-04-10T08:53:00Z,36.00,65.00
2026-04-10T09:00:00Z,36.00,65.00
2026-04-10T09:07:00Z,36.00,65.00
2026-04-10T09:19:00Z,35.00,65.00
2026-04-10T09:29:00Z,36.00,65.00
2026-04-10T10:00:00Z,36.00,65.00
2026-04-10T10:09:00Z,36.00,65.00
2026-04-10T10:12:00Z,36.00,65.00
2026-04-10T10:18:00Z,36.00,65.00
2026-04-10T10:22:00Z,36.00,65.00
2026-04-10T10:26:00Z,36.00,65.00
2026-04-10T10:28:00Z,36.00,65.00
2026-04-10T10:29:00Z,36.00,65.00
2026-04-10T12:04:00Z,36.00,65.00
2026-04-10T12:07:00Z,36.00,65.00
2026-04-10T12:08:00Z,36.00,65.00
2026-04-10T12:13:00Z,36.00,65.00
2026-04-10T12:16:00Z,36.00,65.00
2026-04-10T12:22:00Z,36.00,65.00
2026-04-10T12:24:00Z,36.00,65.00
2026-04-10T12:29:00Z,36.02,65.00
2026-04-10T12:30:00Z,36.02,65.00
2026-04-10T12:32:00Z,37.94,64.84
