# event_ticker=KXATPCHALLENGERMATCH-26APR21SINALK
# final_score=6-1 6-4
# match_winner=Mert Alkaya
# fav_player=Mert Alkaya
# dog_player=Digvijay Pratap Singh
# kalshi_date=2026-04-21
timestamp,Digvijay Pratap Singh,Mert Alkaya
2026-04-21T17:30:00Z,14.38,85.58
2026-04-21T17:31:00Z,12.73,84.77
2026-04-21T17:32:00Z,13.69,86.24
2026-04-21T17:33:00Z,11.89,89.00
2026-04-21T17:34:00Z,10.00,91.00
2026-04-21T17:35:00Z,10.00,91.00
2026-04-21T17:36:00Z,9.92,92.00
2026-04-21T17:37:00Z,7.07,94.00
2026-04-21T17:38:00Z,5.53,93.00
2026-04-21T17:39:00Z,6.22,93.00
2026-04-21T17:40:00Z,6.22,94.00
2026-04-21T17:41:00Z,5.47,94.00
2026-04-21T17:43:00Z,6.79,94.00
2026-04-21T17:44:00Z,6.79,94.00
2026-04-21T17:45:00Z,6.79,93.46
2026-04-21T17:46:00Z,7.00,93.00
2026-04-21T17:47:00Z,7.00,94.00
2026-04-21T17:48:00Z,7.00,94.00
2026-04-21T17:49:00Z,7.00,94.00
2026-04-21T17:50:00Z,7.00,94.00
2026-04-21T17:51:00Z,6.00,93.50
2026-04-21T17:52:00Z,6.00,93.50
2026-04-21T17:53:00Z,7.00,93.50
2026-04-21T17:54:00Z,5.00,93.00
2026-04-21T17:57:00Z,5.00,93.00
2026-04-21T17:58:00Z,7.00,93.00
2026-04-21T17:59:00Z,7.00,93.00
2026-04-21T18:00:00Z,6.86,93.00
2026-04-21T18:01:00Z,6.86,93.00
2026-04-21T18:02:00Z,6.86,94.00
2026-04-21T18:03:00Z,7.00,93.00
2026-04-21T18:04:00Z,8.00,93.00
2026-04-21T18:05:00Z,8.00,93.00
2026-04-21T18:06:00Z,7.08,91.42
2026-04-21T18:07:00Z,7.00,91.93
2026-04-21T18:08:00Z,8.00,91.96
2026-04-21T18:09:00Z,8.00,92.01
2026-04-21T18:10:00Z,8.00,92.15
2026-04-21T18:11:00Z,8.00,92.33
2026-04-21T18:12:00Z,8.00,93.00
2026-04-21T18:14:00Z,7.00,93.00
2026-04-21T18:15:00Z,7.00,93.00
2026-04-21T18:17:00Z,6.26,93.50
2026-04-21T18:18:00Z,7.00,94.00
2026-04-21T18:19:00Z,7.00,94.00
2026-04-21T18:20:00Z,5.08,95.94
2026-04-21T18:21:00Z,2.87,96.50
2026-04-21T18:22:00Z,1.15,98.89
2026-04-21T18:23:00Z,1.15,99.00
2026-04-21T18:24:00Z,1.15,99.00
2026-04-21T18:25:00Z,1.15,99.00
2026-04-21T18:28:00Z,1.15,99.00
2026-04-21T18:29:00Z,1.15,99.00
