# event_ticker=KXATPCHALLENGERMATCH-26APR15SCHTSE
# final_score=6-1 6-4
# score_resolution=1-6 4-6
# match_winner=Joel Schwaerzler
# fav_player=Chun Hsin Tseng
# dog_player=Joel Schwaerzler
# kalshi_date=2026-04-15
timestamp,Chun Hsin Tseng,Joel Schwaerzler
2026-04-14T23:56:00Z,47.00,
2026-04-15T00:47:00Z,48.00,
2026-04-15T01:25:00Z,48.00,55.77
2026-04-15T02:30:00Z,48.00,56.00
2026-04-15T02:34:00Z,44.00,56.00
2026-04-15T02:48:00Z,45.00,56.00
2026-04-15T02:59:00Z,45.00,56.00
2026-04-15T04:04:00Z,45.00,54.00
2026-04-15T04:30:00Z,45.00,54.00
2026-04-15T04:31:00Z,47.00,54.00
2026-04-15T04:50:00Z,47.00,54.00
2026-04-15T04:56:00Z,47.00,54.00
2026-04-15T04:57:00Z,47.00,54.80
2026-04-15T05:00:00Z,47.00,55.00
2026-04-15T05:04:00Z,46.00,55.00
2026-04-15T05:09:00Z,46.00,55.00
2026-04-15T05:18:00Z,46.00,56.00
2026-04-15T05:20:00Z,46.00,56.00
2026-04-15T05:24:00Z,46.00,56.00
2026-04-15T05:38:00Z,46.00,56.00
2026-04-15T05:48:00Z,46.00,56.00
2026-04-15T05:50:00Z,46.00,56.00
2026-04-15T06:01:00Z,46.00,56.00
2026-04-15T06:07:00Z,46.00,56.00
2026-04-15T06:25:00Z,46.00,57.84
2026-04-15T06:27:00Z,45.00,58.00
2026-04-15T07:01:00Z,45.00,57.00
2026-04-15T07:05:00Z,45.00,57.00
2026-04-15T07:09:00Z,45.00,56.58
2026-04-15T07:11:00Z,44.00,58.00
2026-04-15T07:12:00Z,44.00,58.00
2026-04-15T07:17:00Z,44.00,58.00
2026-04-15T07:28:00Z,44.00,56.00
2026-04-15T07:45:00Z,44.00,56.00
2026-04-15T08:07:00Z,43.00,56.00
2026-04-15T08:20:00Z,43.00,57.00
2026-04-15T08:34:00Z,43.00,57.00
2026-04-15T08:35:00Z,43.00,57.00
2026-04-15T08:39:00Z,43.00,57.00
2026-04-15T08:45:00Z,46.00,57.00
2026-04-15T08:51:00Z,46.00,57.00
2026-04-15T08:55:00Z,46.00,57.00
2026-04-15T09:00:00Z,46.00,57.00
2026-04-15T09:05:00Z,46.00,57.00
2026-04-15T09:09:00Z,43.00,57.00
2026-04-15T09:18:00Z,43.00,56.00
2026-04-15T09:29:00Z,43.00,57.00
2026-04-15T09:45:00Z,46.00,57.00
2026-04-15T10:01:00Z,46.00,56.00
2026-04-15T10:02:00Z,45.00,56.00
2026-04-15T10:03:00Z,45.00,56.00
2026-04-15T10:06:00Z,45.00,56.00
2026-04-15T10:21:00Z,45.00,55.00
2026-04-15T10:24:00Z,45.00,55.00
2026-04-15T10:25:00Z,45.00,56.00
2026-04-15T10:30:00Z,45.00,56.00
2026-04-15T10:31:00Z,45.00,56.27
2026-04-15T10:37:00Z,45.00,56.00
