# event_ticker=KXATPCHALLENGERMATCH-26MAY26STRBER
# final_score=6-0 7-5
# match_winner=Robert Strombachs
# fav_player=Robert Strombachs
# dog_player=Robin Bertrand
# kalshi_date=2026-05-26
timestamp,Robert Strombachs,Robin Bertrand
2026-05-25T22:42:00Z,,49.00
2026-05-26T02:55:00Z,,49.00
2026-05-26T06:50:00Z,,49.00
2026-05-26T07:16:00Z,,49.00
2026-05-26T09:16:00Z,,50.00
2026-05-26T10:04:00Z,57.46,46.12
2026-05-26T10:07:00Z,57.46,54.00
2026-05-26T10:09:00Z,57.46,44.00
2026-05-26T10:10:00Z,61.00,38.74
2026-05-26T10:11:00Z,64.00,37.00
2026-05-26T10:13:00Z,65.00,35.00
2026-05-26T10:16:00Z,68.94,32.72
2026-05-26T10:17:00Z,68.94,28.78
2026-05-26T10:18:00Z,68.94,29.00
2026-05-26T10:19:00Z,73.00,30.00
2026-05-26T10:20:00Z,73.00,30.00
2026-05-26T10:22:00Z,75.00,25.00
2026-05-26T10:23:00Z,75.00,26.00
2026-05-26T10:24:00Z,75.00,25.00
2026-05-26T10:25:00Z,78.00,25.00
2026-05-26T10:27:00Z,78.00,25.00
2026-05-26T10:28:00Z,79.00,25.00
2026-05-26T10:29:00Z,78.50,22.00
2026-05-26T10:30:00Z,80.01,22.00
2026-05-26T10:31:00Z,82.67,22.00
2026-05-26T10:35:00Z,82.67,17.00
2026-05-26T10:37:00Z,86.00,16.60
2026-05-26T10:38:00Z,84.00,18.76
2026-05-26T10:39:00Z,84.00,20.00
2026-05-26T10:40:00Z,79.26,20.00
2026-05-26T10:41:00Z,79.26,25.35
2026-05-26T10:42:00Z,72.80,28.00
2026-05-26T10:43:00Z,72.80,31.00
2026-05-26T10:44:00Z,75.00,29.05
2026-05-26T10:45:00Z,69.95,30.03
2026-05-26T10:46:00Z,77.00,30.03
2026-05-26T10:47:00Z,79.00,30.03
2026-05-26T10:48:00Z,79.00,23.00
2026-05-26T10:50:00Z,79.00,29.00
2026-05-26T10:51:00Z,77.00,29.00
2026-05-26T10:52:00Z,75.71,29.00
2026-05-26T10:53:00Z,75.19,29.00
2026-05-26T10:54:00Z,75.19,32.00
2026-05-26T10:56:00Z,65.91,37.00
2026-05-26T10:57:00Z,65.00,36.70
2026-05-26T10:58:00Z,64.01,39.00
2026-05-26T10:59:00Z,64.01,39.00
2026-05-26T11:00:00Z,68.25,34.00
2026-05-26T11:01:00Z,65.00,36.50
2026-05-26T11:02:00Z,68.69,29.00
2026-05-26T11:03:00Z,76.53,28.11
2026-05-26T11:05:00Z,77.62,21.00
2026-05-26T11:06:00Z,78.00,21.00
2026-05-26T11:07:00Z,79.00,21.00
2026-05-26T11:08:00Z,81.32,21.00
2026-05-26T11:09:00Z,78.14,22.09
2026-05-26T11:10:00Z,78.14,28.00
2026-05-26T11:11:00Z,73.00,28.00
2026-05-26T11:12:00Z,72.00,34.11
2026-05-26T11:13:00Z,68.03,37.20
2026-05-26T11:14:00Z,71.40,28.45
2026-05-26T11:15:00Z,79.05,23.00
2026-05-26T11:16:00Z,77.68,23.30
2026-05-26T11:17:00Z,77.68,28.00
2026-05-26T11:18:00Z,71.95,30.53
2026-05-26T11:19:00Z,73.00,31.13
2026-05-26T11:20:00Z,73.00,25.86
2026-05-26T11:21:00Z,71.98,34.29
2026-05-26T11:22:00Z,70.00,34.29
2026-05-26T11:23:00Z,67.66,32.70
2026-05-26T11:24:00Z,72.82,29.00
2026-05-26T11:25:00Z,63.00,37.00
2026-05-26T11:26:00Z,68.02,29.58
2026-05-26T11:27:00Z,69.87,30.96
2026-05-26T11:28:00Z,63.54,36.55
2026-05-26T11:29:00Z,62.35,38.34
2026-05-26T11:30:00Z,66.97,33.74
2026-05-26T11:31:00Z,71.32,27.00
2026-05-26T11:32:00Z,76.42,25.01
2026-05-26T11:33:00Z,86.69,17.09
2026-05-26T11:34:00Z,78.79,21.35
2026-05-26T11:35:00Z,77.29,15.00
2026-05-26T11:36:00Z,82.59,22.59
2026-05-26T11:37:00Z,83.86,22.45
2026-05-26T11:38:00Z,78.96,21.00
2026-05-26T11:39:00Z,93.98,6.28
2026-05-26T11:40:00Z,95.00,6.28
2026-05-26T11:41:00Z,94.43,4.21
2026-05-26T11:42:00Z,90.16,9.43
2026-05-26T11:43:00Z,97.53,1.99
2026-05-26T11:45:00Z,99.00,1.99
2026-05-26T11:47:00Z,99.00,1.99
2026-05-26T11:48:00Z,99.00,1.99
2026-05-26T11:49:00Z,99.00,1.99
