# event_ticker=KXATPMATCH-25OCT02MCDHAL
# final_score=6-3 6-2
# score_resolution=3-6 2-6
# match_winner=Quentin Halys
# fav_player=Mackenzie McDonald
# dog_player=Quentin Halys
# kalshi_date=2025-10-02
timestamp,Mackenzie McDonald,Quentin Halys
2025-10-01T22:51:00Z,,39.00
2025-10-01T23:13:00Z,62.00,39.00
2025-10-01T23:23:00Z,62.00,39.00
2025-10-01T23:29:00Z,62.00,39.00
2025-10-01T23:52:00Z,62.00,39.00
2025-10-01T23:55:00Z,62.00,39.00
2025-10-01T23:59:00Z,62.00,39.00
2025-10-02T00:05:00Z,62.00,39.00
2025-10-02T00:06:00Z,62.00,39.00
2025-10-02T00:10:00Z,62.00,39.00
2025-10-02T00:52:00Z,62.00,39.00
2025-10-02T01:18:00Z,62.00,39.00
2025-10-02T01:24:00Z,62.00,39.00
2025-10-02T01:53:00Z,62.00,39.00
2025-10-02T01:56:00Z,62.00,39.00
2025-10-02T02:02:00Z,61.00,39.00
2025-10-02T02:18:00Z,62.00,39.00
2025-10-02T02:26:00Z,62.00,39.00
2025-10-02T02:29:00Z,62.00,39.00
2025-10-02T02:35:00Z,63.00,39.00
2025-10-02T02:39:00Z,63.00,39.00
2025-10-02T02:57:00Z,63.00,39.00
2025-10-02T03:06:00Z,63.00,39.00
2025-10-02T03:14:00Z,62.86,39.00
2025-10-02T03:16:00Z,62.86,39.00
2025-10-02T03:18:00Z,62.35,39.00
2025-10-02T03:47:00Z,62.00,39.00
2025-10-02T03:50:00Z,62.00,39.00
2025-10-02T04:19:00Z,62.00,39.00
2025-10-02T04:28:00Z,62.00,39.00
2025-10-02T04:29:00Z,62.00,39.00
2025-10-02T04:31:00Z,62.00,39.00
2025-10-02T04:32:00Z,62.00,39.00
2025-10-02T04:41:00Z,62.00,39.00
2025-10-02T05:05:00Z,62.00,39.00
2025-10-02T05:21:00Z,62.00,39.00
2025-10-02T05:28:00Z,62.00,39.00
2025-10-02T05:38:00Z,62.00,39.00
2025-10-02T05:48:00Z,62.00,39.00
2025-10-02T05:53:00Z,62.00,39.00
