# event_ticker=KXATPCHALLENGERMATCH-26MAR23MOCSMI
# final_score=3-6 6-3 6-4
# match_winner=Shintaro Mochizuki
# fav_player=Shintaro Mochizuki
# dog_player=Keegan Smith
# kalshi_date=2026-03-23
timestamp,Shintaro Mochizuki,Keegan Smith
2026-03-23T12:51:00Z,63.00,37.00
2026-03-23T12:55:00Z,61.00,37.00
2026-03-23T15:38:00Z,63.00,37.00
2026-03-23T16:57:00Z,63.00,40.00
2026-03-23T17:05:00Z,60.00,40.00
2026-03-23T18:03:00Z,60.40,40.00
2026-03-23T18:44:00Z,61.00,40.00
2026-03-23T20:32:00Z,61.00,40.00
2026-03-23T22:05:00Z,61.00,40.00
2026-03-23T22:16:00Z,61.00,40.00
2026-03-23T22:19:00Z,61.00,40.00
2026-03-23T22:37:00Z,61.00,40.00
2026-03-23T22:46:00Z,61.00,40.00
2026-03-23T23:04:00Z,61.00,40.00
2026-03-23T23:09:00Z,61.00,40.00
2026-03-23T23:15:00Z,61.00,40.00
2026-03-23T23:16:00Z,61.00,40.65
2026-03-23T23:17:00Z,61.00,40.65
2026-03-23T23:21:00Z,61.00,40.65
2026-03-23T23:39:00Z,61.00,40.00
2026-03-23T23:46:00Z,61.00,40.00
2026-03-23T23:55:00Z,61.00,40.00
2026-03-23T23:56:00Z,61.00,40.00
2026-03-23T23:57:00Z,59.00,40.00
2026-03-23T23:58:00Z,59.00,40.00
2026-03-24T00:01:00Z,62.00,41.00
2026-03-24T00:05:00Z,62.00,41.00
2026-03-24T00:06:00Z,62.00,41.00
2026-03-24T00:07:00Z,62.00,41.00
2026-03-24T00:08:00Z,58.95,41.00
2026-03-24T00:09:00Z,56.75,45.75
2026-03-24T00:10:00Z,54.82,49.00
2026-03-24T00:11:00Z,51.68,47.72
2026-03-24T00:12:00Z,52.50,49.00
2026-03-24T00:13:00Z,58.00,44.00
2026-03-24T00:14:00Z,62.36,38.35
2026-03-24T00:15:00Z,56.80,42.82
2026-03-24T00:16:00Z,63.84,36.32
2026-03-24T00:17:00Z,55.21,47.00
2026-03-24T00:18:00Z,54.00,47.00
2026-03-24T00:19:00Z,51.00,50.00
2026-03-24T00:20:00Z,52.15,48.12
2026-03-24T00:21:00Z,47.07,49.27
2026-03-24T00:22:00Z,44.86,54.00
2026-03-24T00:23:00Z,37.68,63.16
2026-03-24T00:24:00Z,44.88,62.44
2026-03-24T00:25:00Z,42.50,58.39
2026-03-24T00:26:00Z,34.87,65.31
2026-03-24T00:27:00Z,34.00,67.00
2026-03-24T00:28:00Z,36.57,67.00
2026-03-24T00:29:00Z,36.00,64.00
2026-03-24T00:30:00Z,36.75,64.00
2026-03-24T00:31:00Z,32.49,64.00
2026-03-24T00:32:00Z,35.19,66.00
2026-03-24T00:33:00Z,41.85,57.94
2026-03-24T00:34:00Z,38.17,66.00
2026-03-24T00:35:00Z,34.00,68.00
2026-03-24T00:36:00Z,34.00,68.00
2026-03-24T00:37:00Z,32.39,68.00
2026-03-24T00:38:00Z,31.84,69.08
2026-03-24T00:39:00Z,33.66,67.00
2026-03-24T00:40:00Z,32.39,67.37
2026-03-24T00:41:00Z,32.76,70.90
