# event_ticker=KXATPCHALLENGERMATCH-26MAR20TRAMOL
# final_score=6-2 RET
# match_winner=Stefano Travaglia
# fav_player=Stefano Travaglia
# dog_player=Alex Molcan
# kalshi_date=2026-03-20
timestamp,Stefano Travaglia,Alex Molcan
2026-03-20T01:31:00Z,52.00,
2026-03-20T02:06:00Z,52.00,
2026-03-20T03:44:00Z,52.00,49.99
2026-03-20T03:47:00Z,52.00,49.99
2026-03-20T04:08:00Z,52.00,47.00
2026-03-20T04:11:00Z,54.00,47.00
2026-03-20T04:12:00Z,54.00,46.00
2026-03-20T04:15:00Z,56.00,46.00
2026-03-20T04:16:00Z,54.00,46.00
2026-03-20T04:24:00Z,56.00,46.00
2026-03-20T04:25:00Z,56.00,47.00
2026-03-20T04:33:00Z,56.00,47.00
2026-03-20T04:42:00Z,56.00,47.00
2026-03-20T04:44:00Z,56.00,46.00
2026-03-20T04:48:00Z,56.00,46.00
2026-03-20T04:50:00Z,56.00,47.00
2026-03-20T04:51:00Z,56.00,47.00
2026-03-20T04:52:00Z,56.00,47.00
2026-03-20T04:55:00Z,56.00,47.00
2026-03-20T05:00:00Z,56.00,47.00
2026-03-20T05:13:00Z,56.55,46.00
2026-03-20T05:17:00Z,57.00,46.00
2026-03-20T05:24:00Z,57.00,46.00
2026-03-20T05:36:00Z,57.00,46.00
2026-03-20T05:37:00Z,58.39,46.00
2026-03-20T05:38:00Z,58.00,46.00
2026-03-20T05:41:00Z,58.00,46.00
2026-03-20T05:43:00Z,58.00,46.00
2026-03-20T05:44:00Z,58.00,46.00
2026-03-20T05:48:00Z,58.00,43.00
2026-03-20T05:50:00Z,58.48,43.00
2026-03-20T05:52:00Z,58.00,43.00
2026-03-20T05:58:00Z,58.00,43.00
2026-03-20T06:01:00Z,58.00,43.00
2026-03-20T06:09:00Z,58.00,43.00
2026-03-20T06:13:00Z,58.00,43.00
2026-03-20T06:14:00Z,58.00,43.00
2026-03-20T06:26:00Z,58.00,43.00
2026-03-20T06:30:00Z,58.00,43.00
2026-03-20T06:32:00Z,58.00,43.00
2026-03-20T06:57:00Z,58.00,43.00
2026-03-20T07:13:00Z,58.00,42.00
2026-03-20T07:15:00Z,58.00,43.00
2026-03-20T07:18:00Z,58.00,43.00
2026-03-20T07:19:00Z,58.00,43.00
2026-03-20T07:26:00Z,59.00,43.00
2026-03-20T07:29:00Z,59.00,43.00
2026-03-20T07:43:00Z,59.00,43.00
2026-03-20T07:45:00Z,59.00,43.00
2026-03-20T07:49:00Z,59.00,43.00
2026-03-20T07:53:00Z,59.00,43.00
2026-03-20T08:04:00Z,59.00,43.00
2026-03-20T08:25:00Z,58.00,43.00
2026-03-20T08:32:00Z,58.62,43.00
2026-03-20T08:42:00Z,58.62,43.00
2026-03-20T08:56:00Z,59.00,43.00
2026-03-20T09:20:00Z,59.00,43.51
2026-03-20T09:49:00Z,59.00,44.00
2026-03-20T09:50:00Z,58.00,44.00
2026-03-20T09:51:00Z,58.00,44.00
2026-03-20T09:59:00Z,58.00,44.00
2026-03-20T10:16:00Z,58.00,44.00
2026-03-20T10:20:00Z,58.00,44.00
2026-03-20T10:22:00Z,58.30,44.00
2026-03-20T10:23:00Z,59.00,44.00
2026-03-20T10:26:00Z,59.00,44.00
2026-03-20T10:28:00Z,59.00,44.00
2026-03-20T10:31:00Z,59.00,44.00
2026-03-20T10:33:00Z,59.00,44.00
2026-03-20T10:36:00Z,59.00,44.00
2026-03-20T10:42:00Z,59.00,44.00
2026-03-20T10:48:00Z,59.00,43.00
2026-03-20T10:50:00Z,59.00,43.00
2026-03-20T10:52:00Z,59.00,43.00
2026-03-20T10:53:00Z,59.00,43.00
2026-03-20T10:57:00Z,59.00,43.00
2026-03-20T10:59:00Z,58.00,43.00
2026-03-20T11:00:00Z,58.00,44.00
2026-03-20T11:01:00Z,58.66,44.00
2026-03-20T11:03:00Z,58.66,44.00
2026-03-20T11:05:00Z,58.55,44.00
2026-03-20T11:06:00Z,58.98,44.00
2026-03-20T11:08:00Z,59.51,43.00
2026-03-20T11:09:00Z,59.56,43.00
2026-03-20T11:10:00Z,59.88,41.54
2026-03-20T11:11:00Z,59.82,43.00
2026-03-20T11:12:00Z,60.00,42.00
2026-03-20T11:13:00Z,60.55,42.00
2026-03-20T11:14:00Z,60.00,42.12
2026-03-20T11:15:00Z,60.09,42.42
2026-03-20T11:16:00Z,59.76,42.00
2026-03-20T11:17:00Z,63.12,39.18
2026-03-20T11:18:00Z,58.10,47.67
2026-03-20T11:19:00Z,56.99,44.99
2026-03-20T11:20:00Z,52.15,48.92
2026-03-20T11:21:00Z,54.11,47.61
2026-03-20T11:22:00Z,57.30,43.43
2026-03-20T11:23:00Z,52.05,45.13
2026-03-20T11:24:00Z,53.61,47.63
2026-03-20T11:25:00Z,52.43,47.22
2026-03-20T11:26:00Z,52.55,49.98
2026-03-20T11:27:00Z,55.79,46.19
2026-03-20T11:28:00Z,59.00,41.56
2026-03-20T11:29:00Z,62.71,40.24
2026-03-20T11:30:00Z,63.09,38.21
2026-03-20T11:31:00Z,69.23,30.43
2026-03-20T11:32:00Z,71.50,28.98
2026-03-20T11:33:00Z,69.74,30.88
2026-03-20T11:34:00Z,69.78,33.48
2026-03-20T11:35:00Z,71.56,29.17
2026-03-20T11:36:00Z,69.85,34.51
2026-03-20T11:37:00Z,59.09,41.29
2026-03-20T11:38:00Z,64.56,36.29
2026-03-20T11:39:00Z,69.31,29.23
2026-03-20T11:40:00Z,71.77,28.99
2026-03-20T11:41:00Z,73.49,25.33
2026-03-20T11:42:00Z,77.93,23.73
2026-03-20T11:43:00Z,79.00,23.00
2026-03-20T11:44:00Z,73.94,26.41
2026-03-20T11:45:00Z,74.11,26.00
2026-03-20T11:46:00Z,80.51,17.64
2026-03-20T11:47:00Z,82.71,15.80
2026-03-20T11:48:00Z,84.90,16.93
2026-03-20T11:49:00Z,86.06,14.13
2026-03-20T11:50:00Z,87.67,13.88
2026-03-20T11:51:00Z,87.23,14.00
2026-03-20T11:52:00Z,87.09,13.01
2026-03-20T11:53:00Z,92.60,8.05
2026-03-20T11:54:00Z,94.08,5.21
2026-03-20T11:55:00Z,98.82,1.64
2026-03-20T11:56:00Z,98.38,1.35
2026-03-20T11:57:00Z,97.86,1.17
2026-03-20T11:58:00Z,97.46,1.00
