# event_ticker=KXATPCHALLENGERMATCH-26MAY13BERDAN
# final_score=6-4 6-2
# match_winner=Matteo Berrettini
# fav_player=Matteo Berrettini
# dog_player=Taro Daniel
# kalshi_date=2026-05-13
timestamp,Matteo Berrettini,Taro Daniel
2026-05-13T04:28:00Z,,19.00
2026-05-13T05:13:00Z,85.00,19.00
2026-05-13T05:16:00Z,82.00,19.00
2026-05-13T05:44:00Z,86.00,19.00
2026-05-13T06:23:00Z,86.00,17.00
2026-05-13T07:19:00Z,86.00,14.00
2026-05-13T07:20:00Z,86.00,14.00
2026-05-13T07:24:00Z,87.00,14.00
2026-05-13T08:33:00Z,87.00,15.00
2026-05-13T08:41:00Z,87.31,14.46
2026-05-13T08:55:00Z,87.31,15.00
2026-05-13T09:40:00Z,87.00,14.00
2026-05-13T10:39:00Z,87.00,14.00
2026-05-13T11:40:00Z,87.00,14.00
2026-05-13T11:48:00Z,87.00,14.00
2026-05-13T11:50:00Z,87.00,14.00
2026-05-13T12:19:00Z,88.00,14.00
2026-05-13T12:22:00Z,88.00,13.00
2026-05-13T12:42:00Z,88.00,13.00
2026-05-13T12:43:00Z,88.00,13.00
2026-05-13T12:55:00Z,89.00,13.00
2026-05-13T13:09:00Z,89.00,13.00
2026-05-13T13:39:00Z,89.00,13.38
2026-05-13T13:42:00Z,89.00,13.38
2026-05-13T13:55:00Z,88.00,13.38
2026-05-13T13:58:00Z,88.00,13.38
2026-05-13T14:13:00Z,88.00,14.00
2026-05-13T14:25:00Z,88.00,14.00
2026-05-13T14:27:00Z,88.00,14.00
2026-05-13T14:28:00Z,88.00,13.00
2026-05-13T14:37:00Z,88.00,13.00
2026-05-13T14:38:00Z,88.00,13.00
2026-05-13T14:41:00Z,88.00,13.00
2026-05-13T14:47:00Z,88.00,13.62
2026-05-13T14:50:00Z,88.00,14.00
2026-05-13T14:56:00Z,88.00,14.00
2026-05-13T15:01:00Z,88.00,14.00
2026-05-13T15:02:00Z,88.00,14.00
2026-05-13T15:08:00Z,86.49,14.00
2026-05-13T15:09:00Z,87.00,14.00
2026-05-13T15:18:00Z,87.92,14.00
2026-05-13T15:33:00Z,88.00,14.00
2026-05-13T15:35:00Z,88.00,14.00
2026-05-13T15:36:00Z,88.00,14.00
2026-05-13T15:47:00Z,88.00,14.00
2026-05-13T15:48:00Z,88.00,14.00
2026-05-13T15:51:00Z,88.00,14.00
2026-05-13T15:52:00Z,88.00,14.00
2026-05-13T15:53:00Z,88.00,14.00
2026-05-13T16:01:00Z,88.00,13.00
2026-05-13T16:02:00Z,88.00,14.00
2026-05-13T16:03:00Z,88.00,14.00
2026-05-13T16:04:00Z,88.00,14.00
2026-05-13T16:06:00Z,88.00,14.48
2026-05-13T16:07:00Z,87.66,14.48
2026-05-13T16:09:00Z,87.66,15.00
2026-05-13T16:11:00Z,86.00,15.00
2026-05-13T16:12:00Z,84.00,15.97
2026-05-13T16:13:00Z,84.00,16.25
2026-05-13T16:14:00Z,84.00,16.10
2026-05-13T16:15:00Z,82.00,18.22
2026-05-13T16:16:00Z,82.33,19.75
2026-05-13T16:17:00Z,82.71,18.91
2026-05-13T16:18:00Z,83.09,17.68
2026-05-13T16:19:00Z,82.00,18.09
2026-05-13T16:20:00Z,78.16,20.71
2026-05-13T16:21:00Z,82.02,17.28
2026-05-13T16:22:00Z,84.86,16.08
2026-05-13T16:23:00Z,83.02,15.38
2026-05-13T16:24:00Z,88.18,12.21
2026-05-13T16:25:00Z,91.00,9.35
2026-05-13T16:26:00Z,91.57,10.73
2026-05-13T16:27:00Z,91.57,13.00
2026-05-13T16:28:00Z,90.43,9.41
2026-05-13T16:29:00Z,90.43,9.00
2026-05-13T16:30:00Z,93.03,6.98
2026-05-13T16:31:00Z,94.00,7.10
2026-05-13T16:32:00Z,92.86,8.00
2026-05-13T16:33:00Z,92.00,9.00
2026-05-13T16:34:00Z,91.96,8.99
2026-05-13T16:35:00Z,89.62,9.79
2026-05-13T16:36:00Z,87.00,13.59
2026-05-13T16:37:00Z,85.01,14.54
2026-05-13T16:38:00Z,81.37,18.63
2026-05-13T16:39:00Z,79.00,21.63
2026-05-13T16:40:00Z,77.86,23.14
2026-05-13T16:41:00Z,77.86,23.00
2026-05-13T16:42:00Z,77.86,25.00
2026-05-13T16:43:00Z,75.48,25.07
2026-05-13T16:44:00Z,76.84,23.27
2026-05-13T16:45:00Z,78.00,23.11
2026-05-13T16:46:00Z,74.00,26.76
2026-05-13T16:47:00Z,69.17,31.19
2026-05-13T16:48:00Z,68.56,34.03
2026-05-13T16:49:00Z,68.63,30.60
2026-05-13T16:50:00Z,67.76,32.67
2026-05-13T16:51:00Z,72.97,26.41
2026-05-13T16:52:00Z,76.44,22.69
2026-05-13T16:53:00Z,82.70,17.47
2026-05-13T16:54:00Z,81.53,18.77
2026-05-13T16:55:00Z,81.83,19.01
2026-05-13T16:56:00Z,74.83,24.65
2026-05-13T16:57:00Z,79.29,19.67
