# event_ticker=KXATPMATCH-26APR22BONDRO
# final_score=6-7(4) 7-6(4) 6-4
# score_resolution=6-7 7-6 6-4
# match_winner=Benjamin Bonzi
# fav_player=Benjamin Bonzi
# dog_player=Titouan Droguet
# kalshi_date=2026-04-22
timestamp,Benjamin Bonzi,Titouan Droguet
2026-04-22T04:18:00Z,,63.23
2026-04-22T04:33:00Z,46.00,63.23
2026-04-22T05:03:00Z,46.00,61.00
2026-04-22T05:05:00Z,46.99,61.00
2026-04-22T05:24:00Z,39.00,61.00
2026-04-22T05:30:00Z,39.00,61.00
2026-04-22T05:33:00Z,46.00,61.00
2026-04-22T05:34:00Z,46.00,61.00
2026-04-22T05:43:00Z,46.00,61.00
2026-04-22T05:52:00Z,46.00,61.00
2026-04-22T05:55:00Z,46.00,61.00
2026-04-22T05:56:00Z,46.00,56.00
2026-04-22T06:03:00Z,46.00,56.00
2026-04-22T06:07:00Z,46.49,56.00
2026-04-22T06:19:00Z,46.49,56.00
2026-04-22T06:27:00Z,46.00,56.00
2026-04-22T06:28:00Z,46.00,56.00
2026-04-22T06:36:00Z,46.00,56.00
2026-04-22T06:50:00Z,46.00,56.00
2026-04-22T06:51:00Z,46.00,56.00
2026-04-22T07:00:00Z,46.00,56.00
2026-04-22T07:04:00Z,44.00,58.58
2026-04-22T07:05:00Z,46.00,60.00
2026-04-22T07:21:00Z,46.00,60.00
2026-04-22T07:40:00Z,46.00,60.00
2026-04-22T08:18:00Z,46.00,60.00
2026-04-22T08:32:00Z,46.00,60.00
2026-04-22T08:35:00Z,46.00,60.00
2026-04-22T08:49:00Z,46.00,57.00
2026-04-22T09:13:00Z,46.00,58.00
2026-04-22T09:47:00Z,46.00,58.00
2026-04-22T10:34:00Z,46.00,58.00
2026-04-22T11:00:00Z,46.00,57.00
2026-04-22T11:11:00Z,46.00,58.00
2026-04-22T11:27:00Z,46.00,57.00
2026-04-22T11:36:00Z,43.00,57.00
2026-04-22T11:38:00Z,43.00,59.00
2026-04-22T11:51:00Z,43.00,59.00
2026-04-22T12:20:00Z,43.00,57.00
2026-04-22T12:24:00Z,43.00,57.00
2026-04-22T12:30:00Z,44.00,57.00
2026-04-22T12:57:00Z,44.00,57.00
2026-04-22T13:00:00Z,44.00,57.00
2026-04-22T13:02:00Z,44.00,57.00
2026-04-22T13:07:00Z,44.00,57.00
2026-04-22T13:11:00Z,44.00,57.00
