# event_ticker=KXATPCHALLENGERMATCH-26APR21FOMORL
# final_score=6-3 3-6 6-3
# score_resolution=3-6 6-3 3-6
# match_winner=Sergey Fomin
# fav_player=Vladyslav Orlov
# dog_player=Sergey Fomin
# kalshi_date=2026-04-21
timestamp,Sergey Fomin,Vladyslav Orlov
2026-04-20T17:30:00Z,51.00,
2026-04-20T17:56:00Z,56.00,
2026-04-20T21:18:00Z,61.00,
2026-04-20T22:21:00Z,61.00,41.00
2026-04-21T01:17:00Z,62.00,41.00
2026-04-21T01:45:00Z,62.00,41.00
2026-04-21T02:04:00Z,62.00,41.00
2026-04-21T03:28:00Z,62.00,41.00
2026-04-21T03:31:00Z,62.00,41.00
2026-04-21T03:35:00Z,62.00,41.00
2026-04-21T03:37:00Z,62.00,41.00
2026-04-21T03:39:00Z,62.00,41.00
2026-04-21T03:58:00Z,61.00,41.00
2026-04-21T04:00:00Z,62.00,41.00
2026-04-21T04:31:00Z,62.00,41.00
2026-04-21T04:57:00Z,62.00,41.00
2026-04-21T04:58:00Z,62.00,41.00
2026-04-21T05:01:00Z,61.00,41.00
2026-04-21T05:02:00Z,61.00,41.00
2026-04-21T05:04:00Z,61.38,41.00
2026-04-21T05:05:00Z,59.00,41.00
2026-04-21T05:06:00Z,61.00,41.00
2026-04-21T05:08:00Z,60.79,41.00
2026-04-21T05:09:00Z,57.00,41.00
2026-04-21T05:10:00Z,62.47,41.94
2026-04-21T05:11:00Z,62.47,43.59
2026-04-21T05:12:00Z,62.47,52.68
2026-04-21T05:13:00Z,47.50,54.88
2026-04-21T05:16:00Z,44.43,57.40
2026-04-21T05:17:00Z,43.35,57.00
2026-04-21T05:18:00Z,43.35,61.69
2026-04-21T05:19:00Z,39.00,61.69
2026-04-21T05:20:00Z,41.00,59.00
2026-04-21T05:21:00Z,42.69,58.00
2026-04-21T05:22:00Z,43.00,58.00
2026-04-21T05:23:00Z,44.44,55.54
2026-04-21T05:24:00Z,43.66,56.25
2026-04-21T05:25:00Z,41.70,60.81
2026-04-21T05:26:00Z,39.81,61.05
2026-04-21T05:27:00Z,37.56,62.70
2026-04-21T05:28:00Z,37.36,62.00
2026-04-21T05:29:00Z,38.98,61.84
2026-04-21T05:30:00Z,39.13,62.53
2026-04-21T05:31:00Z,40.16,61.00
2026-04-21T05:32:00Z,36.99,65.34
2026-04-21T05:33:00Z,38.42,60.95
2026-04-21T05:34:00Z,41.19,59.00
2026-04-21T05:35:00Z,40.44,59.20
2026-04-21T05:36:00Z,36.53,64.35
2026-04-21T05:37:00Z,39.45,59.05
2026-04-21T05:38:00Z,49.23,52.62
2026-04-21T05:39:00Z,46.01,55.56
2026-04-21T05:40:00Z,49.73,49.42
2026-04-21T05:41:00Z,56.37,46.70
2026-04-21T05:42:00Z,59.36,36.17
2026-04-21T05:43:00Z,62.16,37.73
2026-04-21T05:44:00Z,66.04,30.02
2026-04-21T05:45:00Z,69.24,30.81
2026-04-21T05:46:00Z,74.82,24.17
2026-04-21T05:47:00Z,80.86,19.72
2026-04-21T05:48:00Z,82.42,18.03
2026-04-21T05:49:00Z,82.90,17.17
2026-04-21T05:50:00Z,82.05,17.00
2026-04-21T05:51:00Z,85.00,16.92
2026-04-21T05:52:00Z,86.65,14.18
2026-04-21T05:53:00Z,85.27,18.84
2026-04-21T05:54:00Z,81.17,21.28
2026-04-21T05:55:00Z,80.92,21.33
2026-04-21T05:56:00Z,82.39,19.37
2026-04-21T05:57:00Z,84.77,17.96
2026-04-21T05:58:00Z,84.91,16.55
2026-04-21T05:59:00Z,81.06,20.20
2026-04-21T06:00:00Z,86.03,18.45
2026-04-21T06:01:00Z,82.90,18.49
2026-04-21T06:02:00Z,76.34,20.00
2026-04-21T06:03:00Z,78.23,22.87
