# event_ticker=KXATPCHALLENGERMATCH-26FEB13KASCAS
# final_score=6-3 7-6(5)
# score_resolution=3-6 6-7
# match_winner=Maks Kasnikowski
# fav_player=Luca Castelnuovo
# dog_player=Maks Kasnikowski
# kalshi_date=2026-02-13
timestamp,Luca Castelnuovo,Maks Kasnikowski
2026-02-12T20:34:00Z,23.00,
2026-02-12T20:35:00Z,23.00,77.00
2026-02-12T22:26:00Z,26.00,77.00
2026-02-12T22:50:00Z,27.00,77.00
2026-02-13T00:08:00Z,26.00,77.00
2026-02-13T00:23:00Z,27.00,77.00
2026-02-13T01:46:00Z,27.00,77.00
2026-02-13T02:51:00Z,27.00,77.00
2026-02-13T03:10:00Z,27.00,77.00
2026-02-13T03:21:00Z,27.00,77.00
2026-02-13T03:44:00Z,27.00,77.00
2026-02-13T03:45:00Z,27.00,77.00
2026-02-13T03:46:00Z,27.00,77.00
2026-02-13T03:57:00Z,27.00,77.00
2026-02-13T04:00:00Z,27.00,77.00
2026-02-13T04:06:00Z,26.00,77.00
2026-02-13T04:07:00Z,26.00,77.00
2026-02-13T04:11:00Z,26.00,77.00
2026-02-13T04:22:00Z,26.00,77.00
2026-02-13T04:28:00Z,26.00,77.00
2026-02-13T04:31:00Z,24.00,77.00
2026-02-13T04:47:00Z,24.00,77.00
2026-02-13T04:57:00Z,24.00,77.00
2026-02-13T04:58:00Z,26.00,77.00
2026-02-13T05:09:00Z,26.00,77.00
2026-02-13T05:14:00Z,26.00,77.00
2026-02-13T05:17:00Z,26.00,77.00
2026-02-13T05:18:00Z,26.00,77.00
2026-02-13T05:22:00Z,25.00,77.00
2026-02-13T05:23:00Z,25.00,77.00
2026-02-13T05:26:00Z,25.00,77.00
2026-02-13T05:27:00Z,25.00,77.00
2026-02-13T05:30:00Z,24.00,77.00
2026-02-13T05:33:00Z,24.00,77.00
2026-02-13T05:34:00Z,24.00,77.00
2026-02-13T05:41:00Z,25.00,77.00
2026-02-13T05:44:00Z,25.00,77.00
2026-02-13T05:47:00Z,25.00,77.00
2026-02-13T05:48:00Z,25.00,77.00
2026-02-13T05:49:00Z,25.00,77.00
2026-02-13T05:50:00Z,25.00,77.00
2026-02-13T05:51:00Z,25.00,77.00
2026-02-13T05:52:00Z,25.00,77.00
2026-02-13T05:58:00Z,25.00,77.00
2026-02-13T06:00:00Z,25.00,77.00
2026-02-13T06:04:00Z,25.00,77.00
2026-02-13T06:05:00Z,25.00,77.00
2026-02-13T06:07:00Z,25.00,77.00
2026-02-13T06:09:00Z,25.00,77.00
2026-02-13T06:14:00Z,25.00,77.00
2026-02-13T06:16:00Z,25.00,77.00
2026-02-13T06:21:00Z,25.00,77.00
