# event_ticker=KXATPMATCH-26JUN08ZHABRO
# final_score=7-6(4) 5-7 6-1
# score_resolution=6-7 7-5 1-6
# match_winner=Zhizhen Zhang
# fav_player=Jenson Brooksby
# dog_player=Zhizhen Zhang
# kalshi_date=2026-06-08
timestamp,Zhizhen Zhang,Jenson Brooksby
2026-06-09T00:25:00Z,,58.00
2026-06-09T00:34:00Z,,58.00
2026-06-09T01:07:00Z,,58.00
2026-06-09T01:10:00Z,,58.00
2026-06-09T01:21:00Z,,58.00
2026-06-09T01:38:00Z,,58.00
2026-06-09T01:41:00Z,44.00,58.00
2026-06-09T01:51:00Z,42.08,58.00
2026-06-09T02:04:00Z,42.00,58.00
2026-06-09T02:25:00Z,42.00,58.00
2026-06-09T02:33:00Z,42.00,58.00
2026-06-09T02:46:00Z,42.00,58.00
2026-06-09T02:56:00Z,44.00,58.00
2026-06-09T02:57:00Z,44.00,58.00
2026-06-09T03:04:00Z,44.00,58.00
2026-06-09T03:13:00Z,44.00,58.00
2026-06-09T03:15:00Z,44.00,58.00
2026-06-09T03:35:00Z,44.00,58.00
2026-06-09T03:48:00Z,44.00,58.00
2026-06-09T03:50:00Z,44.00,58.00
2026-06-09T03:51:00Z,44.00,58.00
2026-06-09T03:52:00Z,44.00,58.00
2026-06-09T03:55:00Z,44.00,58.42
2026-06-09T03:56:00Z,44.00,58.00
2026-06-09T04:01:00Z,43.00,58.00
2026-06-09T04:03:00Z,43.00,59.00
2026-06-09T04:04:00Z,43.00,59.00
2026-06-09T04:05:00Z,43.00,57.00
2026-06-09T04:07:00Z,43.00,57.00
2026-06-09T04:08:00Z,43.00,58.00
2026-06-09T04:12:00Z,43.00,58.00
2026-06-09T04:13:00Z,43.00,58.00
2026-06-09T04:14:00Z,43.00,58.00
2026-06-09T04:21:00Z,43.00,58.54
2026-06-09T04:24:00Z,43.00,58.54
2026-06-09T04:25:00Z,43.00,58.54
2026-06-09T04:26:00Z,43.00,58.54
2026-06-09T04:36:00Z,43.00,59.00
2026-06-09T04:38:00Z,43.00,59.00
2026-06-09T04:39:00Z,43.00,59.00
2026-06-09T04:41:00Z,42.00,59.00
2026-06-09T04:43:00Z,42.99,59.00
2026-06-09T04:44:00Z,42.99,59.00
2026-06-09T04:45:00Z,42.99,59.00
2026-06-09T04:46:00Z,42.99,59.00
2026-06-09T04:47:00Z,42.99,59.00
2026-06-09T04:48:00Z,42.99,59.00
2026-06-09T04:49:00Z,43.00,59.00
2026-06-09T04:51:00Z,43.00,59.00
2026-06-09T04:52:00Z,43.00,59.00
2026-06-09T04:53:00Z,43.00,59.00
2026-06-09T04:57:00Z,43.00,59.00
2026-06-09T05:04:00Z,43.00,59.00
2026-06-09T05:11:00Z,43.00,59.00
2026-06-09T05:13:00Z,43.00,57.00
2026-06-09T05:16:00Z,43.00,57.00
2026-06-09T05:18:00Z,43.00,59.00
2026-06-09T05:19:00Z,43.00,59.00
2026-06-09T05:24:00Z,43.00,59.00
