# event_ticker=KXATPCHALLENGERMATCH-26MAY12CLAECH
# final_score=6-0 6-3
# match_winner=Jay Clarke
# fav_player=Jay Clarke
# dog_player=Moez Echargui
# kalshi_date=2026-05-12
timestamp,Jay Clarke,Moez Echargui
2026-05-12T04:25:00Z,64.00,
2026-05-12T04:32:00Z,64.00,
2026-05-12T08:48:00Z,62.00,
2026-05-12T10:05:00Z,62.00,39.00
2026-05-12T10:11:00Z,62.00,40.00
2026-05-12T10:14:00Z,62.00,40.00
2026-05-12T10:48:00Z,62.00,40.00
2026-05-12T11:27:00Z,62.00,42.00
2026-05-12T11:43:00Z,60.00,42.00
2026-05-12T11:54:00Z,61.00,42.00
2026-05-12T12:07:00Z,61.00,42.00
2026-05-12T12:10:00Z,61.00,42.00
2026-05-12T12:33:00Z,61.00,41.00
2026-05-12T12:42:00Z,58.80,41.36
2026-05-12T12:43:00Z,62.00,41.36
2026-05-12T12:48:00Z,61.00,41.36
2026-05-12T12:56:00Z,59.00,41.36
2026-05-12T13:12:00Z,59.54,42.00
2026-05-12T13:13:00Z,61.01,40.96
2026-05-12T13:14:00Z,67.00,35.00
2026-05-12T13:15:00Z,69.00,30.00
2026-05-12T13:16:00Z,69.00,31.08
2026-05-12T13:17:00Z,67.65,39.33
2026-05-12T13:18:00Z,66.29,34.69
2026-05-12T13:19:00Z,70.01,29.98
2026-05-12T13:20:00Z,73.23,26.96
2026-05-12T13:21:00Z,73.71,25.69
2026-05-12T13:22:00Z,77.95,22.80
2026-05-12T13:23:00Z,80.92,20.00
2026-05-12T13:24:00Z,80.92,19.00
2026-05-12T13:25:00Z,82.00,19.00
2026-05-12T13:26:00Z,82.00,18.00
2026-05-12T13:28:00Z,78.92,23.46
2026-05-12T13:29:00Z,80.77,20.00
2026-05-12T13:30:00Z,80.77,17.00
2026-05-12T13:31:00Z,84.96,15.28
2026-05-12T13:32:00Z,85.00,15.28
2026-05-12T13:33:00Z,85.12,15.28
2026-05-12T13:35:00Z,85.99,14.00
2026-05-12T13:36:00Z,86.00,14.00
2026-05-12T13:37:00Z,86.00,14.00
2026-05-12T13:38:00Z,86.00,14.00
2026-05-12T13:40:00Z,87.00,14.00
2026-05-12T13:41:00Z,88.00,14.00
2026-05-12T13:42:00Z,89.57,9.61
2026-05-12T13:43:00Z,94.31,7.99
2026-05-12T13:44:00Z,95.00,8.00
2026-05-12T13:45:00Z,95.00,8.62
2026-05-12T13:46:00Z,95.00,8.62
2026-05-12T13:47:00Z,91.77,8.69
2026-05-12T13:48:00Z,90.04,11.00
2026-05-12T13:49:00Z,94.00,7.27
2026-05-12T13:50:00Z,95.05,5.00
2026-05-12T13:51:00Z,94.85,6.00
2026-05-12T13:52:00Z,92.93,7.89
2026-05-12T13:54:00Z,92.05,7.80
2026-05-12T13:55:00Z,91.21,8.08
2026-05-12T13:56:00Z,91.21,12.59
2026-05-12T13:57:00Z,93.00,8.00
2026-05-12T13:58:00Z,93.86,6.74
2026-05-12T13:59:00Z,94.05,6.74
2026-05-12T14:00:00Z,95.00,6.00
2026-05-12T14:01:00Z,95.00,5.00
2026-05-12T14:02:00Z,96.00,5.57
2026-05-12T14:03:00Z,96.00,3.96
2026-05-12T14:04:00Z,96.00,4.00
2026-05-12T14:05:00Z,96.00,4.00
2026-05-12T14:06:00Z,95.00,5.04
2026-05-12T14:07:00Z,95.00,5.04
2026-05-12T14:08:00Z,94.59,6.00
2026-05-12T14:09:00Z,96.00,4.00
2026-05-12T14:10:00Z,97.00,4.00
2026-05-12T14:11:00Z,96.00,3.96
2026-05-12T14:12:00Z,96.94,4.00
2026-05-12T14:13:00Z,96.35,4.00
2026-05-12T14:14:00Z,96.07,4.00
2026-05-12T14:15:00Z,96.01,4.30
2026-05-12T14:16:00Z,96.01,5.00
2026-05-12T14:17:00Z,96.50,4.00
2026-05-12T14:18:00Z,95.88,4.98
2026-05-12T14:19:00Z,94.95,5.07
2026-05-12T14:20:00Z,96.00,3.48
2026-05-12T14:21:00Z,98.00,3.00
2026-05-12T14:22:00Z,97.00,3.05
2026-05-12T14:23:00Z,97.02,3.00
2026-05-12T14:24:00Z,97.02,4.00
2026-05-12T14:25:00Z,98.00,2.05
2026-05-12T14:26:00Z,97.00,4.00
2026-05-12T14:27:00Z,98.02,2.00
2026-05-12T14:28:00Z,99.00,1.33
2026-05-12T14:29:00Z,99.00,1.33
2026-05-12T14:30:00Z,99.00,1.00
2026-05-12T14:31:00Z,99.00,1.00
