# event_ticker=KXATPMATCH-26MAR31BASPRI
# final_score=6-4 6-2
# match_winner=Dino Prizmic
# fav_player=Dino Prizmic
# dog_player=Nikoloz Basilashvili
# kalshi_date=2026-03-31
timestamp,Dino Prizmic,Nikoloz Basilashvili
2026-03-31T14:09:00Z,,50.00
2026-03-31T14:11:00Z,,50.00
2026-03-31T14:16:00Z,,50.00
2026-03-31T14:17:00Z,,50.00
2026-03-31T14:19:00Z,,50.00
2026-03-31T14:20:00Z,57.00,38.50
2026-03-31T14:22:00Z,50.16,38.50
2026-03-31T14:24:00Z,71.00,35.00
2026-03-31T14:26:00Z,68.40,35.00
2026-03-31T14:28:00Z,82.13,36.19
2026-03-31T14:30:00Z,63.00,36.19
2026-03-31T14:31:00Z,68.40,57.00
2026-03-31T14:32:00Z,64.42,53.60
2026-03-31T14:33:00Z,62.48,49.45
2026-03-31T14:34:00Z,63.94,47.14
2026-03-31T14:35:00Z,63.94,63.61
2026-03-31T14:36:00Z,67.85,38.41
2026-03-31T14:38:00Z,93.96,28.00
2026-03-31T14:39:00Z,93.96,36.00
2026-03-31T14:40:00Z,93.96,34.49
2026-03-31T14:41:00Z,67.00,34.22
2026-03-31T14:42:00Z,74.00,29.00
2026-03-31T14:43:00Z,80.01,23.00
2026-03-31T14:44:00Z,74.00,30.20
2026-03-31T14:45:00Z,71.00,31.41
2026-03-31T14:46:00Z,71.00,29.00
2026-03-31T14:47:00Z,71.00,28.03
2026-03-31T14:48:00Z,72.00,30.99
2026-03-31T14:49:00Z,80.96,27.28
2026-03-31T14:50:00Z,84.06,18.86
2026-03-31T14:51:00Z,84.88,17.37
2026-03-31T14:52:00Z,85.00,23.00
2026-03-31T14:53:00Z,82.40,43.67
2026-03-31T14:54:00Z,87.00,20.66
2026-03-31T14:55:00Z,87.36,14.06
2026-03-31T14:56:00Z,86.05,16.21
2026-03-31T14:57:00Z,82.64,20.02
2026-03-31T14:58:00Z,80.00,17.29
2026-03-31T14:59:00Z,80.00,26.99
2026-03-31T15:00:00Z,76.88,25.33
2026-03-31T15:01:00Z,81.85,21.00
2026-03-31T15:02:00Z,82.34,21.57
2026-03-31T15:03:00Z,84.83,19.00
2026-03-31T15:04:00Z,87.65,17.00
2026-03-31T15:05:00Z,88.05,11.00
2026-03-31T15:06:00Z,89.94,12.00
2026-03-31T15:07:00Z,87.71,14.80
2026-03-31T15:08:00Z,87.03,14.50
2026-03-31T15:09:00Z,87.00,20.88
2026-03-31T15:10:00Z,88.00,20.88
2026-03-31T15:11:00Z,88.00,14.00
2026-03-31T15:12:00Z,88.94,14.00
2026-03-31T15:13:00Z,87.02,14.98
2026-03-31T15:14:00Z,87.00,15.71
2026-03-31T15:15:00Z,87.19,16.72
2026-03-31T15:16:00Z,88.31,13.40
2026-03-31T15:17:00Z,88.31,14.32
2026-03-31T15:18:00Z,89.30,12.75
2026-03-31T15:19:00Z,91.64,8.26
2026-03-31T15:20:00Z,95.58,6.02
2026-03-31T15:21:00Z,94.01,4.87
2026-03-31T15:22:00Z,98.11,2.03
2026-03-31T15:23:00Z,98.02,1.74
2026-03-31T15:24:00Z,98.00,2.06
2026-03-31T15:25:00Z,98.99,2.00
2026-03-31T15:26:00Z,99.00,1.00
2026-03-31T15:27:00Z,99.00,1.00
2026-03-31T15:32:00Z,99.00,1.00
