# event_ticker=KXATPCHALLENGERMATCH-26APR09NIKHEI
# final_score=6-2 6-4
# score_resolution=2-6 4-6
# match_winner=Gustavo Heide
# fav_player=Johan Nikles
# dog_player=Gustavo Heide
# kalshi_date=2026-04-09
timestamp,Johan Nikles,Gustavo Heide
2026-04-09T09:39:00Z,14.00,
2026-04-09T10:23:00Z,14.00,88.00
2026-04-09T10:31:00Z,14.00,88.00
2026-04-09T10:34:00Z,14.00,88.00
2026-04-09T11:17:00Z,14.00,88.00
2026-04-09T11:21:00Z,14.00,88.00
2026-04-09T11:40:00Z,14.00,87.00
2026-04-09T11:42:00Z,14.00,87.00
2026-04-09T11:47:00Z,14.00,87.00
2026-04-09T12:05:00Z,14.00,87.00
2026-04-09T12:08:00Z,14.00,87.00
2026-04-09T12:11:00Z,14.00,88.00
2026-04-09T12:18:00Z,14.00,88.00
2026-04-09T12:20:00Z,14.00,87.00
2026-04-09T12:22:00Z,14.00,87.00
2026-04-09T12:28:00Z,14.00,88.00
2026-04-09T12:32:00Z,14.00,88.00
2026-04-09T12:48:00Z,14.00,88.00
2026-04-09T12:54:00Z,14.00,88.00
2026-04-09T12:58:00Z,13.00,88.00
2026-04-09T13:18:00Z,13.00,89.00
2026-04-09T13:23:00Z,13.00,89.00
2026-04-09T13:32:00Z,13.00,88.00
2026-04-09T13:50:00Z,12.86,88.00
2026-04-09T13:55:00Z,12.86,88.00
2026-04-09T13:59:00Z,12.86,88.00
2026-04-09T14:04:00Z,13.00,88.00
2026-04-09T14:12:00Z,13.00,88.00
2026-04-09T14:21:00Z,13.00,88.00
2026-04-09T14:23:00Z,13.00,88.00
2026-04-09T14:29:00Z,13.00,88.00
2026-04-09T14:30:00Z,13.00,88.00
2026-04-09T14:40:00Z,13.00,88.00
2026-04-09T14:45:00Z,13.00,87.00
2026-04-09T14:50:00Z,13.00,88.00
2026-04-09T15:12:00Z,13.00,88.00
2026-04-09T15:18:00Z,13.00,89.00
2026-04-09T15:22:00Z,13.00,89.00
2026-04-09T15:23:00Z,13.00,88.00
2026-04-09T15:45:00Z,13.00,89.00
2026-04-09T15:51:00Z,13.00,88.00
2026-04-09T15:52:00Z,13.00,88.00
2026-04-09T15:54:00Z,14.00,88.00
2026-04-09T16:04:00Z,14.00,88.00
2026-04-09T16:11:00Z,14.00,88.00
2026-04-09T16:21:00Z,14.00,88.00
2026-04-09T16:22:00Z,14.00,88.00
2026-04-09T16:24:00Z,14.00,88.00
2026-04-09T16:26:00Z,14.00,88.00
2026-04-09T16:27:00Z,14.00,88.00
2026-04-09T16:34:00Z,12.01,88.00
2026-04-09T16:35:00Z,12.01,89.00
2026-04-09T16:43:00Z,12.01,89.00
