# event_ticker=KXATPMATCH-25SEP21MUSBAS
# final_score=6-3 6-3
# match_winner=Lorenzo Musetti
# fav_player=Lorenzo Musetti
# dog_player=Nikoloz Basilashvili
# kalshi_date=2025-09-21
timestamp,Lorenzo Musetti,Nikoloz Basilashvili
2025-09-20T22:47:00Z,71.00,
2025-09-20T23:15:00Z,71.00,
2025-09-20T23:40:00Z,71.00,
2025-09-20T23:42:00Z,71.00,
2025-09-21T00:05:00Z,71.00,
2025-09-21T00:09:00Z,71.00,29.00
2025-09-21T00:11:00Z,72.00,29.00
2025-09-21T00:20:00Z,73.00,29.00
2025-09-21T00:25:00Z,73.00,29.00
2025-09-21T00:48:00Z,73.00,29.00
2025-09-21T01:02:00Z,73.00,27.00
2025-09-21T01:24:00Z,73.00,27.00
2025-09-21T01:41:00Z,74.00,27.00
2025-09-21T01:44:00Z,74.17,27.00
2025-09-21T02:08:00Z,74.17,27.00
2025-09-21T02:20:00Z,75.00,27.00
2025-09-21T02:23:00Z,75.00,27.00
2025-09-21T02:25:00Z,75.00,27.00
2025-09-21T02:27:00Z,75.00,27.00
2025-09-21T02:29:00Z,75.00,27.00
2025-09-21T02:32:00Z,75.00,27.00
2025-09-21T02:36:00Z,75.00,27.00
2025-09-21T02:37:00Z,75.00,27.00
2025-09-21T02:38:00Z,75.00,27.00
2025-09-21T02:40:00Z,75.00,27.00
2025-09-21T02:41:00Z,75.00,26.00
2025-09-21T02:51:00Z,75.00,26.00
2025-09-21T02:52:00Z,75.00,27.00
2025-09-21T02:54:00Z,75.00,27.00
2025-09-21T03:01:00Z,75.00,27.00
2025-09-21T03:03:00Z,75.00,27.00
2025-09-21T03:08:00Z,75.00,27.00
2025-09-21T03:12:00Z,75.00,27.00
2025-09-21T03:16:00Z,75.00,27.00
2025-09-21T03:21:00Z,75.00,27.00
2025-09-21T03:26:00Z,75.00,27.00
2025-09-21T03:27:00Z,75.00,27.00
2025-09-21T03:33:00Z,74.99,27.00
2025-09-21T03:34:00Z,75.00,27.00
2025-09-21T03:36:00Z,75.00,27.00
2025-09-21T03:39:00Z,75.00,27.00
2025-09-21T03:40:00Z,74.00,27.00
2025-09-21T03:44:00Z,75.00,27.00
2025-09-21T03:48:00Z,75.00,27.00
2025-09-21T03:50:00Z,75.00,27.00
