# event_ticker=KXATPCHALLENGERMATCH-26MAR20CADBOS
# final_score=6-1 6-3
# score_resolution=1-6 3-6
# match_winner=Gianluca Cadenasso
# fav_player=Pedro Boscardin Dias
# dog_player=Gianluca Cadenasso
# kalshi_date=2026-03-20
timestamp,Pedro Boscardin Dias,Gianluca Cadenasso
2026-03-20T12:28:00Z,46.00,
2026-03-20T12:32:00Z,46.05,
2026-03-20T12:42:00Z,47.00,
2026-03-20T13:07:00Z,46.00,
2026-03-20T15:31:00Z,46.00,
2026-03-20T16:39:00Z,45.47,
2026-03-20T16:43:00Z,45.47,56.00
2026-03-20T17:23:00Z,45.47,56.00
2026-03-20T17:37:00Z,45.47,56.00
2026-03-20T18:39:00Z,45.47,56.20
2026-03-20T18:40:00Z,45.47,57.00
2026-03-20T18:51:00Z,45.47,57.00
2026-03-20T19:17:00Z,45.00,57.00
2026-03-20T20:04:00Z,45.00,57.68
2026-03-20T20:12:00Z,40.02,60.00
2026-03-20T20:14:00Z,38.79,60.00
2026-03-20T20:15:00Z,42.00,60.00
2026-03-20T20:17:00Z,33.00,60.00
2026-03-20T20:18:00Z,30.40,72.00
2026-03-20T20:19:00Z,30.40,74.00
2026-03-20T20:21:00Z,30.40,79.00
2026-03-20T20:22:00Z,21.00,79.00
2026-03-20T20:23:00Z,20.01,81.82
2026-03-20T20:24:00Z,18.00,82.00
2026-03-20T20:25:00Z,19.00,82.00
2026-03-20T20:26:00Z,19.00,78.66
2026-03-20T20:27:00Z,19.00,80.00
2026-03-20T20:29:00Z,19.00,80.00
2026-03-20T20:30:00Z,19.00,83.00
2026-03-20T20:31:00Z,18.77,83.00
2026-03-20T20:32:00Z,19.53,81.40
2026-03-20T20:33:00Z,21.14,79.25
2026-03-20T20:35:00Z,21.14,80.00
2026-03-20T20:36:00Z,21.14,80.00
2026-03-20T20:37:00Z,21.14,80.00
2026-03-20T20:38:00Z,17.00,83.00
2026-03-20T20:40:00Z,21.48,83.00
2026-03-20T20:41:00Z,21.48,81.22
2026-03-20T20:42:00Z,18.91,82.49
2026-03-20T20:43:00Z,14.00,85.00
2026-03-20T20:44:00Z,15.88,86.00
2026-03-20T20:45:00Z,16.00,88.00
2026-03-20T20:47:00Z,14.00,88.00
2026-03-20T20:48:00Z,14.00,88.00
2026-03-20T20:49:00Z,14.00,87.00
2026-03-20T20:50:00Z,15.00,87.00
2026-03-20T20:51:00Z,15.00,87.00
2026-03-20T20:52:00Z,13.86,87.00
2026-03-20T20:54:00Z,14.00,87.00
2026-03-20T20:55:00Z,10.03,87.97
2026-03-20T20:56:00Z,15.33,81.86
2026-03-20T20:57:00Z,14.33,82.84
2026-03-20T20:58:00Z,10.02,88.09
2026-03-20T20:59:00Z,12.17,88.09
2026-03-20T21:00:00Z,13.37,86.22
2026-03-20T21:01:00Z,16.34,86.22
2026-03-20T21:02:00Z,16.00,85.00
2026-03-20T21:03:00Z,13.16,87.30
2026-03-20T21:04:00Z,15.08,85.00
2026-03-20T21:05:00Z,16.00,84.99
2026-03-20T21:06:00Z,16.00,85.00
2026-03-20T21:07:00Z,12.07,87.62
2026-03-20T21:08:00Z,15.00,85.00
2026-03-20T21:09:00Z,15.00,85.00
2026-03-20T21:10:00Z,17.23,83.00
2026-03-20T21:11:00Z,15.35,85.00
2026-03-20T21:12:00Z,16.00,85.00
2026-03-20T21:13:00Z,13.00,89.48
2026-03-20T21:14:00Z,13.00,86.46
2026-03-20T21:15:00Z,13.00,90.17
2026-03-20T21:16:00Z,10.01,90.17
2026-03-20T21:18:00Z,18.00,84.00
2026-03-20T21:19:00Z,15.89,85.00
2026-03-20T21:20:00Z,15.89,85.00
2026-03-20T21:22:00Z,14.00,87.00
2026-03-20T21:23:00Z,13.00,88.00
2026-03-20T21:24:00Z,4.80,95.69
2026-03-20T21:25:00Z,4.00,96.00
2026-03-20T21:26:00Z,4.81,95.00
2026-03-20T21:27:00Z,6.19,95.38
2026-03-20T21:28:00Z,6.19,97.00
2026-03-20T21:29:00Z,2.00,98.01
2026-03-20T21:30:00Z,1.00,99.00
2026-03-20T21:31:00Z,1.00,99.00
2026-03-20T21:32:00Z,1.00,99.00
