# event_ticker=KXATPMATCH-26MAY06TIRCAD
# final_score=6-7(5) 6-4 6-0
# score_resolution=6-7 6-4 6-0
# match_winner=Thiago Agustin Tirante
# fav_player=Thiago Agustin Tirante
# dog_player=Gianluca Cadenasso
# kalshi_date=2026-05-06
timestamp,Thiago Agustin Tirante,Gianluca Cadenasso
2026-05-07T04:16:00Z,66.00,
2026-05-07T04:17:00Z,66.00,35.00
2026-05-07T04:21:00Z,66.00,35.00
2026-05-07T04:26:00Z,66.00,35.00
2026-05-07T04:31:00Z,66.00,35.00
2026-05-07T04:33:00Z,66.00,35.00
2026-05-07T04:38:00Z,66.00,35.00
2026-05-07T04:39:00Z,66.00,35.00
2026-05-07T04:47:00Z,66.00,35.00
2026-05-07T04:52:00Z,66.00,35.00
2026-05-07T05:07:00Z,66.00,35.00
2026-05-07T05:11:00Z,66.00,35.00
2026-05-07T05:14:00Z,66.00,35.00
2026-05-07T05:21:00Z,66.00,34.00
2026-05-07T05:24:00Z,66.00,34.00
2026-05-07T05:28:00Z,66.00,34.00
2026-05-07T05:29:00Z,66.00,34.00
2026-05-07T05:31:00Z,66.00,34.00
2026-05-07T05:37:00Z,66.00,35.00
2026-05-07T05:41:00Z,66.00,35.00
2026-05-07T05:47:00Z,66.00,35.00
2026-05-07T05:49:00Z,66.00,35.00
2026-05-07T05:53:00Z,66.00,35.00
2026-05-07T05:55:00Z,66.00,35.00
2026-05-07T05:57:00Z,66.00,35.00
2026-05-07T06:05:00Z,66.12,35.00
2026-05-07T06:16:00Z,67.00,35.00
2026-05-07T06:20:00Z,68.00,35.00
2026-05-07T06:24:00Z,68.00,35.00
2026-05-07T06:34:00Z,68.00,35.00
2026-05-07T06:40:00Z,68.00,35.00
2026-05-07T06:41:00Z,68.00,33.00
2026-05-07T06:44:00Z,68.00,33.00
2026-05-07T06:45:00Z,68.00,33.00
2026-05-07T06:48:00Z,68.00,33.00
2026-05-07T06:57:00Z,68.00,33.00
2026-05-07T06:59:00Z,68.00,33.00
2026-05-07T09:04:00Z,67.00,33.00
2026-05-07T09:07:00Z,67.00,33.00
2026-05-07T09:08:00Z,67.00,33.00
2026-05-07T09:09:00Z,67.00,33.00
2026-05-07T09:33:00Z,67.00,33.00
2026-05-07T09:34:00Z,67.00,33.00
2026-05-07T09:39:00Z,67.00,33.00
2026-05-07T09:40:00Z,67.00,33.00
2026-05-07T09:43:00Z,67.00,33.00
2026-05-07T09:49:00Z,67.00,33.00
2026-05-07T10:14:00Z,67.00,33.00
2026-05-07T10:17:00Z,67.00,33.00
2026-05-07T10:19:00Z,67.00,33.00
