# event_ticker=KXATPCHALLENGERMATCH-26APR20GULREH
# final_score=6-4 5-7 6-3
# score_resolution=4-6 7-5 3-6
# match_winner=Svyatoslav Gulin
# fav_player=Max Hans Rehberg
# dog_player=Svyatoslav Gulin
# kalshi_date=2026-04-20
timestamp,Svyatoslav Gulin,Max Hans Rehberg
2026-04-20T00:49:00Z,,64.00
2026-04-20T05:30:00Z,,65.00
2026-04-20T05:32:00Z,35.23,65.00
2026-04-20T06:01:00Z,37.00,65.00
2026-04-20T06:15:00Z,37.00,65.00
2026-04-20T07:08:00Z,37.00,64.00
2026-04-20T07:16:00Z,37.00,64.71
2026-04-20T07:30:00Z,37.00,65.00
2026-04-20T09:52:00Z,37.00,65.00
2026-04-20T10:25:00Z,37.00,65.00
2026-04-20T10:49:00Z,37.00,65.00
2026-04-20T11:41:00Z,43.68,63.00
2026-04-20T11:53:00Z,43.68,65.00
2026-04-20T11:54:00Z,39.00,63.00
2026-04-20T12:03:00Z,39.00,64.00
2026-04-20T12:09:00Z,39.00,66.99
2026-04-20T12:10:00Z,33.00,69.00
2026-04-20T12:12:00Z,38.59,69.00
2026-04-20T12:13:00Z,38.59,61.00
2026-04-20T12:14:00Z,40.00,60.20
2026-04-20T12:15:00Z,47.70,60.14
2026-04-20T12:16:00Z,47.70,58.82
2026-04-20T12:17:00Z,52.76,51.00
2026-04-20T12:18:00Z,52.76,58.00
2026-04-20T12:20:00Z,45.00,61.77
2026-04-20T12:21:00Z,47.00,59.85
2026-04-20T12:22:00Z,42.00,59.83
2026-04-20T12:24:00Z,42.00,60.00
2026-04-20T12:26:00Z,41.00,61.00
2026-04-20T12:27:00Z,38.93,63.00
2026-04-20T12:28:00Z,39.80,64.00
2026-04-20T12:30:00Z,39.00,64.00
2026-04-20T12:31:00Z,39.71,62.68
2026-04-20T12:32:00Z,42.00,62.68
2026-04-20T12:34:00Z,34.56,66.08
2026-04-20T12:36:00Z,37.00,71.00
2026-04-20T12:37:00Z,37.21,71.00
2026-04-20T12:38:00Z,32.78,72.82
2026-04-20T12:39:00Z,21.46,86.74
2026-04-20T12:40:00Z,18.63,77.36
2026-04-20T12:41:00Z,18.78,89.60
2026-04-20T12:42:00Z,18.57,89.60
2026-04-20T12:43:00Z,17.00,89.60
2026-04-20T12:44:00Z,29.58,63.41
2026-04-20T12:45:00Z,45.00,63.00
2026-04-20T12:46:00Z,37.75,62.00
2026-04-20T12:47:00Z,38.00,64.55
2026-04-20T12:48:00Z,40.70,67.50
2026-04-20T12:49:00Z,44.00,63.42
2026-04-20T12:50:00Z,40.14,69.97
2026-04-20T12:51:00Z,49.38,56.00
2026-04-20T12:52:00Z,54.10,48.72
2026-04-20T12:53:00Z,66.18,31.64
2026-04-20T12:54:00Z,70.47,32.65
2026-04-20T12:55:00Z,68.00,37.58
2026-04-20T12:56:00Z,67.88,39.46
2026-04-20T12:57:00Z,64.47,41.33
2026-04-20T12:58:00Z,68.35,44.68
2026-04-20T12:59:00Z,72.02,32.15
2026-04-20T13:00:00Z,75.00,27.26
2026-04-20T13:01:00Z,89.46,21.92
2026-04-20T13:02:00Z,83.50,17.98
2026-04-20T13:03:00Z,93.63,14.96
2026-04-20T13:04:00Z,92.48,7.65
2026-04-20T13:05:00Z,90.18,13.40
2026-04-20T13:06:00Z,93.53,9.99
2026-04-20T13:07:00Z,90.01,11.49
2026-04-20T13:08:00Z,86.97,11.49
2026-04-20T13:09:00Z,86.94,15.69
2026-04-20T13:10:00Z,80.74,25.68
2026-04-20T13:11:00Z,71.00,30.63
2026-04-20T13:12:00Z,68.47,32.70
2026-04-20T13:13:00Z,75.00,29.00
2026-04-20T13:14:00Z,70.13,28.01
2026-04-20T13:15:00Z,70.24,32.81
2026-04-20T13:16:00Z,70.17,36.80
2026-04-20T13:17:00Z,66.47,34.82
2026-04-20T13:18:00Z,69.89,34.82
2026-04-20T13:19:00Z,72.39,26.36
2026-04-20T13:20:00Z,80.49,23.42
2026-04-20T13:21:00Z,73.00,29.08
2026-04-20T13:22:00Z,71.57,30.94
2026-04-20T13:23:00Z,66.99,33.01
2026-04-20T13:24:00Z,66.98,34.00
2026-04-20T13:25:00Z,69.11,33.02
2026-04-20T13:26:00Z,75.68,26.14
2026-04-20T13:27:00Z,73.21,30.00
2026-04-20T13:28:00Z,83.62,22.65
2026-04-20T13:29:00Z,72.22,32.16
2026-04-20T13:30:00Z,68.80,31.76
2026-04-20T13:31:00Z,74.24,33.65
2026-04-20T13:32:00Z,72.61,39.89
2026-04-20T13:33:00Z,66.94,39.00
2026-04-20T13:34:00Z,74.38,34.02
2026-04-20T13:35:00Z,75.06,25.04
2026-04-20T13:36:00Z,73.54,28.08
2026-04-20T13:37:00Z,73.53,28.08
2026-04-20T13:38:00Z,64.05,34.14
2026-04-20T13:39:00Z,69.63,31.02
2026-04-20T13:40:00Z,70.60,33.29
2026-04-20T13:41:00Z,62.83,38.93
2026-04-20T13:42:00Z,59.50,36.94
2026-04-20T13:43:00Z,46.29,55.17
2026-04-20T13:44:00Z,45.40,59.04
2026-04-20T13:45:00Z,43.55,57.89
2026-04-20T13:46:00Z,31.15,66.93
2026-04-20T13:47:00Z,31.82,65.46
2026-04-20T13:48:00Z,40.02,58.68
2026-04-20T13:49:00Z,41.64,60.43
2026-04-20T13:50:00Z,37.35,60.81
2026-04-20T13:51:00Z,46.63,54.26
2026-04-20T13:52:00Z,47.70,52.52
2026-04-20T13:53:00Z,47.01,56.81
2026-04-20T13:54:00Z,45.96,58.14
2026-04-20T13:55:00Z,43.80,57.73
2026-04-20T13:56:00Z,37.18,63.67
2026-04-20T13:57:00Z,37.29,61.20
2026-04-20T13:58:00Z,37.87,62.00
2026-04-20T13:59:00Z,43.57,55.22
2026-04-20T14:00:00Z,46.42,53.32
2026-04-20T14:01:00Z,52.75,53.33
2026-04-20T14:02:00Z,49.82,53.07
2026-04-20T14:03:00Z,51.01,61.20
2026-04-20T14:04:00Z,51.77,54.52
2026-04-20T14:05:00Z,57.21,52.31
2026-04-20T14:06:00Z,60.66,45.20
2026-04-20T14:07:00Z,45.63,56.16
2026-04-20T14:08:00Z,48.64,54.33
2026-04-20T14:09:00Z,51.53,50.95
2026-04-20T14:10:00Z,50.25,50.52
2026-04-20T14:11:00Z,52.97,48.50
2026-04-20T14:12:00Z,54.10,45.03
2026-04-20T14:13:00Z,50.52,54.60
2026-04-20T14:14:00Z,50.24,48.96
2026-04-20T14:15:00Z,53.42,55.10
2026-04-20T14:16:00Z,60.30,43.52
2026-04-20T14:17:00Z,68.18,33.13
2026-04-20T14:18:00Z,81.27,16.28
2026-04-20T14:19:00Z,89.96,8.17
2026-04-20T14:20:00Z,91.63,10.79
2026-04-20T14:21:00Z,92.59,7.12
2026-04-20T14:22:00Z,91.69,8.04
2026-04-20T14:23:00Z,91.63,9.79
2026-04-20T14:24:00Z,92.26,10.48
2026-04-20T14:25:00Z,93.29,7.62
2026-04-20T14:26:00Z,91.16,11.60
2026-04-20T14:27:00Z,93.51,6.82
2026-04-20T14:28:00Z,98.63,1.21
2026-04-20T14:29:00Z,99.00,1.21
2026-04-20T14:30:00Z,99.00,1.21
2026-04-20T14:31:00Z,99.00,1.21
2026-04-20T14:32:00Z,99.00,1.21
