# event_ticker=KXATPCHALLENGERMATCH-26JUN01KOEPAN
# final_score=6-3 4-6 6-0
# match_winner=Semen Pankin
# fav_player=Semen Pankin
# dog_player=Luc Koenig
# kalshi_date=2026-06-01
timestamp,Luc Koenig,Semen Pankin
2026-06-01T02:42:00Z,,75.00
2026-06-01T03:03:00Z,,75.00
2026-06-01T03:04:00Z,,76.00
2026-06-01T03:06:00Z,,75.00
2026-06-01T04:35:00Z,27.00,75.00
2026-06-01T04:49:00Z,27.00,75.00
2026-06-01T05:14:00Z,27.00,75.00
2026-06-01T05:28:00Z,27.00,75.00
2026-06-01T07:24:00Z,27.00,75.00
2026-06-01T07:34:00Z,27.00,75.00
2026-06-01T13:12:00Z,27.00,75.00
2026-06-01T13:24:00Z,27.00,75.00
2026-06-01T13:25:00Z,27.00,75.00
2026-06-01T13:30:00Z,27.00,75.00
2026-06-01T14:11:00Z,27.00,76.00
2026-06-01T14:34:00Z,27.00,76.00
2026-06-01T14:36:00Z,27.69,72.05
2026-06-01T14:37:00Z,29.26,71.77
2026-06-01T14:38:00Z,36.15,63.65
2026-06-01T14:39:00Z,37.48,63.97
2026-06-01T14:40:00Z,31.39,69.73
2026-06-01T14:41:00Z,31.52,67.75
2026-06-01T14:42:00Z,30.59,70.00
2026-06-01T14:43:00Z,29.00,72.00
2026-06-01T14:44:00Z,27.30,73.84
2026-06-01T14:45:00Z,20.98,79.97
2026-06-01T14:46:00Z,18.02,82.00
2026-06-01T14:47:00Z,17.42,83.78
2026-06-01T14:48:00Z,18.20,81.66
2026-06-01T14:49:00Z,17.83,83.00
2026-06-01T14:50:00Z,18.96,81.00
2026-06-01T14:51:00Z,20.00,81.00
2026-06-01T14:52:00Z,20.00,81.00
2026-06-01T14:53:00Z,20.93,77.81
2026-06-01T14:54:00Z,21.39,78.33
2026-06-01T14:55:00Z,23.04,76.39
2026-06-01T14:56:00Z,21.30,78.15
2026-06-01T14:57:00Z,21.83,78.20
2026-06-01T14:58:00Z,20.97,80.00
2026-06-01T14:59:00Z,19.14,81.19
2026-06-01T15:00:00Z,14.93,82.95
2026-06-01T15:01:00Z,14.93,85.00
2026-06-01T15:02:00Z,17.00,84.00
2026-06-01T15:03:00Z,16.00,85.00
2026-06-01T15:04:00Z,16.00,85.97
2026-06-01T15:05:00Z,16.33,83.08
2026-06-01T15:06:00Z,18.00,82.67
2026-06-01T15:07:00Z,19.00,82.00
2026-06-01T15:08:00Z,17.06,83.00
2026-06-01T15:09:00Z,17.50,83.11
2026-06-01T15:10:00Z,18.88,81.98
2026-06-01T15:11:00Z,19.00,82.94
2026-06-01T15:12:00Z,15.75,86.10
2026-06-01T15:13:00Z,15.75,87.99
2026-06-01T15:14:00Z,15.75,89.00
2026-06-01T15:15:00Z,12.00,89.01
2026-06-01T15:16:00Z,15.76,85.53
2026-06-01T15:17:00Z,17.63,83.01
2026-06-01T15:18:00Z,21.41,79.99
2026-06-01T15:19:00Z,21.41,77.01
2026-06-01T15:20:00Z,22.24,78.03
2026-06-01T15:21:00Z,23.08,79.00
2026-06-01T15:22:00Z,25.25,75.05
2026-06-01T15:23:00Z,25.73,73.94
2026-06-01T15:24:00Z,25.29,75.84
2026-06-01T15:25:00Z,22.00,77.83
2026-06-01T15:26:00Z,23.00,78.00
2026-06-01T15:27:00Z,25.77,76.97
2026-06-01T15:28:00Z,25.94,75.10
2026-06-01T15:29:00Z,25.64,76.82
2026-06-01T15:30:00Z,25.48,74.73
2026-06-01T15:31:00Z,27.87,74.00
2026-06-01T15:32:00Z,27.87,75.00
2026-06-01T15:33:00Z,23.68,76.00
2026-06-01T15:34:00Z,24.00,77.23
2026-06-01T15:35:00Z,22.49,77.46
2026-06-01T15:36:00Z,17.65,84.27
2026-06-01T15:37:00Z,18.75,84.08
2026-06-01T15:38:00Z,22.27,77.24
2026-06-01T15:39:00Z,26.07,75.00
2026-06-01T15:40:00Z,26.99,75.69
2026-06-01T15:41:00Z,22.00,77.00
2026-06-01T15:42:00Z,25.00,75.95
2026-06-01T15:43:00Z,24.29,77.72
2026-06-01T15:44:00Z,17.57,83.22
2026-06-01T15:45:00Z,20.30,82.48
2026-06-01T15:46:00Z,26.79,76.74
2026-06-01T15:47:00Z,27.44,73.00
2026-06-01T15:48:00Z,26.38,73.60
