# event_ticker=KXATPCHALLENGERMATCH-26MAY07CASKIC
# final_score=6-3 7-5
# score_resolution=3-6 5-7
# match_winner=Hernan Casanova
# fav_player=Nicolas Kicker
# dog_player=Hernan Casanova
# kalshi_date=2026-05-07
timestamp,Hernan Casanova,Nicolas Kicker
2026-05-07T02:02:00Z,,51.00
2026-05-07T02:53:00Z,,53.00
2026-05-07T02:59:00Z,,52.00
2026-05-07T03:02:00Z,,52.00
2026-05-07T04:36:00Z,46.00,52.00
2026-05-07T05:20:00Z,46.00,55.00
2026-05-07T05:25:00Z,45.00,55.00
2026-05-07T05:29:00Z,45.00,55.00
2026-05-07T05:34:00Z,45.00,55.00
2026-05-07T09:47:00Z,45.00,57.00
2026-05-07T10:35:00Z,45.00,57.00
2026-05-07T10:51:00Z,45.00,56.00
2026-05-07T12:15:00Z,45.00,57.00
2026-05-07T12:34:00Z,44.00,57.00
2026-05-07T12:56:00Z,44.00,57.00
2026-05-07T13:04:00Z,44.00,57.00
2026-05-07T13:11:00Z,44.00,57.00
2026-05-07T13:12:00Z,44.00,57.00
2026-05-07T13:21:00Z,44.00,57.00
2026-05-07T13:37:00Z,42.00,57.00
2026-05-07T13:38:00Z,42.00,59.00
2026-05-07T13:39:00Z,42.00,60.18
2026-05-07T13:40:00Z,42.00,62.80
2026-05-07T13:41:00Z,42.00,61.00
2026-05-07T13:42:00Z,45.01,53.67
2026-05-07T13:43:00Z,50.02,50.00
2026-05-07T13:44:00Z,53.00,46.00
2026-05-07T13:46:00Z,46.00,54.00
2026-05-07T13:47:00Z,52.00,48.00
2026-05-07T13:48:00Z,56.29,42.00
2026-05-07T13:49:00Z,59.74,42.00
2026-05-07T13:50:00Z,59.13,40.03
2026-05-07T13:51:00Z,62.00,37.00
2026-05-07T13:52:00Z,56.84,45.84
2026-05-07T13:53:00Z,56.84,46.00
2026-05-07T13:54:00Z,56.84,46.00
2026-05-07T13:55:00Z,52.00,50.03
2026-05-07T13:56:00Z,54.64,46.91
2026-05-07T13:57:00Z,59.33,41.42
2026-05-07T13:58:00Z,59.92,40.46
2026-05-07T13:59:00Z,56.90,43.44
2026-05-07T14:00:00Z,56.00,45.77
2026-05-07T14:01:00Z,56.00,45.00
2026-05-07T14:02:00Z,57.05,47.00
2026-05-07T14:03:00Z,59.00,42.73
2026-05-07T14:04:00Z,60.85,39.38
2026-05-07T14:05:00Z,60.51,40.93
2026-05-07T14:06:00Z,59.02,41.48
2026-05-07T14:07:00Z,58.00,43.01
2026-05-07T14:08:00Z,59.00,43.96
2026-05-07T14:09:00Z,62.26,37.90
2026-05-07T14:10:00Z,64.00,36.00
2026-05-07T14:11:00Z,65.89,35.18
2026-05-07T14:12:00Z,64.00,36.97
2026-05-07T14:13:00Z,65.14,35.51
2026-05-07T14:14:00Z,66.00,35.05
2026-05-07T14:15:00Z,68.01,32.90
2026-05-07T14:16:00Z,70.00,32.65
2026-05-07T14:17:00Z,67.00,34.19
2026-05-07T14:18:00Z,67.17,33.69
2026-05-07T14:19:00Z,68.68,32.85
2026-05-07T14:20:00Z,70.01,30.96
2026-05-07T14:21:00Z,70.40,32.51
2026-05-07T14:22:00Z,69.08,31.60
2026-05-07T14:23:00Z,72.00,29.27
2026-05-07T14:24:00Z,69.09,30.00
2026-05-07T14:25:00Z,71.02,28.64
2026-05-07T14:26:00Z,71.02,28.00
2026-05-07T14:27:00Z,73.51,28.70
2026-05-07T14:28:00Z,74.82,28.49
2026-05-07T14:29:00Z,73.76,27.03
2026-05-07T14:30:00Z,73.10,26.34
2026-05-07T14:31:00Z,74.62,27.92
2026-05-07T14:32:00Z,76.01,24.21
2026-05-07T14:33:00Z,76.84,23.92
2026-05-07T14:34:00Z,77.83,23.91
2026-05-07T14:35:00Z,77.02,22.75
2026-05-07T14:36:00Z,78.00,22.62
2026-05-07T14:37:00Z,78.00,22.75
2026-05-07T14:38:00Z,78.00,22.96
2026-05-07T14:39:00Z,78.00,23.00
2026-05-07T14:40:00Z,78.95,23.46
2026-05-07T14:41:00Z,80.14,20.86
2026-05-07T14:42:00Z,82.00,19.00
2026-05-07T14:43:00Z,82.00,19.00
2026-05-07T14:44:00Z,82.07,19.78
2026-05-07T14:45:00Z,82.00,17.40
2026-05-07T14:46:00Z,80.08,19.94
2026-05-07T14:47:00Z,80.21,20.43
2026-05-07T14:48:00Z,83.97,17.42
2026-05-07T14:49:00Z,83.91,17.03
2026-05-07T14:50:00Z,83.94,16.12
2026-05-07T14:51:00Z,86.13,16.89
2026-05-07T14:52:00Z,84.58,14.78
2026-05-07T14:53:00Z,80.83,18.86
2026-05-07T14:54:00Z,81.92,19.07
2026-05-07T14:55:00Z,83.96,16.91
2026-05-07T14:56:00Z,84.00,17.89
2026-05-07T14:57:00Z,84.00,17.55
2026-05-07T14:58:00Z,83.24,17.00
2026-05-07T14:59:00Z,86.00,13.76
2026-05-07T15:00:00Z,86.00,14.58
2026-05-07T15:01:00Z,88.01,10.23
2026-05-07T15:02:00Z,89.60,10.10
2026-05-07T15:03:00Z,89.00,9.72
2026-05-07T15:04:00Z,86.22,12.86
2026-05-07T15:05:00Z,92.48,10.34
2026-05-07T15:06:00Z,92.10,6.74
2026-05-07T15:07:00Z,90.85,10.67
2026-05-07T15:08:00Z,90.90,10.00
2026-05-07T15:09:00Z,91.91,8.81
2026-05-07T15:10:00Z,91.90,9.01
2026-05-07T15:11:00Z,83.18,16.66
2026-05-07T15:12:00Z,83.18,17.00
2026-05-07T15:13:00Z,84.00,17.45
2026-05-07T15:14:00Z,85.54,14.82
2026-05-07T15:15:00Z,86.11,15.92
2026-05-07T15:16:00Z,87.62,15.14
2026-05-07T15:17:00Z,83.66,17.97
2026-05-07T15:18:00Z,87.65,15.08
2026-05-07T15:19:00Z,84.18,16.00
2026-05-07T15:20:00Z,80.43,20.04
2026-05-07T15:21:00Z,77.24,22.86
2026-05-07T15:22:00Z,77.31,21.96
2026-05-07T15:23:00Z,75.32,25.71
2026-05-07T15:24:00Z,80.73,21.26
2026-05-07T15:25:00Z,73.96,27.58
2026-05-07T15:26:00Z,76.26,28.42
2026-05-07T15:27:00Z,74.99,26.66
2026-05-07T15:28:00Z,61.93,37.13
2026-05-07T15:29:00Z,61.01,38.93
2026-05-07T15:30:00Z,64.42,37.08
2026-05-07T15:31:00Z,68.87,28.61
2026-05-07T15:32:00Z,64.46,36.20
2026-05-07T15:33:00Z,68.59,26.87
2026-05-07T15:34:00Z,77.63,22.15
2026-05-07T15:35:00Z,81.08,18.00
2026-05-07T15:36:00Z,83.12,16.49
2026-05-07T15:37:00Z,85.00,14.89
2026-05-07T15:38:00Z,84.88,14.96
2026-05-07T15:39:00Z,80.80,18.53
2026-05-07T15:40:00Z,78.99,20.99
2026-05-07T15:41:00Z,80.43,20.61
2026-05-07T15:42:00Z,77.76,21.48
2026-05-07T15:43:00Z,83.80,16.12
2026-05-07T15:44:00Z,85.58,15.49
2026-05-07T15:45:00Z,85.19,14.39
2026-05-07T15:46:00Z,88.28,11.37
2026-05-07T15:47:00Z,88.24,15.12
2026-05-07T15:48:00Z,84.40,14.49
2026-05-07T15:49:00Z,92.49,8.24
2026-05-07T15:50:00Z,91.52,9.07
2026-05-07T15:51:00Z,92.31,12.41
2026-05-07T15:52:00Z,98.63,2.24
2026-05-07T15:53:00Z,99.00,2.24
2026-05-07T15:54:00Z,99.00,2.24
2026-05-07T15:55:00Z,99.00,2.24
2026-05-07T15:56:00Z,99.00,2.24
2026-05-07T15:57:00Z,99.00,2.24
