# event_ticker=KXATPMATCH-26JAN13NORMPE
# final_score=4-6 6-3 7-6(4)
# score_resolution=6-4 3-6 6-7
# match_winner=Giovanni Mpetshi Perricard
# fav_player=Cameron Norrie
# dog_player=Giovanni Mpetshi Perricard
# kalshi_date=2026-01-13
timestamp,Cameron Norrie,Giovanni Mpetshi Perricard
2026-01-13T16:23:00Z,,47.00
2026-01-13T17:55:00Z,,46.00
2026-01-13T19:24:00Z,56.00,46.00
2026-01-13T19:31:00Z,53.00,46.81
2026-01-13T19:32:00Z,55.75,43.76
2026-01-13T19:33:00Z,56.00,45.00
2026-01-13T19:46:00Z,56.00,46.00
2026-01-13T20:11:00Z,56.00,46.00
2026-01-13T20:15:00Z,56.00,46.00
2026-01-13T20:31:00Z,56.00,46.00
2026-01-13T20:40:00Z,57.00,46.00
2026-01-13T20:47:00Z,57.00,46.00
2026-01-13T21:29:00Z,57.00,46.00
2026-01-13T21:35:00Z,57.00,46.00
2026-01-13T21:56:00Z,57.00,45.00
2026-01-13T21:57:00Z,57.00,45.00
2026-01-13T22:04:00Z,57.00,45.00
2026-01-13T22:05:00Z,57.00,45.00
2026-01-13T22:07:00Z,57.00,45.00
2026-01-13T22:16:00Z,57.00,45.00
2026-01-13T22:27:00Z,57.00,45.00
2026-01-13T22:33:00Z,56.00,45.00
2026-01-13T22:56:00Z,56.00,45.00
2026-01-13T23:07:00Z,56.00,45.00
2026-01-13T23:29:00Z,56.00,45.00
2026-01-13T23:34:00Z,56.00,45.00
2026-01-13T23:38:00Z,56.00,45.00
2026-01-13T23:51:00Z,56.00,45.00
2026-01-13T23:54:00Z,56.00,45.00
2026-01-14T00:05:00Z,56.00,45.00
2026-01-14T00:10:00Z,56.00,45.00
2026-01-14T00:15:00Z,56.00,45.00
2026-01-14T00:26:00Z,56.00,45.00
2026-01-14T00:33:00Z,56.00,45.00
2026-01-14T00:42:00Z,56.00,44.00
2026-01-14T01:12:00Z,56.00,44.00
2026-01-14T01:23:00Z,56.00,45.00
2026-01-14T01:31:00Z,56.00,45.00
2026-01-14T01:33:00Z,56.00,45.00
2026-01-14T01:43:00Z,56.00,45.15
2026-01-14T01:52:00Z,56.00,45.15
2026-01-14T01:54:00Z,56.00,45.15
2026-01-14T01:57:00Z,56.00,47.00
2026-01-14T01:58:00Z,56.00,47.00
2026-01-14T02:00:00Z,56.00,47.00
2026-01-14T02:05:00Z,56.00,47.00
2026-01-14T02:06:00Z,53.25,47.00
2026-01-14T02:07:00Z,56.00,47.00
2026-01-14T02:21:00Z,56.08,47.00
2026-01-14T02:23:00Z,56.98,47.00
2026-01-14T02:25:00Z,57.00,47.00
2026-01-14T02:26:00Z,57.00,45.00
2026-01-14T02:28:00Z,56.00,45.00
2026-01-14T02:29:00Z,56.00,45.00
2026-01-14T02:31:00Z,56.00,45.00
2026-01-14T02:32:00Z,56.00,45.00
2026-01-14T02:33:00Z,56.00,45.01
2026-01-14T02:38:00Z,56.00,45.01
2026-01-14T02:41:00Z,56.00,47.72
2026-01-14T02:46:00Z,56.00,47.00
2026-01-14T02:49:00Z,54.00,46.00
2026-01-14T02:50:00Z,54.79,48.92
2026-01-14T02:51:00Z,55.00,48.92
2026-01-14T02:52:00Z,57.00,48.92
2026-01-14T02:53:00Z,57.00,46.51
2026-01-14T02:55:00Z,56.41,47.00
2026-01-14T02:56:00Z,57.33,47.00
2026-01-14T02:57:00Z,57.33,46.67
2026-01-14T02:58:00Z,57.00,46.67
2026-01-14T02:59:00Z,60.63,46.96
2026-01-14T03:00:00Z,60.63,44.08
2026-01-14T03:01:00Z,60.63,46.00
2026-01-14T03:03:00Z,60.63,46.00
2026-01-14T03:05:00Z,72.00,46.00
2026-01-14T03:08:00Z,72.00,46.00
2026-01-14T03:09:00Z,66.36,41.60
2026-01-14T03:11:00Z,57.00,41.60
2026-01-14T03:12:00Z,57.15,41.60
2026-01-14T03:13:00Z,64.72,40.00
2026-01-14T03:14:00Z,64.72,39.00
2026-01-14T03:15:00Z,59.97,42.00
2026-01-14T03:17:00Z,59.00,42.00
2026-01-14T03:18:00Z,59.56,41.00
2026-01-14T03:19:00Z,63.90,41.00
2026-01-14T03:20:00Z,64.00,41.00
2026-01-14T03:22:00Z,69.68,37.04
2026-01-14T03:23:00Z,69.68,38.00
2026-01-14T03:24:00Z,72.55,38.00
2026-01-14T03:25:00Z,72.55,38.00
2026-01-14T03:26:00Z,61.00,42.88
2026-01-14T03:28:00Z,68.75,39.09
2026-01-14T03:29:00Z,75.01,31.00
2026-01-14T03:30:00Z,75.01,39.71
2026-01-14T03:31:00Z,59.45,29.92
2026-01-14T03:32:00Z,65.00,41.40
2026-01-14T03:33:00Z,65.74,39.00
2026-01-14T03:34:00Z,63.68,43.03
2026-01-14T03:36:00Z,56.69,44.81
2026-01-14T03:37:00Z,62.00,44.81
2026-01-14T03:38:00Z,62.00,44.81
2026-01-14T03:39:00Z,62.64,44.81
2026-01-14T03:40:00Z,62.79,44.81
2026-01-14T03:41:00Z,62.79,47.00
2026-01-14T03:42:00Z,59.00,47.00
2026-01-14T03:43:00Z,60.00,47.00
