# event_ticker=KXATPCHALLENGERMATCH-26APR09JARSTR
# final_score=6-2 7-6(5)
# score_resolution=2-6 6-7
# match_winner=Nicolas Jarry
# fav_player=Dominic Stricker
# dog_player=Nicolas Jarry
# kalshi_date=2026-04-09
timestamp,Dominic Stricker,Nicolas Jarry
2026-04-09T01:36:00Z,,50.18
2026-04-09T02:36:00Z,,53.00
2026-04-09T04:17:00Z,,53.00
2026-04-09T04:21:00Z,,53.00
2026-04-09T04:29:00Z,49.00,53.00
2026-04-09T04:33:00Z,49.26,53.00
2026-04-09T04:36:00Z,49.26,53.00
2026-04-09T04:47:00Z,49.26,53.00
2026-04-09T04:48:00Z,49.52,53.00
2026-04-09T04:49:00Z,49.52,53.00
2026-04-09T04:56:00Z,49.52,53.00
2026-04-09T05:02:00Z,49.52,53.00
2026-04-09T05:23:00Z,49.00,53.00
2026-04-09T05:30:00Z,48.00,53.00
2026-04-09T05:42:00Z,48.00,53.00
2026-04-09T05:45:00Z,48.00,53.00
2026-04-09T05:50:00Z,48.00,53.00
2026-04-09T06:02:00Z,48.00,53.00
2026-04-09T06:11:00Z,48.00,53.00
2026-04-09T06:22:00Z,48.00,53.00
2026-04-09T06:26:00Z,48.00,53.00
2026-04-09T06:31:00Z,48.00,53.00
2026-04-09T09:03:00Z,48.00,53.98
2026-04-09T09:24:00Z,48.00,54.00
2026-04-09T10:00:00Z,48.00,54.00
2026-04-09T10:21:00Z,48.00,54.00
2026-04-09T10:27:00Z,48.00,54.00
2026-04-09T10:29:00Z,48.00,54.00
2026-04-09T10:30:00Z,48.00,54.00
2026-04-09T10:36:00Z,48.00,54.00
2026-04-09T10:41:00Z,48.00,54.00
2026-04-09T10:46:00Z,49.00,54.00
2026-04-09T11:10:00Z,49.00,53.95
2026-04-09T11:40:00Z,48.83,53.95
2026-04-09T11:46:00Z,48.83,54.00
2026-04-09T11:50:00Z,48.83,54.00
2026-04-09T12:06:00Z,48.83,54.00
2026-04-09T12:09:00Z,48.83,54.00
2026-04-09T12:13:00Z,48.83,54.00
2026-04-09T12:16:00Z,48.00,54.00
2026-04-09T12:17:00Z,48.00,54.00
2026-04-09T12:19:00Z,46.00,54.00
2026-04-09T12:23:00Z,46.00,54.00
2026-04-09T12:24:00Z,46.00,54.00
2026-04-09T12:25:00Z,48.00,54.00
2026-04-09T12:28:00Z,48.00,54.00
2026-04-09T12:29:00Z,48.00,54.00
2026-04-09T12:30:00Z,46.00,54.00
2026-04-09T12:31:00Z,46.00,54.00
2026-04-09T12:32:00Z,48.98,54.00
2026-04-09T12:36:00Z,48.99,54.00
2026-04-09T12:40:00Z,48.99,54.00
2026-04-09T12:43:00Z,49.00,54.00
2026-04-09T12:44:00Z,49.00,54.00
2026-04-09T12:45:00Z,49.00,54.00
2026-04-09T12:47:00Z,49.00,54.00
2026-04-09T12:48:00Z,48.71,54.00
2026-04-09T12:49:00Z,48.50,54.00
2026-04-09T12:50:00Z,48.37,54.00
2026-04-09T12:55:00Z,48.37,54.00
2026-04-09T12:56:00Z,47.96,54.00
2026-04-09T12:57:00Z,48.38,54.00
2026-04-09T12:58:00Z,48.38,54.00
2026-04-09T12:59:00Z,48.38,54.00
2026-04-09T13:02:00Z,48.38,54.01
2026-04-09T13:04:00Z,48.38,54.00
2026-04-09T13:06:00Z,48.13,53.36
2026-04-09T13:07:00Z,48.13,54.00
