# event_ticker=KXATPCHALLENGERMATCH-26MAY12SINSEK
# final_score=7-6(5) 7-6(5)
# score_resolution=7-6 7-6
# match_winner=Philip Sekulic
# fav_player=Philip Sekulic
# dog_player=Digvijay Pratap Singh
# kalshi_date=2026-05-12
timestamp,Digvijay Pratap Singh,Philip Sekulic
2026-05-11T18:52:00Z,,81.00
2026-05-11T20:15:00Z,,81.00
2026-05-11T21:07:00Z,,81.00
2026-05-11T21:36:00Z,,81.00
2026-05-11T22:11:00Z,,81.00
2026-05-11T23:10:00Z,,81.00
2026-05-11T23:25:00Z,,81.00
2026-05-11T23:44:00Z,20.00,81.00
2026-05-11T23:46:00Z,20.00,81.00
2026-05-11T23:54:00Z,20.00,81.00
2026-05-12T00:01:00Z,20.00,81.00
2026-05-12T00:16:00Z,20.00,81.00
2026-05-12T00:51:00Z,20.00,81.00
2026-05-12T01:09:00Z,20.00,81.00
2026-05-12T01:17:00Z,20.00,81.00
2026-05-12T01:27:00Z,20.00,81.00
2026-05-12T01:36:00Z,20.00,81.00
2026-05-12T01:37:00Z,20.00,81.00
2026-05-12T01:38:00Z,19.00,81.00
2026-05-12T01:40:00Z,19.00,81.00
2026-05-12T01:48:00Z,20.00,81.00
2026-05-12T01:51:00Z,20.00,81.00
2026-05-12T01:56:00Z,20.00,81.00
2026-05-12T02:00:00Z,20.00,81.00
2026-05-12T02:11:00Z,20.00,81.00
2026-05-12T02:12:00Z,20.00,81.00
2026-05-12T02:15:00Z,20.00,81.00
2026-05-12T02:18:00Z,20.00,81.00
2026-05-12T02:19:00Z,19.00,81.00
2026-05-12T02:24:00Z,19.00,81.00
2026-05-12T02:36:00Z,20.00,81.00
2026-05-12T02:41:00Z,20.00,81.00
2026-05-12T02:44:00Z,20.00,81.00
2026-05-12T02:45:00Z,20.00,81.00
2026-05-12T02:49:00Z,20.00,81.00
2026-05-12T02:59:00Z,20.00,81.00
2026-05-12T03:20:00Z,20.00,81.00
2026-05-12T03:25:00Z,20.00,81.00
2026-05-12T03:26:00Z,20.00,81.00
2026-05-12T03:29:00Z,20.00,81.00
2026-05-12T03:36:00Z,20.00,81.00
2026-05-12T03:46:00Z,20.00,81.00
