# event_ticker=KXATPCHALLENGERMATCH-26FEB25BUDNES
# final_score=7-5 6-1
# match_winner=Nicolai Budkov Kjaer
# fav_player=Nicolai Budkov Kjaer
# dog_player=Pyotr Nesterov
# kalshi_date=2026-02-25
timestamp,Nicolai Budkov Kjaer,Pyotr Nesterov
2026-02-25T05:54:00Z,81.00,17.00
2026-02-25T06:21:00Z,81.00,20.00
2026-02-25T07:26:00Z,81.00,20.00
2026-02-25T09:41:00Z,81.00,20.00
2026-02-25T09:48:00Z,81.00,20.00
2026-02-25T10:20:00Z,81.00,20.00
2026-02-25T11:00:00Z,81.00,20.00
2026-02-25T11:28:00Z,81.00,20.00
2026-02-25T12:31:00Z,80.00,20.00
2026-02-25T12:38:00Z,81.00,20.00
2026-02-25T12:39:00Z,81.00,20.00
2026-02-25T13:00:00Z,81.00,20.00
2026-02-25T13:09:00Z,81.00,20.00
2026-02-25T13:23:00Z,81.00,20.00
2026-02-25T13:32:00Z,81.00,20.00
2026-02-25T13:39:00Z,81.00,19.00
2026-02-25T13:49:00Z,81.00,19.00
2026-02-25T13:52:00Z,81.00,19.00
2026-02-25T13:57:00Z,83.00,19.00
2026-02-25T14:00:00Z,83.00,19.00
2026-02-25T14:02:00Z,83.00,19.00
2026-02-25T14:06:00Z,84.00,19.00
2026-02-25T14:09:00Z,84.00,19.00
2026-02-25T14:12:00Z,84.00,19.00
2026-02-25T14:13:00Z,84.00,19.00
2026-02-25T14:15:00Z,84.00,18.00
2026-02-25T14:18:00Z,84.00,18.00
2026-02-25T14:19:00Z,84.00,18.00
2026-02-25T14:20:00Z,81.00,18.00
2026-02-25T14:22:00Z,81.00,19.00
2026-02-25T14:29:00Z,81.00,19.00
2026-02-25T14:30:00Z,81.00,20.00
2026-02-25T14:32:00Z,81.00,20.00
2026-02-25T14:34:00Z,81.00,20.00
2026-02-25T14:37:00Z,81.00,20.00
2026-02-25T14:39:00Z,81.00,20.00
2026-02-25T14:43:00Z,81.00,20.00
2026-02-25T14:44:00Z,81.00,20.00
2026-02-25T14:45:00Z,81.00,20.00
2026-02-25T14:47:00Z,81.00,20.00
2026-02-25T14:53:00Z,81.00,20.00
2026-02-25T14:58:00Z,81.00,20.00
2026-02-25T15:03:00Z,81.00,20.00
2026-02-25T15:04:00Z,81.00,20.00
2026-02-25T15:05:00Z,81.00,20.00
2026-02-25T15:06:00Z,80.87,20.00
2026-02-25T15:09:00Z,80.87,20.00
2026-02-25T15:11:00Z,80.87,20.00
2026-02-25T15:16:00Z,80.87,20.00
2026-02-25T15:18:00Z,80.87,20.00
2026-02-25T15:19:00Z,82.00,20.00
2026-02-25T15:20:00Z,82.00,20.00
2026-02-25T15:34:00Z,82.00,18.00
2026-02-25T15:40:00Z,82.00,18.00
2026-02-25T15:47:00Z,82.00,18.64
2026-02-25T15:52:00Z,82.00,20.00
2026-02-25T15:55:00Z,82.00,20.00
2026-02-25T15:59:00Z,80.25,20.00
2026-02-25T16:00:00Z,83.00,20.00
2026-02-25T16:01:00Z,83.00,20.00
2026-02-25T16:02:00Z,83.00,20.00
2026-02-25T16:03:00Z,83.00,19.00
2026-02-25T16:04:00Z,83.00,19.00
2026-02-25T16:05:00Z,83.00,19.00
2026-02-25T16:07:00Z,83.00,18.00
2026-02-25T16:15:00Z,83.00,18.00
2026-02-25T16:18:00Z,83.00,18.00
2026-02-25T16:23:00Z,83.00,18.00
2026-02-25T16:26:00Z,83.00,17.00
2026-02-25T16:29:00Z,83.00,18.00
2026-02-25T16:33:00Z,83.00,18.00
2026-02-25T16:36:00Z,83.00,18.00
2026-02-25T16:40:00Z,83.00,18.00
2026-02-25T16:46:00Z,83.00,18.00
2026-02-25T16:47:00Z,83.00,18.00
2026-02-25T16:48:00Z,83.00,18.00
2026-02-25T16:49:00Z,83.00,18.00
2026-02-25T16:54:00Z,83.00,18.00
2026-02-25T17:00:00Z,83.00,18.00
2026-02-25T17:01:00Z,82.00,18.00
2026-02-25T17:02:00Z,82.00,18.00
2026-02-25T17:03:00Z,82.00,18.00
2026-02-25T17:04:00Z,84.00,18.00
2026-02-25T17:05:00Z,84.00,18.04
2026-02-25T17:06:00Z,84.00,18.74
2026-02-25T17:07:00Z,84.00,18.00
2026-02-25T17:08:00Z,83.03,18.40
2026-02-25T17:09:00Z,82.71,20.66
2026-02-25T17:10:00Z,79.98,19.85
2026-02-25T17:11:00Z,81.00,20.00
2026-02-25T17:12:00Z,81.00,19.97
2026-02-25T17:13:00Z,81.00,17.29
2026-02-25T17:14:00Z,84.72,22.30
2026-02-25T17:15:00Z,88.73,11.56
2026-02-25T17:16:00Z,91.07,9.03
