# event_ticker=KXATPCHALLENGERMATCH-26APR21MARFOR
# final_score=6-4 0-6 6-4
# match_winner=Pol Martin Tiffon
# fav_player=Pol Martin Tiffon
# dog_player=Jonas Forejtek
# kalshi_date=2026-04-21
timestamp,Pol Martin Tiffon,Jonas Forejtek
2026-04-21T02:08:00Z,40.00,
2026-04-21T05:24:00Z,40.00,61.00
2026-04-21T05:45:00Z,40.00,61.00
2026-04-21T09:01:00Z,40.00,67.50
2026-04-21T10:12:00Z,40.00,66.00
2026-04-21T10:50:00Z,40.00,66.00
2026-04-21T11:16:00Z,35.00,66.00
2026-04-21T12:30:00Z,36.00,66.00
2026-04-21T12:42:00Z,36.00,66.32
2026-04-21T12:44:00Z,36.00,66.93
2026-04-21T12:45:00Z,36.00,67.00
2026-04-21T13:17:00Z,36.00,67.00
2026-04-21T13:28:00Z,36.00,67.00
2026-04-21T13:35:00Z,36.00,67.00
2026-04-21T13:36:00Z,36.00,67.00
2026-04-21T13:48:00Z,36.00,67.00
2026-04-21T13:50:00Z,36.00,67.00
2026-04-21T13:51:00Z,35.00,67.00
2026-04-21T13:53:00Z,35.00,68.00
2026-04-21T13:54:00Z,35.00,68.00
2026-04-21T13:55:00Z,35.00,68.00
2026-04-21T13:56:00Z,35.00,68.00
2026-04-21T14:00:00Z,35.00,63.72
2026-04-21T14:01:00Z,35.00,65.00
2026-04-21T14:02:00Z,35.00,68.00
2026-04-21T14:03:00Z,31.00,69.00
2026-04-21T14:04:00Z,31.00,71.11
2026-04-21T14:05:00Z,31.00,71.88
2026-04-21T14:06:00Z,24.35,75.78
2026-04-21T14:07:00Z,28.10,70.30
2026-04-21T14:08:00Z,32.00,68.49
2026-04-21T14:09:00Z,32.68,68.00
2026-04-21T14:10:00Z,35.34,63.61
2026-04-21T14:11:00Z,31.00,67.09
2026-04-21T14:12:00Z,37.68,62.72
2026-04-21T14:13:00Z,46.00,54.75
2026-04-21T14:14:00Z,45.95,55.18
2026-04-21T14:15:00Z,48.67,52.03
2026-04-21T14:16:00Z,48.18,51.00
2026-04-21T14:17:00Z,50.02,50.00
2026-04-21T14:18:00Z,51.89,51.00
2026-04-21T14:19:00Z,49.00,51.61
2026-04-21T14:20:00Z,49.39,51.08
2026-04-21T14:21:00Z,50.91,49.34
2026-04-21T14:22:00Z,54.44,47.72
2026-04-21T14:23:00Z,52.45,47.73
2026-04-21T14:24:00Z,52.45,48.14
2026-04-21T14:25:00Z,50.00,51.00
2026-04-21T14:26:00Z,50.39,50.58
2026-04-21T14:27:00Z,54.31,45.03
2026-04-21T14:28:00Z,56.00,45.76
2026-04-21T14:29:00Z,56.96,43.41
2026-04-21T14:30:00Z,57.14,42.49
2026-04-21T14:31:00Z,58.70,40.55
2026-04-21T14:32:00Z,59.64,40.85
2026-04-21T14:33:00Z,60.83,40.35
2026-04-21T14:34:00Z,61.03,38.38
2026-04-21T14:35:00Z,58.21,43.55
2026-04-21T14:36:00Z,57.00,42.00
2026-04-21T14:37:00Z,64.83,43.00
2026-04-21T14:38:00Z,62.15,41.91
2026-04-21T14:40:00Z,61.00,37.00
2026-04-21T14:41:00Z,61.25,36.95
2026-04-21T14:42:00Z,62.65,38.02
2026-04-21T14:43:00Z,66.14,32.56
2026-04-21T14:44:00Z,69.45,30.50
2026-04-21T14:45:00Z,71.31,26.48
2026-04-21T14:46:00Z,68.72,30.47
2026-04-21T14:47:00Z,70.96,29.67
2026-04-21T14:48:00Z,69.96,28.53
2026-04-21T14:49:00Z,69.00,32.00
2026-04-21T14:50:00Z,70.00,32.00
2026-04-21T14:51:00Z,71.92,27.65
2026-04-21T14:52:00Z,72.91,28.64
2026-04-21T14:53:00Z,75.00,26.34
2026-04-21T14:54:00Z,70.23,26.83
2026-04-21T14:55:00Z,73.61,25.00
2026-04-21T14:56:00Z,70.00,27.89
2026-04-21T14:57:00Z,70.00,29.88
2026-04-21T14:58:00Z,71.00,29.00
2026-04-21T14:59:00Z,70.00,30.00
2026-04-21T15:00:00Z,68.96,32.30
2026-04-21T15:01:00Z,66.05,33.37
2026-04-21T15:02:00Z,58.00,39.98
2026-04-21T15:03:00Z,54.01,41.25
2026-04-21T15:04:00Z,53.33,47.49
2026-04-21T15:05:00Z,46.22,49.91
2026-04-21T15:06:00Z,46.22,52.93
2026-04-21T15:07:00Z,46.04,55.82
2026-04-21T15:08:00Z,36.00,61.37
2026-04-21T15:09:00Z,35.38,63.89
2026-04-21T15:10:00Z,34.00,65.17
2026-04-21T15:11:00Z,34.00,66.85
2026-04-21T15:12:00Z,30.06,69.60
2026-04-21T15:13:00Z,28.14,70.63
2026-04-21T15:14:00Z,30.65,70.89
2026-04-21T15:15:00Z,28.06,70.55
2026-04-21T15:16:00Z,28.06,70.35
2026-04-21T15:17:00Z,30.00,68.52
2026-04-21T15:18:00Z,30.00,72.00
2026-04-21T15:19:00Z,24.68,74.00
2026-04-21T15:20:00Z,25.25,75.70
2026-04-21T15:21:00Z,22.95,78.23
2026-04-21T15:22:00Z,24.49,77.73
2026-04-21T15:23:00Z,21.27,78.55
2026-04-21T15:24:00Z,8.60,88.88
2026-04-21T15:25:00Z,5.78,94.67
2026-04-21T15:26:00Z,5.10,94.95
2026-04-21T15:27:00Z,5.56,95.13
2026-04-21T15:28:00Z,5.04,95.88
2026-04-21T15:29:00Z,4.16,95.91
2026-04-21T15:30:00Z,7.67,93.17
2026-04-21T15:31:00Z,6.54,92.68
2026-04-21T15:32:00Z,5.02,96.34
2026-04-21T15:33:00Z,4.35,97.00
2026-04-21T15:34:00Z,2.59,98.00
2026-04-21T15:35:00Z,3.67,98.12
2026-04-21T15:36:00Z,5.35,94.71
2026-04-21T15:37:00Z,6.72,95.35
