# event_ticker=KXATPCHALLENGERMATCH-26APR19REITAB
# final_score=6-4 1-0 RET
# match_winner=Clement Tabur
# fav_player=Clement Tabur
# dog_player=Joao Lucas Reis Da Silva
# kalshi_date=2026-04-19
timestamp,Joao Lucas Reis Da Silva,Clement Tabur
2026-04-19T04:59:00Z,,60.00
2026-04-19T05:05:00Z,,64.00
2026-04-19T05:21:00Z,,64.00
2026-04-19T05:31:00Z,,64.00
2026-04-19T05:33:00Z,,64.00
2026-04-19T05:36:00Z,40.00,64.00
2026-04-19T06:37:00Z,40.00,63.48
2026-04-19T06:50:00Z,40.00,63.48
2026-04-19T07:30:00Z,40.00,63.00
2026-04-19T09:32:00Z,38.00,63.00
2026-04-19T09:33:00Z,38.00,63.00
2026-04-19T09:42:00Z,38.00,63.00
2026-04-19T09:51:00Z,38.00,63.00
2026-04-19T09:53:00Z,38.00,63.00
2026-04-19T10:01:00Z,38.00,63.00
2026-04-19T10:59:00Z,38.00,62.00
2026-04-19T11:58:00Z,38.00,62.00
2026-04-19T12:26:00Z,38.00,62.00
2026-04-19T12:32:00Z,38.00,62.00
2026-04-19T12:33:00Z,38.00,62.00
2026-04-19T13:02:00Z,39.00,62.00
2026-04-19T13:03:00Z,39.00,62.00
2026-04-19T13:05:00Z,39.00,62.00
2026-04-19T13:11:00Z,39.00,62.00
2026-04-19T13:14:00Z,39.00,62.00
2026-04-19T13:16:00Z,39.00,62.00
2026-04-19T13:18:00Z,39.00,62.00
2026-04-19T13:19:00Z,39.00,62.79
2026-04-19T13:20:00Z,39.00,63.00
2026-04-19T13:23:00Z,39.00,63.00
2026-04-19T13:25:00Z,39.00,63.00
2026-04-19T13:26:00Z,39.00,63.00
2026-04-19T13:27:00Z,39.00,63.00
2026-04-19T13:29:00Z,38.00,63.00
2026-04-19T13:30:00Z,38.00,63.23
2026-04-19T13:31:00Z,37.92,64.00
2026-04-19T13:37:00Z,38.00,63.00
2026-04-19T13:38:00Z,38.00,63.00
2026-04-19T13:39:00Z,38.00,63.00
2026-04-19T13:44:00Z,38.00,63.00
2026-04-19T13:45:00Z,38.00,63.00
2026-04-19T13:50:00Z,38.00,63.00
2026-04-19T13:51:00Z,38.00,63.00
2026-04-19T13:54:00Z,38.00,63.00
2026-04-19T14:02:00Z,38.00,63.00
2026-04-19T14:10:00Z,39.12,63.00
2026-04-19T14:15:00Z,39.12,62.00
2026-04-19T14:17:00Z,38.00,64.55
2026-04-19T14:21:00Z,38.00,64.00
2026-04-19T14:23:00Z,38.00,64.00
2026-04-19T14:26:00Z,38.00,64.00
2026-04-19T14:30:00Z,38.00,63.00
2026-04-19T14:35:00Z,38.00,63.00
2026-04-19T14:36:00Z,38.00,63.00
2026-04-19T14:39:00Z,38.00,62.00
2026-04-19T14:40:00Z,38.00,63.00
2026-04-19T14:41:00Z,38.00,63.00
2026-04-19T14:43:00Z,38.00,63.00
2026-04-19T14:48:00Z,38.00,63.00
2026-04-19T14:54:00Z,38.00,63.00
2026-04-19T15:02:00Z,38.00,63.00
2026-04-19T15:03:00Z,38.00,64.25
2026-04-19T15:05:00Z,38.00,64.00
