# event_ticker=KXATPCHALLENGERMATCH-26APR21JOHBAS
# final_score=6-2 4-6 7-5
# score_resolution=2-6 6-4 5-7
# match_winner=Nishesh Basavareddy
# fav_player=Andrew Johnson
# dog_player=Nishesh Basavareddy
# kalshi_date=2026-04-21
timestamp,Andrew Johnson,Nishesh Basavareddy
2026-04-21T07:46:00Z,24.57,82.00
2026-04-21T08:36:00Z,22.00,82.00
2026-04-21T09:20:00Z,19.00,82.00
2026-04-21T10:55:00Z,19.00,83.00
2026-04-21T11:27:00Z,17.00,83.00
2026-04-21T11:32:00Z,17.00,83.00
2026-04-21T11:44:00Z,17.00,83.00
2026-04-21T12:30:00Z,19.00,83.00
2026-04-21T12:54:00Z,19.00,83.00
2026-04-21T13:15:00Z,17.00,83.00
2026-04-21T13:32:00Z,19.00,83.00
2026-04-21T13:34:00Z,19.00,83.00
2026-04-21T13:46:00Z,19.00,83.00
2026-04-21T14:52:00Z,19.00,83.00
2026-04-21T15:01:00Z,19.00,83.00
2026-04-21T15:11:00Z,19.00,83.00
2026-04-21T15:32:00Z,19.00,83.00
2026-04-21T15:33:00Z,19.00,83.00
2026-04-21T16:43:00Z,19.00,82.00
2026-04-21T17:01:00Z,18.00,82.00
2026-04-21T17:03:00Z,18.00,82.00
2026-04-21T17:09:00Z,18.00,82.97
2026-04-21T17:23:00Z,19.00,82.97
2026-04-21T17:26:00Z,19.00,84.00
2026-04-21T17:43:00Z,19.00,83.00
2026-04-21T17:44:00Z,19.00,83.00
2026-04-21T17:45:00Z,19.00,83.00
2026-04-21T17:46:00Z,19.00,83.00
2026-04-21T17:49:00Z,19.00,83.00
2026-04-21T17:56:00Z,19.00,83.00
2026-04-21T17:58:00Z,19.00,83.00
2026-04-21T17:59:00Z,19.00,83.00
2026-04-21T18:03:00Z,18.00,83.00
2026-04-21T18:04:00Z,18.00,84.00
2026-04-21T18:08:00Z,19.00,84.00
2026-04-21T18:09:00Z,18.00,83.00
2026-04-21T18:10:00Z,18.00,84.00
2026-04-21T18:11:00Z,18.00,84.00
2026-04-21T18:13:00Z,18.00,84.00
2026-04-21T18:18:00Z,16.00,84.00
2026-04-21T18:19:00Z,16.00,83.97
2026-04-21T18:21:00Z,18.00,83.97
2026-04-21T18:22:00Z,18.00,84.00
2026-04-21T18:23:00Z,18.00,84.00
2026-04-21T18:26:00Z,18.96,84.00
2026-04-21T18:31:00Z,18.96,84.00
2026-04-21T18:35:00Z,18.98,84.00
2026-04-21T18:36:00Z,16.00,84.00
2026-04-21T18:39:00Z,18.92,84.00
2026-04-21T18:42:00Z,18.64,84.00
2026-04-21T18:43:00Z,18.58,84.00
2026-04-21T18:44:00Z,18.86,84.00
2026-04-21T18:45:00Z,18.86,84.00
2026-04-21T18:47:00Z,18.86,84.00
2026-04-21T18:48:00Z,18.86,84.00
2026-04-21T18:49:00Z,16.08,84.00
2026-04-21T18:50:00Z,16.00,84.00
2026-04-21T18:51:00Z,19.00,84.00
2026-04-21T18:52:00Z,19.00,84.00
2026-04-21T18:53:00Z,19.00,84.00
2026-04-21T18:54:00Z,19.00,83.08
2026-04-21T18:55:00Z,19.00,84.00
2026-04-21T18:57:00Z,18.76,84.00
2026-04-21T18:58:00Z,17.01,84.00
2026-04-21T18:59:00Z,19.00,84.00
2026-04-21T19:00:00Z,19.00,84.00
2026-04-21T19:01:00Z,18.00,84.00
2026-04-21T19:02:00Z,18.00,84.00
2026-04-21T19:03:00Z,18.70,83.17
2026-04-21T19:04:00Z,19.00,84.00
2026-04-21T19:05:00Z,19.00,84.00
2026-04-21T19:06:00Z,19.00,84.00
2026-04-21T19:07:00Z,19.00,83.11
