# event_ticker=KXATPCHALLENGERMATCH-26JUN05CECSKA
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Timofey Skatov
# fav_player=Marco Cecchinato
# dog_player=Timofey Skatov
# kalshi_date=2026-06-05
timestamp,Marco Cecchinato,Timofey Skatov
2026-06-05T00:24:00Z,60.00,
2026-06-05T00:25:00Z,60.00,42.00
2026-06-05T00:31:00Z,60.00,42.00
2026-06-05T00:32:00Z,60.00,42.00
2026-06-05T00:54:00Z,60.00,42.00
2026-06-05T00:55:00Z,60.00,42.00
2026-06-05T01:08:00Z,58.00,42.00
2026-06-05T01:37:00Z,59.00,42.00
2026-06-05T02:09:00Z,59.00,43.00
2026-06-05T02:28:00Z,59.00,43.00
2026-06-05T02:38:00Z,58.00,43.00
2026-06-05T02:54:00Z,58.00,41.00
2026-06-05T03:11:00Z,59.00,41.00
2026-06-05T03:13:00Z,59.00,41.00
2026-06-05T03:29:00Z,59.00,41.00
2026-06-05T03:34:00Z,59.00,41.00
2026-06-05T03:35:00Z,58.00,41.00
2026-06-05T03:37:00Z,58.00,43.00
2026-06-05T03:42:00Z,59.00,43.00
2026-06-05T03:53:00Z,59.00,43.00
2026-06-05T03:55:00Z,58.00,43.00
2026-06-05T04:07:00Z,58.00,43.00
2026-06-05T04:18:00Z,59.00,43.00
2026-06-05T04:21:00Z,59.00,43.00
2026-06-05T04:31:00Z,59.00,43.00
2026-06-05T04:52:00Z,59.00,43.00
2026-06-05T05:07:00Z,59.00,43.00
2026-06-05T05:08:00Z,59.00,43.00
2026-06-05T05:16:00Z,59.00,43.00
2026-06-05T05:34:00Z,59.00,42.00
2026-06-05T05:37:00Z,59.00,42.94
2026-06-05T05:42:00Z,59.00,42.94
2026-06-05T05:43:00Z,59.00,44.00
2026-06-05T05:45:00Z,59.00,44.00
2026-06-05T05:55:00Z,59.00,44.00
2026-06-05T05:56:00Z,59.00,44.00
2026-06-05T05:58:00Z,59.00,42.00
2026-06-05T05:59:00Z,59.00,42.00
2026-06-05T06:01:00Z,58.00,44.00
2026-06-05T06:20:00Z,59.00,44.00
2026-06-05T06:38:00Z,59.00,44.00
2026-06-05T07:40:00Z,59.00,42.00
2026-06-05T07:50:00Z,59.00,42.00
2026-06-05T08:07:00Z,58.00,41.00
2026-06-05T08:15:00Z,59.00,41.00
2026-06-05T08:24:00Z,59.00,41.00
2026-06-05T09:04:00Z,59.00,42.00
2026-06-05T10:11:00Z,59.00,42.00
2026-06-05T10:12:00Z,59.00,42.00
2026-06-05T10:24:00Z,59.00,42.00
2026-06-05T10:44:00Z,59.00,42.00
2026-06-05T10:45:00Z,59.00,42.00
2026-06-05T10:48:00Z,59.00,42.00
2026-06-05T10:53:00Z,59.00,42.00
2026-06-05T11:16:00Z,59.00,42.00
2026-06-05T11:28:00Z,59.00,42.00
2026-06-05T11:31:00Z,59.00,43.00
2026-06-05T11:33:00Z,59.00,43.00
2026-06-05T11:50:00Z,59.00,42.00
2026-06-05T11:53:00Z,59.00,42.00
2026-06-05T11:58:00Z,59.00,42.00
2026-06-05T12:02:00Z,59.00,43.88
2026-06-05T12:04:00Z,59.34,43.88
2026-06-05T12:05:00Z,60.00,43.88
2026-06-05T12:06:00Z,55.41,45.02
2026-06-05T12:07:00Z,52.72,47.55
2026-06-05T12:08:00Z,54.83,50.63
2026-06-05T12:09:00Z,53.72,46.86
2026-06-05T12:10:00Z,47.42,53.77
2026-06-05T12:11:00Z,44.00,57.00
2026-06-05T12:12:00Z,45.00,56.01
2026-06-05T12:13:00Z,48.19,51.23
2026-06-05T12:14:00Z,51.94,47.84
2026-06-05T12:15:00Z,55.16,45.00
2026-06-05T12:16:00Z,58.82,45.00
2026-06-05T12:17:00Z,57.28,46.00
2026-06-05T12:18:00Z,55.00,45.86
