# event_ticker=KXATPCHALLENGERMATCH-26FEB17BASBLA
# final_score=6-2 6-2
# score_resolution=2-6 2-6
# match_winner=Nishesh Basavareddy
# fav_player=Ugo Blanchet
# dog_player=Nishesh Basavareddy
# kalshi_date=2026-02-17
timestamp,Ugo Blanchet,Nishesh Basavareddy
2026-02-16T23:45:00Z,,64.00
2026-02-17T00:06:00Z,,64.00
2026-02-17T00:46:00Z,,64.00
2026-02-17T00:57:00Z,,64.00
2026-02-17T01:01:00Z,,65.00
2026-02-17T01:31:00Z,37.00,65.00
2026-02-17T01:36:00Z,37.00,65.00
2026-02-17T01:38:00Z,37.00,65.00
2026-02-17T01:41:00Z,37.00,65.00
2026-02-17T02:23:00Z,37.00,64.00
2026-02-17T02:42:00Z,37.00,65.00
2026-02-17T02:58:00Z,37.00,66.00
2026-02-17T02:59:00Z,37.00,66.00
2026-02-17T03:17:00Z,37.00,66.00
2026-02-17T03:30:00Z,37.00,66.00
2026-02-17T04:13:00Z,37.00,66.00
2026-02-17T04:18:00Z,37.00,66.00
2026-02-17T04:20:00Z,37.00,66.00
2026-02-17T04:21:00Z,37.00,66.00
2026-02-17T04:27:00Z,37.00,66.00
2026-02-17T04:33:00Z,37.00,66.00
2026-02-17T04:34:00Z,37.00,66.00
2026-02-17T04:38:00Z,37.00,66.00
2026-02-17T04:44:00Z,37.00,66.00
2026-02-17T04:45:00Z,37.00,66.00
2026-02-17T04:48:00Z,37.00,67.00
2026-02-17T04:49:00Z,37.00,67.00
2026-02-17T05:50:00Z,37.00,66.00
2026-02-17T05:53:00Z,35.09,66.00
2026-02-17T06:06:00Z,34.00,66.00
2026-02-17T06:12:00Z,34.00,66.00
2026-02-17T06:23:00Z,34.00,66.00
2026-02-17T06:32:00Z,34.00,66.00
2026-02-17T06:33:00Z,34.00,66.00
2026-02-17T06:43:00Z,34.00,66.00
2026-02-17T06:44:00Z,35.00,66.00
2026-02-17T07:27:00Z,35.00,67.00
2026-02-17T07:44:00Z,35.00,66.00
2026-02-17T08:47:00Z,35.00,66.00
2026-02-17T08:58:00Z,35.00,66.00
2026-02-17T09:05:00Z,35.00,66.00
2026-02-17T10:12:00Z,35.00,66.00
2026-02-17T10:13:00Z,35.00,66.00
2026-02-17T10:19:00Z,35.00,66.00
2026-02-17T10:27:00Z,35.00,66.00
2026-02-17T10:28:00Z,35.00,66.00
2026-02-17T10:30:00Z,35.00,66.00
2026-02-17T10:31:00Z,35.00,66.00
2026-02-17T10:33:00Z,35.00,66.00
2026-02-17T10:36:00Z,35.00,66.00
2026-02-17T10:37:00Z,35.00,65.00
2026-02-17T10:41:00Z,35.00,65.71
2026-02-17T10:42:00Z,37.00,65.71
2026-02-17T10:43:00Z,37.00,65.71
2026-02-17T10:48:00Z,37.00,65.00
2026-02-17T10:59:00Z,37.00,65.00
2026-02-17T11:06:00Z,37.00,66.97
2026-02-17T11:10:00Z,33.00,66.97
2026-02-17T11:11:00Z,33.00,67.66
2026-02-17T11:14:00Z,35.25,65.00
2026-02-17T11:15:00Z,39.00,62.04
2026-02-17T11:16:00Z,40.00,62.00
2026-02-17T11:17:00Z,40.00,63.25
2026-02-17T11:19:00Z,34.70,67.00
2026-02-17T11:20:00Z,34.00,66.00
2026-02-17T11:22:00Z,34.00,72.00
2026-02-17T11:23:00Z,34.00,64.00
2026-02-17T11:24:00Z,35.00,64.00
2026-02-17T11:26:00Z,35.00,66.00
2026-02-17T11:27:00Z,35.20,66.00
2026-02-17T11:28:00Z,35.00,66.00
2026-02-17T11:29:00Z,35.00,70.42
2026-02-17T11:30:00Z,26.29,74.41
2026-02-17T11:32:00Z,21.00,80.00
2026-02-17T11:33:00Z,21.00,81.00
2026-02-17T11:34:00Z,17.45,81.00
2026-02-17T11:35:00Z,17.45,82.00
2026-02-17T11:36:00Z,17.45,86.00
2026-02-17T11:37:00Z,17.38,84.00
2026-02-17T11:38:00Z,18.00,84.00
2026-02-17T11:39:00Z,20.00,84.00
2026-02-17T11:40:00Z,20.00,84.00
2026-02-17T11:41:00Z,20.00,76.95
2026-02-17T11:42:00Z,27.00,69.94
2026-02-17T11:43:00Z,25.17,73.44
2026-02-17T11:44:00Z,21.13,82.00
2026-02-17T11:45:00Z,18.00,82.00
2026-02-17T11:46:00Z,16.99,82.29
2026-02-17T11:48:00Z,17.67,83.00
2026-02-17T11:49:00Z,16.44,83.05
2026-02-17T11:51:00Z,16.44,84.91
2026-02-17T11:53:00Z,13.00,87.00
2026-02-17T11:54:00Z,12.00,87.00
2026-02-17T11:55:00Z,15.14,85.00
2026-02-17T11:56:00Z,15.37,86.91
2026-02-17T11:57:00Z,15.37,88.00
