# event_ticker=KXATPCHALLENGERMATCH-26MAY26PELAZK
# final_score=4-6 6-4 6-3
# match_winner=Arda Azkara
# fav_player=Arda Azkara
# dog_player=Filip Peliwo
# kalshi_date=2026-05-26
timestamp,Filip Peliwo,Arda Azkara
2026-05-26T01:42:00Z,48.00,
2026-05-26T01:47:00Z,48.20,
2026-05-26T01:48:00Z,48.00,
2026-05-26T02:30:00Z,47.96,
2026-05-26T02:41:00Z,48.00,
2026-05-26T02:42:00Z,48.00,
2026-05-26T03:14:00Z,48.00,
2026-05-26T03:29:00Z,48.00,53.00
2026-05-26T05:20:00Z,48.00,53.00
2026-05-26T05:28:00Z,48.00,53.00
2026-05-26T05:40:00Z,48.00,53.00
2026-05-26T06:50:00Z,48.00,53.00
2026-05-26T09:34:00Z,48.00,53.00
2026-05-26T09:39:00Z,49.00,53.00
2026-05-26T10:24:00Z,49.00,53.00
2026-05-26T10:41:00Z,49.00,53.00
2026-05-26T10:57:00Z,49.00,53.00
2026-05-26T11:06:00Z,49.00,52.00
2026-05-26T11:14:00Z,50.00,52.00
2026-05-26T11:15:00Z,50.00,52.00
2026-05-26T11:20:00Z,53.00,52.00
2026-05-26T11:26:00Z,52.91,52.00
2026-05-26T11:29:00Z,53.00,52.00
2026-05-26T12:00:00Z,53.00,52.00
2026-05-26T12:08:00Z,54.00,49.00
2026-05-26T12:11:00Z,54.00,49.00
2026-05-26T12:33:00Z,55.00,49.00
2026-05-26T12:50:00Z,53.62,49.00
2026-05-26T13:08:00Z,54.00,49.00
2026-05-26T13:11:00Z,51.00,49.00
2026-05-26T13:12:00Z,53.72,49.00
2026-05-26T13:14:00Z,54.00,49.00
2026-05-26T13:16:00Z,49.42,50.99
2026-05-26T13:17:00Z,49.42,50.63
2026-05-26T13:18:00Z,55.41,50.81
2026-05-26T13:19:00Z,43.10,55.36
2026-05-26T13:20:00Z,43.56,56.00
2026-05-26T13:21:00Z,43.00,56.58
2026-05-26T13:22:00Z,40.71,56.58
2026-05-26T13:23:00Z,37.00,67.12
2026-05-26T13:24:00Z,33.00,67.00
2026-05-26T13:25:00Z,38.00,67.00
2026-05-26T13:26:00Z,38.00,64.00
2026-05-26T13:28:00Z,39.00,62.02
2026-05-26T13:29:00Z,38.00,62.00
2026-05-26T13:30:00Z,41.55,60.90
2026-05-26T13:31:00Z,48.61,60.90
2026-05-26T13:32:00Z,53.05,60.90
2026-05-26T13:33:00Z,56.74,45.97
2026-05-26T13:34:00Z,57.00,45.97
2026-05-26T13:35:00Z,59.44,42.00
2026-05-26T13:36:00Z,54.00,42.00
2026-05-26T13:37:00Z,54.00,47.00
2026-05-26T13:38:00Z,56.49,47.00
2026-05-26T13:39:00Z,65.00,34.97
2026-05-26T13:40:00Z,59.55,40.21
2026-05-26T13:41:00Z,59.55,41.00
2026-05-26T13:42:00Z,61.47,39.38
2026-05-26T13:43:00Z,61.47,39.22
2026-05-26T13:44:00Z,61.55,38.00
2026-05-26T13:45:00Z,61.55,40.00
2026-05-26T13:46:00Z,58.00,41.00
2026-05-26T13:47:00Z,59.67,41.99
2026-05-26T13:48:00Z,54.30,43.84
2026-05-26T13:49:00Z,55.74,45.69
2026-05-26T13:50:00Z,59.00,40.00
2026-05-26T13:51:00Z,59.00,40.00
2026-05-26T13:52:00Z,64.67,36.98
2026-05-26T13:53:00Z,60.31,39.00
2026-05-26T13:54:00Z,61.00,39.00
2026-05-26T13:55:00Z,57.99,43.20
2026-05-26T13:56:00Z,59.14,43.00
2026-05-26T13:57:00Z,58.00,41.98
2026-05-26T13:58:00Z,61.00,40.24
