# event_ticker=KXATPCHALLENGERMATCH-26APR14KUZBAR
# final_score=4-6 6-4 6-3
# score_resolution=6-4 4-6 3-6
# match_winner=Hynek Barton
# fav_player=Bruno Kuzuhara
# dog_player=Hynek Barton
# kalshi_date=2026-04-14
timestamp,Bruno Kuzuhara,Hynek Barton
2026-04-14T03:50:00Z,20.00,88.00
2026-04-14T03:53:00Z,20.00,87.00
2026-04-14T04:30:00Z,20.00,87.00
2026-04-14T05:01:00Z,20.00,84.13
2026-04-14T06:14:00Z,20.00,84.13
2026-04-14T06:24:00Z,20.00,80.00
2026-04-14T09:21:00Z,20.00,81.00
2026-04-14T10:17:00Z,20.00,81.00
2026-04-14T10:45:00Z,20.00,81.00
2026-04-14T11:07:00Z,20.00,81.00
2026-04-14T12:05:00Z,20.00,82.00
2026-04-14T12:26:00Z,19.00,82.00
2026-04-14T12:35:00Z,19.73,82.00
2026-04-14T12:47:00Z,19.73,82.00
2026-04-14T13:17:00Z,19.00,82.00
2026-04-14T13:26:00Z,19.00,82.00
2026-04-14T13:40:00Z,19.00,82.00
2026-04-14T13:41:00Z,17.00,82.00
2026-04-14T13:47:00Z,19.00,82.00
2026-04-14T13:54:00Z,19.00,82.00
2026-04-14T14:01:00Z,19.00,82.00
2026-04-14T14:34:00Z,19.00,82.85
2026-04-14T14:35:00Z,19.00,82.85
2026-04-14T14:48:00Z,19.00,83.00
2026-04-14T14:50:00Z,19.00,83.00
2026-04-14T14:51:00Z,19.00,83.00
2026-04-14T14:57:00Z,19.00,83.00
2026-04-14T15:00:00Z,19.00,83.00
2026-04-14T15:02:00Z,19.00,83.45
2026-04-14T15:04:00Z,19.00,83.45
2026-04-14T15:05:00Z,19.00,81.00
2026-04-14T15:06:00Z,19.00,81.00
2026-04-14T15:07:00Z,19.00,81.00
2026-04-14T15:09:00Z,18.00,82.00
2026-04-14T15:10:00Z,18.39,83.77
2026-04-14T15:11:00Z,19.00,83.77
2026-04-14T15:12:00Z,17.00,83.77
2026-04-14T15:13:00Z,14.00,83.77
2026-04-14T15:14:00Z,16.00,84.00
2026-04-14T15:15:00Z,16.04,83.00
2026-04-14T15:16:00Z,17.46,82.00
2026-04-14T15:17:00Z,18.73,82.00
2026-04-14T15:18:00Z,21.00,82.00
2026-04-14T15:19:00Z,20.11,82.00
2026-04-14T15:20:00Z,29.33,74.22
2026-04-14T15:21:00Z,28.00,70.00
2026-04-14T15:22:00Z,27.08,73.81
2026-04-14T15:23:00Z,32.85,67.00
