# event_ticker=KXATPMATCH-25JUL27SAFBLA
# final_score=4-6 6-2 7-6(9)
# score_resolution=4-6 6-2 7-6
# match_winner=Roman Safiullin
# fav_player=Roman Safiullin
# dog_player=Ugo Blanchet
# kalshi_date=2025-07-27
timestamp,Roman Safiullin,Ugo Blanchet
2025-07-27T17:13:00Z,,35.00
2025-07-27T18:41:00Z,,42.00
2025-07-27T18:56:00Z,73.00,42.00
2025-07-27T19:09:00Z,73.00,42.00
2025-07-27T19:10:00Z,73.00,42.00
2025-07-27T19:15:00Z,73.00,42.00
2025-07-27T19:22:00Z,73.00,42.00
2025-07-27T19:44:00Z,71.00,42.00
2025-07-27T20:11:00Z,71.00,42.00
2025-07-27T20:23:00Z,71.00,53.00
2025-07-27T21:00:00Z,71.00,53.00
2025-07-27T21:11:00Z,71.00,53.00
2025-07-27T21:14:00Z,73.04,53.00
2025-07-27T21:21:00Z,73.04,43.49
2025-07-27T21:22:00Z,73.04,41.00
2025-07-27T21:24:00Z,79.00,41.00
2025-07-27T21:25:00Z,79.00,41.00
2025-07-27T21:33:00Z,79.00,40.00
2025-07-27T21:35:00Z,79.00,37.00
2025-07-27T21:39:00Z,79.00,44.00
2025-07-27T21:40:00Z,79.00,42.00
2025-07-27T21:41:00Z,79.00,39.00
2025-07-27T21:43:00Z,80.00,39.00
2025-07-27T21:44:00Z,80.00,65.80
2025-07-27T21:45:00Z,80.00,64.00
2025-07-27T21:46:00Z,80.00,54.63
2025-07-27T21:48:00Z,80.00,70.00
2025-07-27T21:50:00Z,80.00,67.57
2025-07-27T21:51:00Z,80.00,67.00
2025-07-27T21:52:00Z,40.61,67.10
2025-07-27T21:53:00Z,45.00,66.00
2025-07-27T21:54:00Z,28.00,66.00
2025-07-27T22:00:00Z,59.73,66.00
2025-07-27T22:04:00Z,65.00,66.00
2025-07-27T22:05:00Z,63.00,50.00
2025-07-27T22:06:00Z,63.00,49.00
2025-07-27T22:08:00Z,63.00,45.00
2025-07-27T22:09:00Z,67.00,38.83
2025-07-27T22:11:00Z,67.00,43.00
2025-07-27T22:15:00Z,77.78,49.66
2025-07-27T22:17:00Z,77.78,37.00
2025-07-27T22:20:00Z,78.00,37.00
2025-07-27T22:25:00Z,78.00,49.00
2025-07-27T22:29:00Z,78.00,35.14
2025-07-27T22:31:00Z,78.00,33.00
2025-07-27T22:33:00Z,78.00,14.00
2025-07-27T22:34:00Z,85.00,31.00
2025-07-27T22:35:00Z,87.00,31.00
2025-07-27T22:37:00Z,77.07,31.00
2025-07-27T22:38:00Z,77.07,42.00
2025-07-27T22:43:00Z,79.83,42.00
2025-07-27T22:45:00Z,86.00,44.00
2025-07-27T22:49:00Z,88.00,44.00
2025-07-27T22:51:00Z,77.00,44.00
2025-07-27T22:52:00Z,84.00,44.18
2025-07-27T22:54:00Z,72.00,49.17
2025-07-27T22:55:00Z,72.00,60.00
2025-07-27T22:56:00Z,71.70,60.00
2025-07-27T22:57:00Z,69.00,60.00
2025-07-27T22:58:00Z,69.00,56.43
2025-07-27T22:59:00Z,69.00,10.00
2025-07-27T23:00:00Z,49.50,48.45
2025-07-27T23:01:00Z,58.00,64.00
2025-07-27T23:02:00Z,66.72,64.00
2025-07-27T23:03:00Z,68.72,35.97
2025-07-27T23:04:00Z,67.76,35.97
2025-07-27T23:05:00Z,81.31,21.67
2025-07-27T23:06:00Z,87.94,10.51
2025-07-27T23:07:00Z,96.67,23.67
2025-07-27T23:08:00Z,96.67,38.00
2025-07-27T23:09:00Z,96.67,38.00
2025-07-27T23:10:00Z,71.07,25.28
2025-07-27T23:11:00Z,76.99,25.28
2025-07-27T23:12:00Z,76.96,30.00
2025-07-27T23:13:00Z,62.79,30.00
2025-07-27T23:14:00Z,55.28,48.80
2025-07-27T23:15:00Z,58.41,41.66
2025-07-27T23:16:00Z,72.89,28.60
2025-07-27T23:17:00Z,57.95,40.66
2025-07-27T23:18:00Z,42.71,32.00
2025-07-27T23:19:00Z,42.71,48.96
2025-07-27T23:20:00Z,70.00,34.00
2025-07-27T23:21:00Z,79.30,22.20
2025-07-27T23:22:00Z,84.26,14.89
2025-07-27T23:23:00Z,83.12,22.00
2025-07-27T23:24:00Z,72.58,22.00
2025-07-27T23:25:00Z,88.00,14.55
2025-07-27T23:26:00Z,70.76,27.00
2025-07-27T23:27:00Z,7.16,41.17
2025-07-27T23:28:00Z,33.20,75.76
2025-07-27T23:29:00Z,47.40,50.37
2025-07-27T23:30:00Z,53.18,56.17
2025-07-27T23:31:00Z,55.33,56.17
2025-07-27T23:32:00Z,74.70,29.08
2025-07-27T23:33:00Z,99.00,29.08
2025-07-27T23:34:00Z,99.00,29.08
