# event_ticker=KXATPCHALLENGERMATCH-26MAR03NAPDEN
# final_score=6-3 6-4
# score_resolution=3-6 4-6
# match_winner=Stefano Napolitano
# fav_player=Corentin Denolly
# dog_player=Stefano Napolitano
# kalshi_date=2026-03-03
timestamp,Corentin Denolly,Stefano Napolitano
2026-03-02T23:21:00Z,21.00,
2026-03-02T23:38:00Z,21.00,80.00
2026-03-03T00:21:00Z,21.00,80.00
2026-03-03T00:35:00Z,21.00,80.00
2026-03-03T01:21:00Z,21.00,80.00
2026-03-03T03:22:00Z,22.00,80.00
2026-03-03T04:23:00Z,22.00,80.00
2026-03-03T04:26:00Z,22.00,80.00
2026-03-03T04:29:00Z,22.37,78.00
2026-03-03T04:44:00Z,23.00,78.00
2026-03-03T04:53:00Z,23.00,80.00
2026-03-03T05:04:00Z,23.00,80.00
2026-03-03T05:18:00Z,23.00,80.00
2026-03-03T05:49:00Z,20.00,80.00
2026-03-03T05:53:00Z,23.00,80.00
2026-03-03T06:34:00Z,23.00,76.00
2026-03-03T06:40:00Z,23.00,76.00
2026-03-03T06:42:00Z,25.00,76.00
2026-03-03T06:59:00Z,25.00,76.00
2026-03-03T07:03:00Z,25.00,77.00
2026-03-03T07:36:00Z,25.00,77.00
2026-03-03T07:44:00Z,25.00,77.00
2026-03-03T07:52:00Z,25.00,77.00
2026-03-03T08:01:00Z,25.00,77.00
2026-03-03T08:07:00Z,25.00,77.00
2026-03-03T08:08:00Z,25.00,77.00
2026-03-03T08:10:00Z,25.00,77.00
2026-03-03T08:14:00Z,21.00,81.00
2026-03-03T08:16:00Z,20.00,81.00
2026-03-03T08:17:00Z,21.03,81.00
2026-03-03T08:18:00Z,22.00,78.00
2026-03-03T08:19:00Z,22.00,81.00
2026-03-03T08:20:00Z,22.00,81.00
2026-03-03T08:21:00Z,20.00,81.00
2026-03-03T08:22:00Z,24.34,81.00
2026-03-03T08:24:00Z,24.00,81.00
2026-03-03T08:26:00Z,25.00,76.00
2026-03-03T08:27:00Z,25.00,73.00
2026-03-03T08:28:00Z,25.54,75.00
2026-03-03T08:30:00Z,24.00,75.00
2026-03-03T08:31:00Z,24.00,79.00
2026-03-03T08:32:00Z,17.01,81.00
2026-03-03T08:33:00Z,14.00,85.58
2026-03-03T08:34:00Z,16.13,84.00
2026-03-03T08:35:00Z,23.68,77.06
2026-03-03T08:36:00Z,24.01,77.06
2026-03-03T08:37:00Z,25.25,74.85
2026-03-03T08:38:00Z,21.00,74.85
2026-03-03T08:39:00Z,21.02,74.85
2026-03-03T08:40:00Z,25.75,74.85
2026-03-03T08:41:00Z,24.19,75.86
2026-03-03T08:42:00Z,15.00,84.00
2026-03-03T08:43:00Z,12.00,86.84
2026-03-03T08:44:00Z,11.77,90.00
2026-03-03T08:45:00Z,9.10,90.00
2026-03-03T08:46:00Z,9.10,91.15
2026-03-03T08:47:00Z,8.00,92.00
2026-03-03T08:48:00Z,7.96,93.00
2026-03-03T08:49:00Z,7.71,93.00
2026-03-03T08:50:00Z,6.17,93.00
2026-03-03T08:51:00Z,8.00,93.00
2026-03-03T08:52:00Z,7.00,93.00
2026-03-03T08:53:00Z,8.78,92.99
2026-03-03T08:54:00Z,11.78,90.00
2026-03-03T08:55:00Z,11.78,89.00
2026-03-03T08:56:00Z,11.02,87.26
2026-03-03T08:57:00Z,13.46,88.00
2026-03-03T08:58:00Z,12.61,88.00
2026-03-03T08:59:00Z,11.00,88.00
2026-03-03T09:00:00Z,8.53,94.00
2026-03-03T09:01:00Z,8.53,94.00
2026-03-03T09:02:00Z,5.35,95.58
2026-03-03T09:03:00Z,4.00,97.00
2026-03-03T09:04:00Z,4.00,96.00
2026-03-03T09:05:00Z,3.85,96.98
2026-03-03T09:06:00Z,2.03,98.85
2026-03-03T09:07:00Z,3.00,98.00
2026-03-03T09:08:00Z,3.00,98.00
2026-03-03T09:09:00Z,3.00,97.00
2026-03-03T09:10:00Z,3.00,97.00
2026-03-03T09:11:00Z,1.00,99.00
2026-03-03T09:12:00Z,3.00,98.01
2026-03-03T09:13:00Z,1.04,99.00
2026-03-03T09:14:00Z,2.00,99.00
2026-03-03T09:16:00Z,2.00,99.00
2026-03-03T09:17:00Z,2.00,99.00
2026-03-03T09:18:00Z,1.00,98.00
2026-03-03T09:19:00Z,1.52,98.66
2026-03-03T09:20:00Z,1.41,98.27
2026-03-03T09:21:00Z,2.00,98.27
2026-03-03T09:22:00Z,2.00,98.27
2026-03-03T09:23:00Z,5.03,95.00
2026-03-03T09:24:00Z,5.22,95.69
2026-03-03T09:25:00Z,2.00,98.96
2026-03-03T09:26:00Z,2.45,98.96
2026-03-03T09:27:00Z,3.51,98.96
2026-03-03T09:28:00Z,5.11,97.00
2026-03-03T09:29:00Z,4.00,97.27
2026-03-03T09:30:00Z,4.00,97.00
2026-03-03T09:31:00Z,4.00,97.00
2026-03-03T09:32:00Z,3.00,97.00
2026-03-03T09:33:00Z,2.02,98.00
2026-03-03T09:34:00Z,2.14,98.00
2026-03-03T09:35:00Z,2.05,99.00
2026-03-03T09:36:00Z,1.25,98.88
2026-03-03T09:37:00Z,2.00,98.16
2026-03-03T09:39:00Z,2.00,98.16
2026-03-03T09:40:00Z,2.00,99.00
2026-03-03T09:41:00Z,2.87,97.96
2026-03-03T09:42:00Z,5.67,96.07
2026-03-03T09:43:00Z,5.38,95.94
2026-03-03T09:44:00Z,3.32,97.80
2026-03-03T09:45:00Z,1.15,97.80
