# event_ticker=KXATPMATCH-26APR08MEDBER
# final_score=6-0 6-0
# score_resolution=0-6 0-6
# match_winner=Matteo Berrettini
# fav_player=Daniil Medvedev
# dog_player=Matteo Berrettini
# kalshi_date=2026-04-08
timestamp,Daniil Medvedev,Matteo Berrettini
2026-04-07T21:23:00Z,69.00,
2026-04-07T21:24:00Z,69.00,
2026-04-07T21:28:00Z,69.05,
2026-04-07T21:31:00Z,70.00,
2026-04-07T21:33:00Z,70.00,
2026-04-07T21:38:00Z,70.00,
2026-04-07T21:45:00Z,70.00,
2026-04-07T21:47:00Z,70.00,33.00
2026-04-07T21:49:00Z,70.00,33.00
2026-04-07T21:56:00Z,69.00,33.00
2026-04-07T22:02:00Z,67.63,33.00
2026-04-07T22:03:00Z,69.00,33.00
2026-04-07T22:04:00Z,69.00,33.00
2026-04-07T22:06:00Z,70.00,33.00
2026-04-07T22:07:00Z,70.00,33.00
2026-04-07T22:08:00Z,67.00,33.00
2026-04-07T22:10:00Z,70.00,33.00
2026-04-07T22:12:00Z,70.00,33.00
2026-04-07T22:14:00Z,70.00,33.00
2026-04-07T22:16:00Z,70.00,33.00
2026-04-07T22:18:00Z,70.00,32.00
2026-04-07T22:20:00Z,70.00,31.00
2026-04-07T22:23:00Z,70.00,31.00
2026-04-07T22:24:00Z,70.00,31.00
2026-04-07T22:28:00Z,69.14,31.00
2026-04-07T22:29:00Z,70.00,31.00
2026-04-07T22:31:00Z,70.00,31.00
2026-04-07T22:34:00Z,70.00,31.00
2026-04-07T22:39:00Z,70.00,31.00
2026-04-07T22:45:00Z,70.00,31.00
2026-04-07T22:49:00Z,70.00,32.51
2026-04-07T22:53:00Z,70.00,32.51
2026-04-07T23:06:00Z,69.76,32.51
2026-04-07T23:11:00Z,68.00,32.51
2026-04-07T23:14:00Z,68.39,32.51
2026-04-07T23:18:00Z,69.00,32.51
2026-04-07T23:19:00Z,69.00,33.00
2026-04-07T23:20:00Z,69.00,33.00
2026-04-07T23:22:00Z,69.00,33.00
2026-04-07T23:25:00Z,69.00,33.00
2026-04-07T23:28:00Z,69.00,33.00
2026-04-07T23:31:00Z,69.00,33.00
2026-04-07T23:35:00Z,69.00,33.00
2026-04-07T23:41:00Z,69.00,32.00
2026-04-07T23:43:00Z,69.00,31.00
2026-04-07T23:46:00Z,69.00,31.00
2026-04-07T23:48:00Z,69.00,32.00
2026-04-07T23:51:00Z,70.00,32.00
2026-04-07T23:52:00Z,70.00,32.00
2026-04-07T23:55:00Z,70.00,32.00
2026-04-07T23:58:00Z,70.00,32.00
2026-04-07T23:59:00Z,70.00,32.00
2026-04-08T00:02:00Z,69.00,32.00
2026-04-08T00:04:00Z,69.00,32.00
2026-04-08T00:09:00Z,69.00,31.00
2026-04-08T00:12:00Z,69.00,32.64
2026-04-08T00:13:00Z,69.00,32.64
2026-04-08T00:19:00Z,69.79,32.64
2026-04-08T00:23:00Z,70.00,32.64
2026-04-08T00:24:00Z,70.00,33.00
