# event_ticker=KXATPMATCH-25JUL24BUBSHE
# final_score=6-4 6-2
# match_winner=Alexander Bublik
# fav_player=Alexander Bublik
# dog_player=Alexander Shevchenko
# kalshi_date=2025-07-24
timestamp,Alexander Bublik,Alexander Shevchenko
2025-07-24T05:03:00Z,77.00,
2025-07-24T05:04:00Z,77.00,25.00
2025-07-24T05:14:00Z,77.00,25.00
2025-07-24T05:15:00Z,77.00,25.00
2025-07-24T05:19:00Z,76.00,25.00
2025-07-24T05:26:00Z,76.94,25.00
2025-07-24T05:33:00Z,76.94,25.00
2025-07-24T05:36:00Z,76.94,25.00
2025-07-24T05:38:00Z,77.00,25.00
2025-07-24T05:57:00Z,77.00,25.00
2025-07-24T06:02:00Z,77.00,25.00
2025-07-24T06:05:00Z,77.00,25.00
2025-07-24T06:10:00Z,77.00,25.71
2025-07-24T06:14:00Z,76.29,25.71
2025-07-24T06:21:00Z,76.29,25.44
2025-07-24T06:25:00Z,76.92,25.44
2025-07-24T06:32:00Z,76.92,26.96
2025-07-24T06:34:00Z,76.74,26.96
2025-07-24T06:38:00Z,77.00,26.96
2025-07-24T06:39:00Z,77.00,26.96
2025-07-24T06:40:00Z,77.00,26.96
2025-07-24T06:56:00Z,77.00,26.96
2025-07-24T06:57:00Z,77.00,26.96
2025-07-24T12:02:00Z,76.90,26.96
2025-07-24T12:10:00Z,76.90,25.00
2025-07-24T12:13:00Z,76.90,22.00
2025-07-24T12:14:00Z,76.90,25.00
2025-07-24T12:18:00Z,76.00,25.00
2025-07-24T12:20:00Z,77.00,25.00
2025-07-24T12:21:00Z,76.93,25.00
2025-07-24T12:22:00Z,77.00,25.00
2025-07-24T12:23:00Z,77.00,24.40
2025-07-24T12:24:00Z,77.00,24.40
2025-07-24T12:25:00Z,77.00,24.00
2025-07-24T12:26:00Z,76.38,24.00
2025-07-24T12:27:00Z,76.00,24.00
2025-07-24T12:28:00Z,76.00,24.00
2025-07-24T12:29:00Z,76.00,24.00
2025-07-24T12:31:00Z,76.00,24.00
2025-07-24T12:37:00Z,77.08,24.00
2025-07-24T12:38:00Z,78.00,24.00
2025-07-24T12:42:00Z,78.00,23.00
2025-07-24T12:51:00Z,77.90,23.00
2025-07-24T12:52:00Z,77.90,23.00
2025-07-24T12:53:00Z,77.90,23.00
2025-07-24T12:54:00Z,78.81,23.00
2025-07-24T12:55:00Z,78.00,23.00
2025-07-24T12:56:00Z,78.00,23.00
2025-07-24T12:59:00Z,78.00,23.00
2025-07-24T13:02:00Z,78.00,23.00
2025-07-24T13:04:00Z,78.00,23.00
2025-07-24T13:07:00Z,78.11,24.00
2025-07-24T13:08:00Z,78.00,24.00
2025-07-24T13:11:00Z,78.00,24.00
2025-07-24T13:12:00Z,78.87,24.00
2025-07-24T13:13:00Z,78.00,24.00
2025-07-24T13:15:00Z,78.00,24.00
2025-07-24T13:16:00Z,78.36,24.00
2025-07-24T13:17:00Z,78.00,24.00
2025-07-24T13:18:00Z,79.19,24.00
2025-07-24T13:19:00Z,79.19,23.50
