# event_ticker=KXATPCHALLENGERMATCH-26MAR31KOPSAN
# final_score=5-7 6-4 6-2
# match_winner=Alejo Sanchez Quilez
# fav_player=Alejo Sanchez Quilez
# dog_player=Sandro Kopp
# kalshi_date=2026-03-31
timestamp,Alejo Sanchez Quilez,Sandro Kopp
2026-04-01T23:39:00Z,,53.00
2026-04-02T00:44:00Z,,53.00
2026-04-02T02:42:00Z,,53.00
2026-04-02T03:15:00Z,,52.00
2026-04-02T03:53:00Z,,52.92
2026-04-02T05:03:00Z,,53.00
2026-04-02T05:22:00Z,,53.00
2026-04-02T06:11:00Z,,53.00
2026-04-02T06:18:00Z,,53.00
2026-04-02T06:45:00Z,49.00,53.00
2026-04-02T06:49:00Z,49.00,53.00
2026-04-02T06:50:00Z,49.00,53.00
2026-04-02T06:51:00Z,49.00,53.00
2026-04-02T06:57:00Z,49.20,53.00
2026-04-02T09:01:00Z,47.37,63.48
2026-04-02T09:02:00Z,32.92,72.28
2026-04-02T09:03:00Z,24.39,78.97
2026-04-02T09:04:00Z,22.34,79.00
2026-04-02T09:05:00Z,23.42,79.00
2026-04-02T09:06:00Z,24.00,79.00
2026-04-02T09:07:00Z,24.00,79.00
2026-04-02T09:08:00Z,24.00,76.67
2026-04-02T09:09:00Z,25.58,77.17
2026-04-02T09:10:00Z,27.32,71.00
2026-04-02T09:11:00Z,29.00,76.08
2026-04-02T09:12:00Z,28.99,73.67
2026-04-02T09:13:00Z,26.98,76.79
2026-04-02T09:14:00Z,25.00,76.01
2026-04-02T09:15:00Z,25.76,81.00
2026-04-02T09:16:00Z,17.41,82.00
2026-04-02T09:17:00Z,16.21,86.00
2026-04-02T09:18:00Z,12.00,88.65
2026-04-02T09:19:00Z,10.50,88.65
2026-04-02T09:20:00Z,13.00,87.08
2026-04-02T09:21:00Z,20.99,82.69
2026-04-02T09:22:00Z,25.96,77.67
2026-04-02T09:23:00Z,28.94,77.98
2026-04-02T09:24:00Z,26.15,77.70
2026-04-02T09:25:00Z,31.82,76.93
2026-04-02T09:26:00Z,28.90,70.53
2026-04-02T09:27:00Z,36.36,70.61
2026-04-02T09:28:00Z,29.95,79.89
2026-04-02T09:29:00Z,30.00,71.20
2026-04-02T09:30:00Z,25.92,83.40
2026-04-02T09:31:00Z,22.00,78.15
2026-04-02T09:32:00Z,33.12,71.00
2026-04-02T09:33:00Z,33.73,68.23
2026-04-02T09:34:00Z,34.00,70.50
2026-04-02T09:35:00Z,34.79,65.53
2026-04-02T09:36:00Z,28.91,66.86
2026-04-02T09:37:00Z,28.30,78.75
2026-04-02T09:38:00Z,31.15,71.84
2026-04-02T09:39:00Z,33.95,70.74
2026-04-02T09:40:00Z,31.91,68.90
2026-04-02T09:41:00Z,34.65,78.04
2026-04-02T09:42:00Z,33.58,66.90
2026-04-02T09:43:00Z,32.77,70.94
2026-04-02T09:44:00Z,37.42,61.82
2026-04-02T09:45:00Z,52.75,48.89
2026-04-02T09:46:00Z,56.56,45.58
2026-04-02T09:47:00Z,55.19,44.34
2026-04-02T09:48:00Z,54.50,46.46
2026-04-02T09:49:00Z,55.00,46.99
2026-04-02T09:50:00Z,58.75,44.40
2026-04-02T09:51:00Z,63.76,39.78
2026-04-02T09:52:00Z,64.78,38.68
2026-04-02T09:53:00Z,65.86,35.31
2026-04-02T09:54:00Z,74.91,27.03
2026-04-02T09:55:00Z,75.17,21.72
2026-04-02T09:56:00Z,76.00,23.19
2026-04-02T09:57:00Z,82.63,17.16
2026-04-02T09:58:00Z,89.13,11.88
2026-04-02T09:59:00Z,90.04,10.38
2026-04-02T10:00:00Z,88.40,13.49
2026-04-02T10:01:00Z,94.09,7.57
2026-04-02T10:02:00Z,94.04,7.23
2026-04-02T10:03:00Z,91.86,9.35
2026-04-02T10:04:00Z,88.50,13.34
2026-04-02T10:05:00Z,86.04,13.91
2026-04-02T10:06:00Z,88.15,13.22
2026-04-02T10:07:00Z,79.45,20.97
2026-04-02T10:08:00Z,76.00,25.44
2026-04-02T10:09:00Z,60.17,36.97
2026-04-02T10:10:00Z,64.38,36.91
2026-04-02T10:11:00Z,69.14,36.32
2026-04-02T10:12:00Z,72.70,35.68
2026-04-02T10:13:00Z,79.63,27.63
2026-04-02T10:14:00Z,90.14,13.11
2026-04-02T10:15:00Z,94.71,8.58
2026-04-02T10:16:00Z,93.54,5.76
2026-04-02T10:17:00Z,92.54,6.87
2026-04-02T10:18:00Z,97.55,4.66
2026-04-02T10:19:00Z,94.11,4.45
2026-04-02T10:20:00Z,98.61,1.27
2026-04-02T10:21:00Z,99.00,2.00
2026-04-02T10:22:00Z,99.00,1.00
2026-04-02T10:23:00Z,99.00,1.00
