# event_ticker=KXATPCHALLENGERMATCH-26MAY14REIMOL
# final_score=7-5 6-2
# match_winner=Elmer Moller
# fav_player=Elmer Moller
# dog_player=Joao Lucas Reis Da Silva
# kalshi_date=2026-05-14
timestamp,Joao Lucas Reis Da Silva,Elmer Moller
2026-05-13T20:28:00Z,,68.00
2026-05-13T20:45:00Z,33.00,68.00
2026-05-13T21:42:00Z,33.00,69.00
2026-05-13T22:44:00Z,33.00,69.00
2026-05-13T22:48:00Z,33.00,69.00
2026-05-14T01:20:00Z,33.00,69.00
2026-05-14T01:35:00Z,33.00,69.00
2026-05-14T03:48:00Z,33.00,69.00
2026-05-14T03:56:00Z,33.00,69.00
2026-05-14T04:01:00Z,33.00,69.00
2026-05-14T04:11:00Z,34.00,69.00
2026-05-14T04:31:00Z,34.00,69.00
2026-05-14T04:40:00Z,34.00,69.00
2026-05-14T04:46:00Z,34.00,69.00
2026-05-14T04:53:00Z,34.00,69.00
2026-05-14T04:57:00Z,34.00,69.00
2026-05-14T05:01:00Z,34.00,69.00
2026-05-14T05:09:00Z,32.00,69.00
2026-05-14T05:15:00Z,31.00,69.00
2026-05-14T05:23:00Z,31.00,69.00
2026-05-14T05:33:00Z,31.00,69.00
2026-05-14T05:51:00Z,32.00,69.00
2026-05-14T06:03:00Z,32.00,69.00
2026-05-14T06:10:00Z,32.00,69.00
2026-05-14T06:18:00Z,32.00,69.00
2026-05-14T06:20:00Z,32.00,69.00
2026-05-14T06:28:00Z,32.00,69.00
2026-05-14T06:36:00Z,32.00,69.00
2026-05-14T06:43:00Z,32.00,69.00
2026-05-14T09:01:00Z,44.09,64.53
2026-05-14T09:02:00Z,41.75,65.92
2026-05-14T09:03:00Z,26.00,73.78
2026-05-14T09:04:00Z,27.45,74.00
2026-05-14T09:05:00Z,27.00,70.42
2026-05-14T09:06:00Z,31.75,72.40
2026-05-14T09:07:00Z,34.94,70.97
2026-05-14T09:08:00Z,21.76,79.27
2026-05-14T09:09:00Z,21.00,81.00
2026-05-14T09:10:00Z,21.00,77.78
2026-05-14T09:11:00Z,17.60,83.00
2026-05-14T09:12:00Z,16.06,86.33
2026-05-14T09:13:00Z,14.00,87.00
2026-05-14T09:14:00Z,14.00,87.00
2026-05-14T09:15:00Z,14.00,86.00
2026-05-14T09:17:00Z,14.00,86.00
2026-05-14T09:18:00Z,14.00,86.00
2026-05-14T09:19:00Z,14.36,56.00
2026-05-14T09:20:00Z,14.36,87.00
2026-05-14T09:22:00Z,12.46,90.00
2026-05-14T09:23:00Z,8.96,90.00
2026-05-14T09:24:00Z,8.00,90.00
2026-05-14T09:25:00Z,6.02,94.00
2026-05-14T09:26:00Z,5.95,94.44
2026-05-14T09:27:00Z,5.95,94.00
2026-05-14T09:29:00Z,5.95,92.00
2026-05-14T09:30:00Z,9.00,92.00
2026-05-14T09:31:00Z,10.00,92.00
2026-05-14T09:33:00Z,12.16,92.00
2026-05-14T09:34:00Z,9.00,90.00
2026-05-14T09:35:00Z,8.00,93.06
2026-05-14T09:36:00Z,9.00,92.68
2026-05-14T09:37:00Z,9.00,94.00
2026-05-14T09:38:00Z,7.00,94.00
2026-05-14T09:39:00Z,7.00,92.00
2026-05-14T09:40:00Z,7.00,92.00
2026-05-14T09:41:00Z,8.00,92.20
2026-05-14T09:42:00Z,8.00,94.00
2026-05-14T09:43:00Z,5.00,94.00
2026-05-14T09:44:00Z,3.84,97.59
2026-05-14T09:45:00Z,4.74,97.59
2026-05-14T09:46:00Z,3.45,97.00
2026-05-14T09:47:00Z,1.02,99.00
2026-05-14T09:48:00Z,1.02,99.00
2026-05-14T09:50:00Z,2.00,99.00
2026-05-14T09:51:00Z,2.00,99.00
2026-05-14T09:53:00Z,2.00,99.00
2026-05-14T09:54:00Z,2.00,99.00
