# event_ticker=KXATPCHALLENGERMATCH-26MAR18HUEROC
# final_score=7-5 7-5
# match_winner=Conner Huertas del Pino
# fav_player=Connor Huertas Del Pino
# dog_player=Henrique Rocha
# kalshi_date=2026-03-18
timestamp,Connor Huertas Del Pino,Henrique Rocha
2026-03-18T10:07:00Z,,90.63
2026-03-18T10:11:00Z,,90.78
2026-03-18T10:29:00Z,15.00,90.78
2026-03-18T10:31:00Z,15.00,90.78
2026-03-18T10:36:00Z,15.00,90.78
2026-03-18T10:37:00Z,19.00,90.78
2026-03-18T10:48:00Z,19.00,84.56
2026-03-18T10:51:00Z,19.00,86.00
2026-03-18T11:22:00Z,20.00,86.00
2026-03-18T11:43:00Z,20.00,86.00
2026-03-18T11:50:00Z,20.00,86.00
2026-03-18T12:32:00Z,20.00,86.00
2026-03-18T12:33:00Z,20.00,87.00
2026-03-18T12:51:00Z,20.00,88.00
2026-03-18T13:06:00Z,20.00,88.00
2026-03-18T13:26:00Z,20.00,89.00
2026-03-18T13:44:00Z,20.00,89.00
2026-03-18T14:00:00Z,20.00,90.00
2026-03-18T14:10:00Z,20.00,91.00
2026-03-18T14:12:00Z,12.00,91.00
2026-03-18T14:37:00Z,12.00,91.00
2026-03-18T14:52:00Z,10.00,91.00
2026-03-18T14:57:00Z,10.00,91.00
2026-03-18T14:59:00Z,10.00,91.00
2026-03-18T15:22:00Z,9.00,90.00
2026-03-18T15:38:00Z,9.00,91.00
2026-03-18T15:43:00Z,9.00,91.00
2026-03-18T15:44:00Z,9.00,92.00
2026-03-18T15:58:00Z,9.00,92.00
2026-03-18T16:04:00Z,9.00,92.00
2026-03-18T16:10:00Z,9.00,92.00
2026-03-18T16:15:00Z,7.00,92.00
2026-03-18T16:22:00Z,9.00,92.00
2026-03-18T16:24:00Z,9.00,92.62
2026-03-18T16:30:00Z,7.00,92.62
2026-03-18T16:37:00Z,7.00,92.62
2026-03-18T16:42:00Z,8.00,91.00
2026-03-18T16:50:00Z,8.17,91.00
2026-03-18T16:51:00Z,5.00,91.00
2026-03-18T16:55:00Z,9.00,91.00
2026-03-18T16:58:00Z,9.00,91.00
2026-03-18T16:59:00Z,9.00,91.00
2026-03-18T17:07:00Z,9.00,91.00
2026-03-18T17:11:00Z,5.00,91.00
2026-03-18T17:24:00Z,9.00,91.00
2026-03-18T17:32:00Z,9.00,91.00
2026-03-18T17:34:00Z,9.65,91.00
2026-03-18T17:39:00Z,10.91,91.00
2026-03-18T17:41:00Z,11.20,90.00
2026-03-18T17:44:00Z,11.00,90.00
2026-03-18T17:51:00Z,12.03,90.00
2026-03-18T17:53:00Z,12.00,90.00
2026-03-18T17:54:00Z,12.00,89.00
2026-03-18T17:56:00Z,12.00,91.35
2026-03-18T17:57:00Z,12.00,89.00
2026-03-18T17:59:00Z,12.45,89.00
2026-03-18T18:01:00Z,8.00,89.00
2026-03-18T18:02:00Z,8.00,89.00
2026-03-18T18:03:00Z,9.66,89.00
2026-03-18T18:08:00Z,8.20,89.00
2026-03-18T18:09:00Z,9.00,92.00
2026-03-18T18:13:00Z,11.00,92.00
2026-03-18T18:15:00Z,6.00,93.00
2026-03-18T18:17:00Z,14.21,89.67
2026-03-18T18:19:00Z,14.21,93.00
2026-03-18T18:24:00Z,14.21,93.00
2026-03-18T18:31:00Z,17.43,88.00
2026-03-18T18:38:00Z,13.00,88.00
2026-03-18T18:41:00Z,14.00,88.00
2026-03-18T18:43:00Z,14.00,88.00
2026-03-18T18:51:00Z,13.00,88.00
2026-03-18T18:52:00Z,18.41,89.20
2026-03-18T18:53:00Z,17.00,89.00
2026-03-18T18:56:00Z,14.79,88.03
2026-03-18T18:57:00Z,20.32,88.03
2026-03-18T18:58:00Z,11.97,88.82
2026-03-18T18:59:00Z,12.12,90.21
2026-03-18T19:00:00Z,15.95,84.00
2026-03-18T19:01:00Z,15.00,84.00
2026-03-18T19:02:00Z,14.64,84.00
2026-03-18T19:03:00Z,20.22,84.00
2026-03-18T19:04:00Z,15.41,85.15
2026-03-18T19:05:00Z,17.22,86.96
2026-03-18T19:06:00Z,14.73,87.32
2026-03-18T19:07:00Z,17.12,84.95
2026-03-18T19:08:00Z,17.66,83.96
2026-03-18T19:09:00Z,20.00,82.39
2026-03-18T19:10:00Z,23.63,80.50
2026-03-18T19:11:00Z,24.65,76.80
2026-03-18T19:12:00Z,26.62,76.01
2026-03-18T19:13:00Z,27.78,75.46
2026-03-18T19:14:00Z,27.63,74.16
2026-03-18T19:15:00Z,28.46,75.11
2026-03-18T19:16:00Z,30.57,73.46
2026-03-18T19:17:00Z,28.37,73.37
2026-03-18T19:18:00Z,23.44,75.44
2026-03-18T19:19:00Z,27.10,76.44
2026-03-18T19:20:00Z,29.00,71.66
2026-03-18T19:21:00Z,29.88,69.89
2026-03-18T19:22:00Z,25.04,73.59
2026-03-18T19:23:00Z,21.76,81.48
2026-03-18T19:24:00Z,19.18,82.54
2026-03-18T19:25:00Z,16.87,83.17
2026-03-18T19:26:00Z,19.02,83.93
2026-03-18T19:27:00Z,20.80,80.86
2026-03-18T19:28:00Z,24.45,77.31
2026-03-18T19:29:00Z,27.20,78.90
2026-03-18T19:30:00Z,33.12,70.27
2026-03-18T19:31:00Z,33.19,67.97
2026-03-18T19:32:00Z,33.20,68.42
2026-03-18T19:33:00Z,32.38,69.73
2026-03-18T19:34:00Z,33.06,68.23
2026-03-18T19:35:00Z,34.00,68.06
2026-03-18T19:36:00Z,32.57,69.00
2026-03-18T19:37:00Z,34.65,70.79
2026-03-18T19:38:00Z,35.89,69.80
2026-03-18T19:39:00Z,28.38,71.58
2026-03-18T19:40:00Z,23.49,79.87
2026-03-18T19:41:00Z,23.85,82.52
2026-03-18T19:42:00Z,25.19,78.40
2026-03-18T19:43:00Z,24.52,78.74
2026-03-18T19:44:00Z,26.48,74.40
2026-03-18T19:45:00Z,21.64,83.09
2026-03-18T19:46:00Z,19.24,83.76
2026-03-18T19:47:00Z,16.44,85.00
2026-03-18T19:48:00Z,21.41,81.32
2026-03-18T19:49:00Z,23.57,77.64
2026-03-18T19:50:00Z,25.36,79.48
2026-03-18T19:51:00Z,25.15,76.50
2026-03-18T19:52:00Z,29.01,76.73
2026-03-18T19:53:00Z,41.40,64.79
2026-03-18T19:54:00Z,45.67,59.07
2026-03-18T19:55:00Z,41.09,63.91
2026-03-18T19:56:00Z,37.69,67.23
2026-03-18T19:57:00Z,38.82,63.08
2026-03-18T19:58:00Z,37.92,63.99
2026-03-18T19:59:00Z,38.90,64.65
2026-03-18T20:00:00Z,43.22,61.99
