# event_ticker=KXATPCHALLENGERMATCH-26MAR24KRUCOP
# final_score=6-3 6-2
# match_winner=Kimmer Coppejans
# fav_player=Kimmer Coppejans
# dog_player=Oleksii Krutykh
# kalshi_date=2026-03-24
timestamp,Kimmer Coppejans,Oleksii Krutykh
2026-03-24T04:09:00Z,70.00,
2026-03-24T04:26:00Z,70.00,
2026-03-24T05:01:00Z,70.00,30.00
2026-03-24T05:22:00Z,72.00,30.00
2026-03-24T05:59:00Z,72.00,28.00
2026-03-24T07:02:00Z,72.00,28.00
2026-03-24T08:05:00Z,72.00,28.00
2026-03-24T08:12:00Z,72.00,28.00
2026-03-24T08:45:00Z,72.00,28.00
2026-03-24T10:34:00Z,72.00,28.00
2026-03-24T10:37:00Z,72.00,28.00
2026-03-24T10:51:00Z,72.00,28.00
2026-03-24T11:50:00Z,71.23,28.00
2026-03-24T12:09:00Z,72.00,28.00
2026-03-24T12:20:00Z,72.00,28.00
2026-03-24T12:53:00Z,73.00,28.00
2026-03-24T13:19:00Z,73.00,28.00
2026-03-24T13:31:00Z,73.00,28.00
2026-03-24T13:46:00Z,73.00,28.00
2026-03-24T13:54:00Z,73.00,28.00
2026-03-24T13:59:00Z,72.00,28.00
2026-03-24T14:02:00Z,72.00,29.84
2026-03-24T14:03:00Z,72.00,30.00
2026-03-24T14:04:00Z,73.00,30.00
2026-03-24T14:05:00Z,73.00,30.00
2026-03-24T14:11:00Z,72.00,29.00
2026-03-24T14:18:00Z,72.75,29.00
2026-03-24T14:24:00Z,73.00,29.00
2026-03-24T14:25:00Z,73.00,29.00
2026-03-24T14:31:00Z,73.00,29.00
2026-03-24T14:48:00Z,73.00,29.00
2026-03-24T14:50:00Z,73.00,29.00
2026-03-24T14:54:00Z,73.00,29.00
2026-03-24T14:56:00Z,73.00,29.00
2026-03-24T14:58:00Z,73.00,29.00
2026-03-24T15:05:00Z,73.00,29.97
2026-03-24T15:10:00Z,73.99,29.97
2026-03-24T15:14:00Z,73.00,29.97
2026-03-24T15:17:00Z,73.00,29.97
2026-03-24T15:19:00Z,73.00,27.00
2026-03-24T15:20:00Z,73.00,29.00
2026-03-24T15:21:00Z,73.00,29.00
2026-03-24T15:22:00Z,73.00,29.00
2026-03-24T15:23:00Z,73.16,26.00
2026-03-24T15:24:00Z,76.00,26.00
2026-03-24T15:25:00Z,76.96,23.86
2026-03-24T15:26:00Z,77.00,23.86
2026-03-24T15:27:00Z,79.09,23.86
2026-03-24T15:28:00Z,79.00,20.00
2026-03-24T15:29:00Z,83.76,18.67
2026-03-24T15:30:00Z,84.00,16.32
2026-03-24T15:31:00Z,86.00,14.00
2026-03-24T15:32:00Z,86.00,12.00
2026-03-24T15:33:00Z,85.00,13.00
2026-03-24T15:34:00Z,82.47,13.00
2026-03-24T15:35:00Z,88.00,12.00
2026-03-24T15:36:00Z,88.00,12.00
2026-03-24T15:37:00Z,86.97,15.00
2026-03-24T15:38:00Z,84.07,16.35
2026-03-24T15:39:00Z,84.74,18.00
2026-03-24T15:40:00Z,86.00,15.79
2026-03-24T15:41:00Z,85.01,16.58
2026-03-24T15:42:00Z,85.02,16.58
2026-03-24T15:43:00Z,83.13,18.23
2026-03-24T15:44:00Z,85.22,15.89
2026-03-24T15:45:00Z,87.00,14.00
2026-03-24T15:46:00Z,89.08,13.46
2026-03-24T15:47:00Z,86.58,14.66
2026-03-24T15:48:00Z,84.02,15.09
2026-03-24T15:49:00Z,84.02,15.00
2026-03-24T15:50:00Z,84.20,16.00
2026-03-24T15:51:00Z,86.00,15.83
2026-03-24T15:52:00Z,84.10,15.83
2026-03-24T15:53:00Z,86.00,13.00
2026-03-24T15:54:00Z,88.00,12.74
2026-03-24T15:55:00Z,88.00,13.00
2026-03-24T15:57:00Z,88.00,14.00
2026-03-24T15:58:00Z,86.00,15.00
2026-03-24T15:59:00Z,88.93,12.14
2026-03-24T16:00:00Z,89.01,11.00
2026-03-24T16:01:00Z,90.00,11.00
2026-03-24T16:02:00Z,89.85,11.00
2026-03-24T16:03:00Z,90.00,11.00
2026-03-24T16:04:00Z,91.00,10.20
2026-03-24T16:05:00Z,91.04,9.94
2026-03-24T16:06:00Z,91.03,7.21
2026-03-24T16:07:00Z,94.20,6.28
2026-03-24T16:08:00Z,95.96,4.03
2026-03-24T16:09:00Z,96.65,4.80
2026-03-24T16:10:00Z,97.00,3.50
2026-03-24T16:11:00Z,96.73,4.99
2026-03-24T16:12:00Z,98.00,2.18
2026-03-24T16:13:00Z,97.71,2.57
2026-03-24T16:14:00Z,98.21,2.52
2026-03-24T16:15:00Z,98.90,1.08
2026-03-24T16:16:00Z,98.00,1.08
2026-03-24T16:17:00Z,99.00,1.00
2026-03-24T16:18:00Z,99.00,1.00
2026-03-24T16:19:00Z,99.00,1.00
2026-03-24T16:20:00Z,98.69,1.02
2026-03-24T16:21:00Z,99.00,1.95
2026-03-24T16:22:00Z,98.94,1.99
2026-03-24T16:24:00Z,99.00,1.00
2026-03-24T16:25:00Z,99.00,1.00
2026-03-24T16:27:00Z,99.00,1.00
2026-03-24T16:28:00Z,99.00,4.10
2026-03-24T16:29:00Z,99.00,1.00
2026-03-24T16:30:00Z,99.00,1.00
2026-03-24T16:32:00Z,99.00,1.00
2026-03-24T16:33:00Z,99.00,1.00
2026-03-24T16:34:00Z,99.00,1.00
