# event_ticker=KXATPCHALLENGERMATCH-26JUN02DAMHAR
# final_score=2-6 7-6(3) 7-6(3)
# score_resolution=6-2 6-7 6-7
# match_winner=Billy Harris
# fav_player=Martin Damm Jr
# dog_player=Billy Harris
# kalshi_date=2026-06-02
timestamp,Martin Damm Jr,Billy Harris
2026-06-02T09:57:00Z,,35.00
2026-06-02T10:03:00Z,81.00,35.00
2026-06-02T10:04:00Z,81.00,63.00
2026-06-02T10:06:00Z,81.00,18.00
2026-06-02T10:07:00Z,81.00,42.00
2026-06-02T10:12:00Z,90.00,42.00
2026-06-02T10:13:00Z,90.00,42.00
2026-06-02T10:17:00Z,91.00,42.00
2026-06-02T10:18:00Z,91.00,15.00
2026-06-02T10:19:00Z,91.00,13.87
2026-06-02T10:20:00Z,91.00,13.56
2026-06-02T10:21:00Z,91.00,17.00
2026-06-02T10:22:00Z,91.00,12.27
2026-06-02T10:23:00Z,92.54,12.12
2026-06-02T10:24:00Z,89.00,13.87
2026-06-02T10:25:00Z,89.00,15.00
2026-06-02T10:26:00Z,89.00,15.49
2026-06-02T10:27:00Z,86.00,15.49
2026-06-02T10:29:00Z,91.00,16.00
2026-06-02T10:30:00Z,91.00,14.83
2026-06-02T10:31:00Z,90.19,9.00
2026-06-02T10:32:00Z,94.00,9.00
2026-06-02T10:33:00Z,94.00,12.57
2026-06-02T10:35:00Z,89.00,10.00
2026-06-02T10:37:00Z,89.00,13.42
2026-06-02T10:38:00Z,85.00,13.42
2026-06-02T10:39:00Z,87.00,13.42
2026-06-02T10:40:00Z,85.17,13.42
2026-06-02T10:42:00Z,89.00,9.00
2026-06-02T10:43:00Z,90.00,9.00
2026-06-02T10:44:00Z,87.00,9.00
2026-06-02T10:45:00Z,90.00,15.00
2026-06-02T10:46:00Z,91.00,14.00
2026-06-02T10:47:00Z,91.00,12.00
2026-06-02T10:49:00Z,91.00,14.00
2026-06-02T10:52:00Z,89.00,15.00
2026-06-02T10:53:00Z,90.00,15.00
2026-06-02T10:54:00Z,90.00,16.00
2026-06-02T10:55:00Z,77.97,18.08
2026-06-02T10:56:00Z,87.11,20.00
2026-06-02T10:57:00Z,84.99,20.00
2026-06-02T10:58:00Z,69.04,24.33
2026-06-02T10:59:00Z,74.00,26.11
2026-06-02T11:00:00Z,80.85,22.71
2026-06-02T11:01:00Z,86.50,22.71
2026-06-02T11:02:00Z,87.00,18.00
2026-06-02T11:03:00Z,83.63,19.00
2026-06-02T11:04:00Z,82.98,17.52
2026-06-02T11:05:00Z,79.38,19.00
2026-06-02T11:06:00Z,77.00,21.50
2026-06-02T11:07:00Z,84.00,30.82
2026-06-02T11:08:00Z,73.33,31.81
2026-06-02T11:09:00Z,71.90,35.96
2026-06-02T11:10:00Z,70.00,35.96
2026-06-02T11:11:00Z,63.89,47.90
2026-06-02T11:12:00Z,60.99,43.02
2026-06-02T11:13:00Z,60.00,42.00
2026-06-02T11:14:00Z,67.87,38.00
2026-06-02T11:15:00Z,65.55,38.56
2026-06-02T11:16:00Z,60.82,45.50
2026-06-02T11:17:00Z,54.22,46.22
2026-06-02T11:18:00Z,54.22,42.63
2026-06-02T11:19:00Z,54.45,46.81
2026-06-02T11:20:00Z,61.84,39.56
2026-06-02T11:21:00Z,63.93,43.74
2026-06-02T11:22:00Z,63.72,42.18
2026-06-02T11:23:00Z,63.91,42.19
2026-06-02T11:24:00Z,62.00,42.00
2026-06-02T11:25:00Z,61.00,41.18
2026-06-02T11:26:00Z,64.22,39.07
2026-06-02T11:27:00Z,70.99,37.80
2026-06-02T11:28:00Z,72.67,31.00
2026-06-02T11:29:00Z,70.48,34.77
2026-06-02T11:30:00Z,68.00,38.79
2026-06-02T11:31:00Z,66.00,38.87
2026-06-02T11:32:00Z,67.00,38.41
2026-06-02T11:33:00Z,61.95,38.41
2026-06-02T11:34:00Z,60.12,43.53
2026-06-02T11:35:00Z,61.56,43.27
2026-06-02T11:36:00Z,64.43,41.00
2026-06-02T11:37:00Z,65.31,34.83
2026-06-02T11:38:00Z,64.00,38.00
2026-06-02T11:39:00Z,60.00,41.71
2026-06-02T11:40:00Z,60.22,42.00
2026-06-02T11:41:00Z,60.00,42.00
2026-06-02T11:42:00Z,69.01,36.89
2026-06-02T11:43:00Z,63.24,39.44
2026-06-02T11:44:00Z,64.32,40.00
2026-06-02T11:45:00Z,59.98,42.83
2026-06-02T11:46:00Z,59.27,42.83
2026-06-02T11:47:00Z,60.00,42.56
2026-06-02T11:48:00Z,60.34,40.49
2026-06-02T11:49:00Z,63.00,43.30
2026-06-02T11:50:00Z,56.90,43.42
2026-06-02T11:51:00Z,59.56,42.20
2026-06-02T11:52:00Z,58.26,46.51
2026-06-02T11:53:00Z,53.93,47.75
2026-06-02T11:54:00Z,55.61,48.00
2026-06-02T11:55:00Z,55.00,44.66
2026-06-02T11:56:00Z,48.89,50.64
2026-06-02T11:57:00Z,49.89,51.23
2026-06-02T11:58:00Z,37.20,58.90
2026-06-02T11:59:00Z,48.66,51.16
2026-06-02T12:00:00Z,50.90,51.70
2026-06-02T12:01:00Z,48.00,55.34
2026-06-02T12:02:00Z,48.85,54.92
2026-06-02T12:03:00Z,51.77,52.00
2026-06-02T12:04:00Z,54.04,47.92
2026-06-02T12:05:00Z,56.82,48.18
2026-06-02T12:06:00Z,51.10,50.40
2026-06-02T12:07:00Z,45.39,67.93
2026-06-02T12:08:00Z,27.92,67.22
2026-06-02T12:09:00Z,33.17,66.87
2026-06-02T12:10:00Z,18.86,79.75
2026-06-02T12:11:00Z,7.21,91.19
2026-06-02T12:12:00Z,9.45,94.27
2026-06-02T12:13:00Z,4.43,98.64
2026-06-02T12:14:00Z,4.43,99.00
2026-06-02T12:15:00Z,4.43,99.00
2026-06-02T12:16:00Z,4.43,99.00
2026-06-02T12:17:00Z,4.43,99.00
2026-06-02T12:18:00Z,4.43,99.00
2026-06-02T12:19:00Z,4.43,99.00
2026-06-02T12:20:00Z,4.43,99.00
