# event_ticker=KXATPMATCH-26APR12RINMIC
# final_score=6-3 6-3
# score_resolution=3-6 3-6
# match_winner=Arthur Rinderknech
# fav_player=Alex Michelsen
# dog_player=Arthur Rinderknech
# kalshi_date=2026-04-12
timestamp,Alex Michelsen,Arthur Rinderknech
2026-04-12T21:33:00Z,41.00,
2026-04-12T22:04:00Z,41.00,61.00
2026-04-12T22:08:00Z,41.00,62.00
2026-04-12T22:12:00Z,41.00,62.00
2026-04-12T22:22:00Z,41.00,62.00
2026-04-12T22:32:00Z,41.00,62.00
2026-04-12T22:55:00Z,41.00,62.00
2026-04-12T23:08:00Z,41.00,62.00
2026-04-12T23:28:00Z,41.00,62.00
2026-04-12T23:35:00Z,41.00,62.00
2026-04-12T23:42:00Z,41.00,62.00
2026-04-12T23:44:00Z,41.00,62.00
2026-04-12T23:45:00Z,41.00,62.00
2026-04-12T23:50:00Z,41.00,62.00
2026-04-12T23:51:00Z,41.00,62.00
2026-04-12T23:59:00Z,41.00,62.00
2026-04-13T00:01:00Z,41.00,62.00
2026-04-13T00:19:00Z,41.00,62.00
2026-04-13T00:29:00Z,41.00,62.00
2026-04-13T00:39:00Z,41.00,62.00
2026-04-13T01:03:00Z,41.00,62.00
2026-04-13T01:04:00Z,41.00,62.00
2026-04-13T01:06:00Z,41.00,62.00
2026-04-13T01:07:00Z,40.75,62.00
2026-04-13T01:12:00Z,40.75,62.00
2026-04-13T01:14:00Z,40.75,62.00
2026-04-13T01:21:00Z,41.00,62.00
2026-04-13T01:25:00Z,41.00,62.00
2026-04-13T01:29:00Z,41.00,62.00
2026-04-13T01:30:00Z,41.00,62.00
2026-04-13T01:32:00Z,41.00,62.00
2026-04-13T01:35:00Z,41.00,62.00
2026-04-13T01:36:00Z,41.00,62.00
2026-04-13T01:39:00Z,41.00,60.00
2026-04-13T01:41:00Z,41.00,60.00
2026-04-13T01:43:00Z,41.00,62.00
2026-04-13T01:52:00Z,41.00,62.00
2026-04-13T01:55:00Z,41.00,62.00
2026-04-13T02:03:00Z,41.00,62.00
2026-04-13T02:04:00Z,41.00,62.00
2026-04-13T02:09:00Z,41.00,62.00
2026-04-13T02:11:00Z,41.00,62.00
2026-04-13T02:26:00Z,41.00,62.00
2026-04-13T02:29:00Z,40.29,62.00
2026-04-13T02:30:00Z,38.00,61.00
2026-04-13T02:34:00Z,38.00,61.00
2026-04-13T02:35:00Z,38.00,61.00
2026-04-13T02:38:00Z,38.00,61.00
2026-04-13T02:44:00Z,38.00,61.00
