# event_ticker=KXATPCHALLENGERMATCH-26MAY29MARKRU
# final_score=6-3 6-4
# match_winner=Martin Krumich
# fav_player=Martin Krumich
# dog_player=Andrej Martin
# kalshi_date=2026-05-29
timestamp,Andrej Martin,Martin Krumich
2026-05-29T04:06:00Z,34.00,
2026-05-29T04:11:00Z,34.00,69.00
2026-05-29T04:16:00Z,34.00,69.00
2026-05-29T05:11:00Z,33.00,69.00
2026-05-29T05:15:00Z,33.00,69.00
2026-05-29T07:09:00Z,33.00,69.00
2026-05-29T09:26:00Z,33.00,69.00
2026-05-29T10:06:00Z,32.00,69.00
2026-05-29T12:05:00Z,31.00,69.00
2026-05-29T12:09:00Z,31.00,69.00
2026-05-29T12:20:00Z,31.00,69.00
2026-05-29T12:40:00Z,32.00,69.00
2026-05-29T13:06:00Z,32.00,68.00
2026-05-29T13:24:00Z,32.00,68.00
2026-05-29T13:32:00Z,33.00,68.00
2026-05-29T13:37:00Z,33.00,68.00
2026-05-29T13:43:00Z,33.00,68.00
2026-05-29T13:44:00Z,33.00,68.00
2026-05-29T14:27:00Z,34.00,68.00
2026-05-29T14:30:00Z,34.00,69.00
2026-05-29T14:34:00Z,34.00,69.00
2026-05-29T14:35:00Z,34.00,69.00
2026-05-29T14:36:00Z,34.00,69.00
2026-05-29T14:41:00Z,34.00,69.00
2026-05-29T14:52:00Z,34.00,69.00
2026-05-29T14:53:00Z,34.00,69.53
2026-05-29T14:56:00Z,34.00,69.53
2026-05-29T14:58:00Z,34.00,69.00
2026-05-29T15:02:00Z,34.00,69.00
2026-05-29T15:07:00Z,34.00,69.00
2026-05-29T15:10:00Z,33.65,69.00
2026-05-29T15:12:00Z,33.65,70.00
2026-05-29T15:13:00Z,32.05,68.00
2026-05-29T15:14:00Z,39.00,60.00
2026-05-29T15:15:00Z,44.00,58.36
2026-05-29T15:16:00Z,45.00,54.05
2026-05-29T15:17:00Z,45.00,53.05
2026-05-29T15:18:00Z,45.00,60.92
2026-05-29T15:19:00Z,34.00,67.64
2026-05-29T15:20:00Z,30.00,70.74
2026-05-29T15:21:00Z,30.00,70.00
2026-05-29T15:22:00Z,30.00,72.00
2026-05-29T15:23:00Z,29.00,72.00
2026-05-29T15:24:00Z,29.00,73.00
2026-05-29T15:25:00Z,23.29,76.61
2026-05-29T15:26:00Z,21.50,81.30
2026-05-29T15:27:00Z,19.00,83.53
2026-05-29T15:28:00Z,20.36,78.55
2026-05-29T15:29:00Z,22.15,78.71
2026-05-29T15:30:00Z,20.24,80.97
2026-05-29T15:31:00Z,17.32,85.64
2026-05-29T15:32:00Z,16.99,86.00
2026-05-29T15:33:00Z,15.76,86.00
2026-05-29T15:34:00Z,15.33,85.83
2026-05-29T15:35:00Z,17.00,84.00
2026-05-29T15:36:00Z,17.00,84.00
2026-05-29T15:37:00Z,16.00,85.28
2026-05-29T15:38:00Z,14.81,86.16
2026-05-29T15:39:00Z,14.00,87.00
2026-05-29T15:40:00Z,14.00,86.61
2026-05-29T15:41:00Z,14.00,86.00
2026-05-29T15:42:00Z,15.02,85.91
2026-05-29T15:43:00Z,16.29,84.25
2026-05-29T15:44:00Z,16.07,85.37
2026-05-29T15:45:00Z,19.48,80.00
2026-05-29T15:46:00Z,21.21,79.42
2026-05-29T15:47:00Z,20.36,80.78
2026-05-29T15:48:00Z,20.91,81.38
