# event_ticker=KXATPCHALLENGERMATCH-26MAR17DEJHAS
# final_score=6-3 3-6 6-3
# score_resolution=3-6 6-3 3-6
# match_winner=Jesper de Jong
# fav_player=Benjamin Hassan
# dog_player=Jesper De Jong
# kalshi_date=2026-03-17
timestamp,Benjamin Hassan,Jesper De Jong
2026-03-17T00:51:00Z,23.00,
2026-03-17T01:25:00Z,23.00,77.00
2026-03-17T02:49:00Z,23.00,76.00
2026-03-17T02:57:00Z,23.00,76.00
2026-03-17T04:09:00Z,23.00,77.00
2026-03-17T04:33:00Z,23.00,75.00
2026-03-17T04:39:00Z,23.00,77.00
2026-03-17T04:59:00Z,23.00,77.50
2026-03-17T05:26:00Z,23.00,78.00
2026-03-17T05:46:00Z,23.00,79.00
2026-03-17T06:07:00Z,23.00,78.40
2026-03-17T06:28:00Z,23.00,78.40
2026-03-17T07:01:00Z,23.00,78.40
2026-03-17T08:08:00Z,23.00,77.00
2026-03-17T09:16:00Z,20.00,78.00
2026-03-17T09:19:00Z,20.00,78.00
2026-03-17T09:43:00Z,21.00,78.00
2026-03-17T10:19:00Z,21.00,79.00
2026-03-17T10:52:00Z,21.00,79.00
2026-03-17T10:54:00Z,21.00,79.00
2026-03-17T10:58:00Z,21.00,79.00
2026-03-17T11:10:00Z,21.00,79.00
2026-03-17T11:18:00Z,21.00,80.00
2026-03-17T11:23:00Z,21.00,81.00
2026-03-17T11:27:00Z,21.00,81.00
2026-03-17T11:40:00Z,21.00,81.00
2026-03-17T11:48:00Z,21.00,81.00
2026-03-17T11:49:00Z,21.00,81.00
2026-03-17T12:02:00Z,21.00,81.00
2026-03-17T12:04:00Z,21.00,81.00
2026-03-17T12:08:00Z,21.00,81.00
2026-03-17T12:10:00Z,21.00,81.00
2026-03-17T12:19:00Z,21.00,81.00
2026-03-17T12:23:00Z,21.00,81.00
2026-03-17T12:26:00Z,21.00,81.00
2026-03-17T12:27:00Z,21.00,81.00
2026-03-17T12:28:00Z,21.00,81.00
2026-03-17T12:29:00Z,21.00,81.00
2026-03-17T12:31:00Z,21.00,81.00
2026-03-17T12:33:00Z,21.69,78.66
2026-03-17T12:34:00Z,25.96,77.25
2026-03-17T12:35:00Z,24.02,78.99
2026-03-17T12:36:00Z,21.09,81.00
2026-03-17T12:37:00Z,23.00,80.79
2026-03-17T12:38:00Z,24.35,78.21
2026-03-17T12:39:00Z,22.32,79.00
2026-03-17T12:40:00Z,21.22,80.97
2026-03-17T12:41:00Z,21.00,80.97
2026-03-17T12:42:00Z,22.11,80.00
2026-03-17T12:43:00Z,22.11,82.40
2026-03-17T12:44:00Z,22.11,81.09
2026-03-17T12:45:00Z,19.16,82.00
2026-03-17T12:46:00Z,17.48,82.00
2026-03-17T12:47:00Z,17.00,83.08
2026-03-17T12:48:00Z,11.51,86.62
2026-03-17T12:49:00Z,13.72,85.25
2026-03-17T12:50:00Z,11.35,88.58
