# event_ticker=KXATPMATCH-25OCT06DAVMED
# final_score=6-3 7-6(5)
# score_resolution=3-6 6-7
# match_winner=Daniil Medvedev
# fav_player=Alejandro Davidovich Fokina
# dog_player=Daniil Medvedev
# kalshi_date=2025-10-06
timestamp,Alejandro Davidovich Fokina,Daniil Medvedev
2025-10-06T02:08:00Z,,64.00
2025-10-06T02:21:00Z,38.00,64.00
2025-10-06T02:23:00Z,38.00,63.00
2025-10-06T02:37:00Z,38.00,63.00
2025-10-06T02:48:00Z,37.00,63.00
2025-10-06T03:02:00Z,37.00,64.00
2025-10-06T03:04:00Z,36.00,64.00
2025-10-06T03:07:00Z,37.00,64.00
2025-10-06T03:10:00Z,37.00,64.00
2025-10-06T03:14:00Z,37.00,64.00
2025-10-06T03:21:00Z,37.00,64.00
2025-10-06T03:27:00Z,37.00,64.00
2025-10-06T03:30:00Z,37.00,64.00
2025-10-06T03:31:00Z,37.00,64.00
2025-10-06T03:34:00Z,37.00,64.00
2025-10-06T03:46:00Z,37.00,64.00
2025-10-06T03:56:00Z,37.00,64.00
2025-10-06T04:03:00Z,37.00,64.00
2025-10-06T04:13:00Z,37.00,64.00
2025-10-06T04:14:00Z,37.00,64.00
2025-10-06T04:29:00Z,36.00,64.00
2025-10-06T04:35:00Z,37.00,64.00
2025-10-06T05:10:00Z,37.00,64.00
2025-10-06T05:16:00Z,37.00,64.00
2025-10-06T05:22:00Z,37.00,64.00
2025-10-06T05:31:00Z,37.00,64.00
2025-10-06T05:32:00Z,37.00,64.00
2025-10-06T05:36:00Z,37.00,64.00
2025-10-06T05:37:00Z,37.00,64.00
2025-10-06T05:46:00Z,37.00,64.00
2025-10-06T05:48:00Z,37.00,64.46
2025-10-06T06:00:00Z,37.00,65.00
2025-10-06T06:04:00Z,37.00,65.00
2025-10-06T06:11:00Z,37.00,65.00
2025-10-06T06:12:00Z,37.00,65.00
2025-10-06T06:32:00Z,37.00,65.00
2025-10-06T06:46:00Z,37.00,63.00
2025-10-06T06:54:00Z,37.00,65.00
2025-10-06T06:55:00Z,37.00,65.00
2025-10-06T07:05:00Z,37.00,65.00
2025-10-06T07:21:00Z,37.00,65.00
2025-10-06T07:32:00Z,37.00,64.00
2025-10-06T07:51:00Z,37.00,64.00
2025-10-06T08:03:00Z,37.00,64.00
2025-10-06T08:13:00Z,37.00,64.00
2025-10-06T08:18:00Z,37.00,64.00
2025-10-06T08:19:00Z,37.00,64.00
2025-10-06T08:33:00Z,37.00,64.00
2025-10-06T08:41:00Z,37.00,64.00
2025-10-06T08:48:00Z,37.00,64.00
2025-10-06T08:57:00Z,37.00,64.86
2025-10-06T09:13:00Z,36.00,64.86
2025-10-06T09:16:00Z,36.49,64.86
2025-10-06T09:25:00Z,36.49,65.00
2025-10-06T09:26:00Z,36.49,65.00
2025-10-06T09:28:00Z,36.49,65.15
2025-10-06T09:32:00Z,36.49,66.00
2025-10-06T09:39:00Z,36.49,66.00
2025-10-06T09:40:00Z,36.49,66.00
2025-10-06T09:44:00Z,36.49,66.00
2025-10-06T09:48:00Z,36.49,66.00
2025-10-06T09:50:00Z,36.00,66.00
2025-10-06T09:58:00Z,36.00,66.00
2025-10-06T10:00:00Z,36.00,66.00
2025-10-06T10:02:00Z,36.00,66.00
2025-10-06T10:08:00Z,36.00,66.00
2025-10-06T10:34:00Z,36.00,66.00
2025-10-06T10:35:00Z,36.00,66.00
2025-10-06T10:46:00Z,35.00,66.00
2025-10-06T10:49:00Z,35.00,67.00
2025-10-06T10:50:00Z,35.00,67.00
2025-10-06T10:51:00Z,35.00,67.00
2025-10-06T11:05:00Z,35.00,67.00
2025-10-06T11:06:00Z,35.00,67.00
2025-10-06T11:07:00Z,35.00,67.00
2025-10-06T11:08:00Z,35.00,67.00
2025-10-06T11:10:00Z,35.00,67.00
2025-10-06T11:11:00Z,35.00,67.00
2025-10-06T11:17:00Z,34.00,66.00
2025-10-06T11:18:00Z,34.00,66.00
2025-10-06T11:25:00Z,34.00,66.00
2025-10-06T11:28:00Z,34.00,67.00
2025-10-06T11:30:00Z,35.00,67.00
2025-10-06T11:31:00Z,35.00,67.00
2025-10-06T11:34:00Z,35.00,67.00
2025-10-06T11:40:00Z,35.00,66.00
2025-10-06T11:46:00Z,35.00,66.00
2025-10-06T11:48:00Z,35.00,66.00
2025-10-06T11:50:00Z,35.00,67.00
2025-10-06T11:51:00Z,35.00,67.00
