# event_ticker=KXATPCHALLENGERMATCH-26MAY28HENKOE
# final_score=6-2 6-2
# match_winner=Philip Henning
# fav_player=Philip Henning
# dog_player=Luc Koenig
# kalshi_date=2026-05-28
timestamp,Philip Henning,Luc Koenig
2026-05-28T01:07:00Z,81.00,
2026-05-28T02:52:00Z,81.00,19.00
2026-05-28T03:00:00Z,84.54,19.00
2026-05-28T03:16:00Z,85.00,19.00
2026-05-28T03:52:00Z,85.00,18.00
2026-05-28T04:34:00Z,85.00,16.00
2026-05-28T04:52:00Z,84.00,16.00
2026-05-28T05:09:00Z,84.00,16.00
2026-05-28T05:11:00Z,84.00,18.79
2026-05-28T05:36:00Z,84.00,18.79
2026-05-28T05:41:00Z,84.00,18.79
2026-05-28T06:29:00Z,84.00,18.00
2026-05-28T06:37:00Z,84.00,18.00
2026-05-28T09:31:00Z,84.00,18.51
2026-05-28T09:32:00Z,84.00,20.00
2026-05-28T09:33:00Z,83.00,16.36
2026-05-28T09:34:00Z,85.36,16.36
2026-05-28T09:35:00Z,89.03,11.00
2026-05-28T09:36:00Z,90.00,11.00
2026-05-28T09:37:00Z,92.00,10.00
2026-05-28T09:39:00Z,92.00,9.00
2026-05-28T09:40:00Z,94.00,6.00
2026-05-28T09:41:00Z,94.00,7.00
2026-05-28T09:42:00Z,93.44,6.00
2026-05-28T09:43:00Z,94.00,6.00
2026-05-28T09:44:00Z,94.00,6.00
2026-05-28T09:46:00Z,95.00,6.00
2026-05-28T09:47:00Z,95.01,5.00
2026-05-28T09:48:00Z,96.00,5.00
2026-05-28T09:49:00Z,96.00,6.00
2026-05-28T09:50:00Z,95.00,6.00
2026-05-28T09:51:00Z,95.00,6.00
2026-05-28T09:53:00Z,95.00,6.00
2026-05-28T09:55:00Z,95.00,6.00
2026-05-28T09:56:00Z,95.00,6.00
2026-05-28T09:58:00Z,95.04,6.00
2026-05-28T09:59:00Z,94.00,6.08
2026-05-28T10:00:00Z,95.00,6.08
2026-05-28T10:01:00Z,95.00,5.00
2026-05-28T10:02:00Z,95.94,4.00
2026-05-28T10:03:00Z,96.00,4.00
2026-05-28T10:04:00Z,96.00,5.00
2026-05-28T10:05:00Z,98.00,2.11
2026-05-28T10:06:00Z,98.00,5.00
2026-05-28T10:07:00Z,98.00,4.00
2026-05-28T10:10:00Z,98.00,4.00
2026-05-28T10:15:00Z,98.00,4.00
2026-05-28T10:18:00Z,98.00,4.00
2026-05-28T10:21:00Z,98.00,4.00
2026-05-28T10:22:00Z,97.00,4.00
2026-05-28T10:23:00Z,97.00,5.00
2026-05-28T10:24:00Z,94.79,5.41
2026-05-28T10:25:00Z,94.79,5.00
2026-05-28T10:27:00Z,97.93,5.00
2026-05-28T10:28:00Z,98.00,5.00
2026-05-28T10:29:00Z,98.00,1.00
2026-05-28T10:30:00Z,99.00,1.00
2026-05-28T10:31:00Z,99.00,1.00
2026-05-28T10:32:00Z,98.87,1.00
2026-05-28T10:33:00Z,98.87,1.00
2026-05-28T10:35:00Z,98.87,1.00
2026-05-28T10:36:00Z,99.00,1.00
