# event_ticker=KXATPCHALLENGERMATCH-26MAR31MELAGU
# final_score=3-6 6-0 2-0 RET
# match_winner=Felipe Meligeni Alves
# fav_player=Felipe Meligeni Alves
# dog_player=Joaquin Aguilar Cardozo
# kalshi_date=2026-03-31
timestamp,Felipe Meligeni Alves,Joaquin Aguilar Cardozo
2026-03-31T06:49:00Z,74.00,
2026-03-31T07:01:00Z,74.00,27.00
2026-03-31T07:59:00Z,71.00,27.00
2026-03-31T11:07:00Z,69.00,27.00
2026-03-31T12:01:00Z,69.00,27.00
2026-03-31T12:36:00Z,69.00,32.00
2026-03-31T14:43:00Z,71.00,32.00
2026-03-31T15:32:00Z,71.00,32.00
2026-03-31T15:51:00Z,71.00,30.00
2026-03-31T16:00:00Z,71.00,30.00
2026-03-31T16:01:00Z,72.00,30.00
2026-03-31T16:10:00Z,72.00,30.00
2026-03-31T16:24:00Z,72.00,30.00
2026-03-31T16:25:00Z,72.00,30.00
2026-03-31T17:07:00Z,71.00,30.00
2026-03-31T17:12:00Z,71.00,30.00
2026-03-31T17:16:00Z,71.00,30.00
2026-03-31T17:22:00Z,71.00,30.00
2026-03-31T17:50:00Z,71.00,30.00
2026-03-31T18:00:00Z,71.00,30.00
2026-03-31T18:01:00Z,71.00,30.00
2026-03-31T18:02:00Z,71.00,30.00
2026-03-31T18:05:00Z,71.00,30.00
2026-03-31T18:06:00Z,71.00,30.00
2026-03-31T18:08:00Z,69.00,31.63
2026-03-31T18:09:00Z,69.00,32.38
2026-03-31T18:10:00Z,69.00,33.00
2026-03-31T18:11:00Z,68.00,32.56
2026-03-31T18:13:00Z,70.00,32.56
2026-03-31T18:15:00Z,70.00,29.19
2026-03-31T18:16:00Z,72.65,24.36
2026-03-31T18:17:00Z,78.00,22.00
2026-03-31T18:18:00Z,76.14,25.67
2026-03-31T18:19:00Z,76.14,31.13
2026-03-31T18:20:00Z,67.00,31.13
2026-03-31T18:21:00Z,70.67,30.00
2026-03-31T18:22:00Z,68.00,30.00
2026-03-31T18:23:00Z,68.00,31.34
2026-03-31T18:24:00Z,73.00,31.34
2026-03-31T18:25:00Z,71.84,31.34
2026-03-31T18:26:00Z,75.41,28.09
2026-03-31T18:27:00Z,76.00,28.92
2026-03-31T18:28:00Z,73.88,26.80
2026-03-31T18:29:00Z,69.86,31.49
2026-03-31T18:30:00Z,72.00,29.81
2026-03-31T18:31:00Z,69.00,32.11
2026-03-31T18:32:00Z,67.00,34.00
2026-03-31T18:33:00Z,67.92,36.00
2026-03-31T18:34:00Z,65.56,35.00
2026-03-31T18:35:00Z,64.02,34.84
2026-03-31T18:36:00Z,63.13,41.86
