# event_ticker=KXATPMATCH-25SEP18MCDVAN
# final_score=6-4 3-6 6-3
# score_resolution=4-6 6-3 3-6
# match_winner=Mackenzie McDonald
# fav_player=Botic Van de Zandschulp
# dog_player=Mackenzie McDonald
# kalshi_date=2025-09-18
timestamp,Botic Van de Zandschulp,Mackenzie McDonald
2025-09-17T22:12:00Z,54.00,
2025-09-17T23:50:00Z,54.00,
2025-09-17T23:52:00Z,54.00,
2025-09-18T01:21:00Z,54.00,
2025-09-18T01:27:00Z,54.00,
2025-09-18T01:50:00Z,54.00,
2025-09-18T01:54:00Z,54.00,47.00
2025-09-18T01:57:00Z,54.00,47.00
2025-09-18T02:20:00Z,54.00,47.00
2025-09-18T02:30:00Z,54.00,47.00
2025-09-18T02:43:00Z,54.00,47.00
2025-09-18T02:51:00Z,54.00,47.00
2025-09-18T03:02:00Z,54.00,47.00
2025-09-18T03:13:00Z,54.00,47.93
2025-09-18T03:14:00Z,53.00,47.93
2025-09-18T03:16:00Z,53.00,48.00
2025-09-18T03:24:00Z,54.00,48.00
2025-09-18T03:29:00Z,52.97,48.00
2025-09-18T03:42:00Z,52.00,48.00
2025-09-18T03:43:00Z,51.00,49.00
2025-09-18T04:00:00Z,51.00,50.00
2025-09-18T04:15:00Z,51.00,50.00
2025-09-18T04:22:00Z,51.00,50.00
2025-09-18T04:26:00Z,51.00,50.00
2025-09-18T04:28:00Z,51.00,50.00
2025-09-18T04:32:00Z,51.00,50.00
2025-09-18T04:33:00Z,51.00,50.00
2025-09-18T04:35:00Z,51.00,50.00
2025-09-18T04:37:00Z,51.00,50.00
2025-09-18T04:40:00Z,51.00,50.00
2025-09-18T04:44:00Z,51.00,50.00
2025-09-18T04:56:00Z,51.00,50.00
2025-09-18T05:06:00Z,51.00,50.00
2025-09-18T05:28:00Z,51.00,50.00
2025-09-18T05:45:00Z,51.00,50.00
2025-09-18T05:46:00Z,51.00,50.00
2025-09-18T05:50:00Z,51.00,50.00
2025-09-18T05:52:00Z,51.00,50.00
2025-09-18T06:07:00Z,51.00,50.00
2025-09-18T06:08:00Z,51.00,50.00
2025-09-18T06:13:00Z,51.00,50.00
2025-09-18T06:14:00Z,51.00,49.00
2025-09-18T06:22:00Z,51.00,49.00
2025-09-18T06:32:00Z,51.00,49.00
2025-09-18T06:37:00Z,51.00,50.00
2025-09-18T06:38:00Z,51.74,50.00
2025-09-18T06:42:00Z,51.74,49.00
2025-09-18T06:50:00Z,52.00,49.00
2025-09-18T06:51:00Z,52.00,49.00
2025-09-18T06:55:00Z,52.00,49.00
2025-09-18T07:00:00Z,52.00,49.00
2025-09-18T09:02:00Z,52.00,45.00
2025-09-18T09:03:00Z,59.00,45.00
2025-09-18T09:04:00Z,59.57,45.00
2025-09-18T09:05:00Z,59.57,45.00
2025-09-18T09:07:00Z,59.57,48.88
2025-09-18T09:08:00Z,59.57,52.00
2025-09-18T09:09:00Z,59.57,63.54
2025-09-18T09:11:00Z,49.33,53.00
2025-09-18T09:12:00Z,27.40,71.96
2025-09-18T09:13:00Z,26.00,79.82
2025-09-18T09:14:00Z,22.67,88.00
2025-09-18T09:15:00Z,23.31,76.00
2025-09-18T09:16:00Z,19.37,84.66
2025-09-18T09:17:00Z,19.35,85.94
2025-09-18T09:18:00Z,16.00,86.00
2025-09-18T09:19:00Z,12.31,88.00
2025-09-18T09:20:00Z,14.97,91.00
2025-09-18T09:21:00Z,26.00,88.11
2025-09-18T09:22:00Z,12.00,91.11
2025-09-18T09:23:00Z,17.08,88.00
2025-09-18T09:24:00Z,24.47,73.39
2025-09-18T09:25:00Z,19.38,79.34
2025-09-18T09:26:00Z,14.00,85.00
2025-09-18T09:27:00Z,14.00,71.18
2025-09-18T09:28:00Z,14.00,87.00
2025-09-18T09:29:00Z,26.00,87.00
2025-09-18T09:30:00Z,10.00,87.00
2025-09-18T09:31:00Z,10.00,96.44
2025-09-18T09:33:00Z,10.00,95.64
2025-09-18T09:34:00Z,10.00,99.00
2025-09-18T09:35:00Z,3.00,99.00
2025-09-18T09:36:00Z,5.00,98.50
2025-09-18T09:37:00Z,5.00,95.00
2025-09-18T09:38:00Z,5.00,95.00
2025-09-18T09:39:00Z,8.00,95.00
2025-09-18T09:40:00Z,9.26,91.86
2025-09-18T09:41:00Z,10.00,94.00
2025-09-18T09:42:00Z,26.00,78.00
2025-09-18T09:43:00Z,26.97,71.62
2025-09-18T09:44:00Z,20.47,77.00
2025-09-18T09:46:00Z,20.47,86.00
2025-09-18T09:47:00Z,20.47,99.00
2025-09-18T09:49:00Z,20.47,99.00
2025-09-18T09:50:00Z,20.47,99.00
