# event_ticker=KXATPCHALLENGERMATCH-26FEB24GOMPOU
# final_score=6-4 6-3
# match_winner=Lucas Poullain
# fav_player=Lucas Poullain
# dog_player=Norbert Gombos
# kalshi_date=2026-02-24
timestamp,Lucas Poullain,Norbert Gombos
2026-02-24T02:39:00Z,,52.00
2026-02-24T03:40:00Z,,52.00
2026-02-24T05:03:00Z,51.85,52.00
2026-02-24T05:11:00Z,51.85,51.00
2026-02-24T05:50:00Z,51.85,51.00
2026-02-24T06:07:00Z,52.00,51.00
2026-02-24T06:20:00Z,52.00,51.00
2026-02-24T06:48:00Z,52.00,51.00
2026-02-24T07:16:00Z,52.00,49.00
2026-02-24T07:22:00Z,54.00,49.00
2026-02-24T08:19:00Z,54.00,49.00
2026-02-24T09:26:00Z,53.00,50.00
2026-02-24T09:55:00Z,53.00,50.00
2026-02-24T09:56:00Z,54.00,50.00
2026-02-24T10:08:00Z,54.00,50.00
2026-02-24T10:26:00Z,51.00,50.00
2026-02-24T10:34:00Z,51.00,50.00
2026-02-24T11:08:00Z,50.00,50.00
2026-02-24T11:14:00Z,50.00,52.00
2026-02-24T11:39:00Z,50.00,52.00
2026-02-24T11:40:00Z,50.00,52.00
2026-02-24T12:21:00Z,50.00,53.00
2026-02-24T12:32:00Z,51.00,53.00
2026-02-24T12:34:00Z,51.00,53.00
2026-02-24T12:52:00Z,51.00,54.00
2026-02-24T12:55:00Z,51.00,51.00
2026-02-24T13:02:00Z,50.00,51.00
2026-02-24T13:04:00Z,50.00,51.00
2026-02-24T13:12:00Z,50.00,53.00
2026-02-24T13:13:00Z,50.00,53.21
2026-02-24T13:14:00Z,49.00,54.00
2026-02-24T13:15:00Z,49.00,53.00
2026-02-24T13:16:00Z,49.00,55.00
2026-02-24T13:17:00Z,49.00,55.00
2026-02-24T13:20:00Z,48.75,55.00
2026-02-24T13:21:00Z,45.00,55.00
2026-02-24T13:24:00Z,45.00,51.00
2026-02-24T13:25:00Z,46.00,51.00
2026-02-24T13:26:00Z,48.00,54.00
2026-02-24T13:28:00Z,55.29,45.91
2026-02-24T13:29:00Z,63.38,40.04
2026-02-24T13:30:00Z,65.00,36.00
2026-02-24T13:31:00Z,63.20,41.00
2026-02-24T13:32:00Z,65.82,36.78
2026-02-24T13:33:00Z,67.77,34.00
2026-02-24T13:34:00Z,72.14,34.00
2026-02-24T13:35:00Z,73.00,26.00
2026-02-24T13:36:00Z,73.00,31.13
2026-02-24T13:37:00Z,70.00,32.00
2026-02-24T13:38:00Z,70.00,29.71
2026-02-24T13:39:00Z,73.80,28.63
2026-02-24T13:40:00Z,75.00,28.63
2026-02-24T13:41:00Z,75.00,26.73
2026-02-24T13:42:00Z,76.88,26.29
2026-02-24T13:43:00Z,74.55,26.49
2026-02-24T13:44:00Z,72.76,25.72
2026-02-24T13:45:00Z,72.76,26.79
2026-02-24T13:46:00Z,72.76,27.26
2026-02-24T13:47:00Z,72.76,29.92
2026-02-24T13:48:00Z,70.00,34.00
2026-02-24T13:49:00Z,67.17,39.86
2026-02-24T13:50:00Z,56.53,44.19
2026-02-24T13:51:00Z,57.44,48.66
2026-02-24T13:52:00Z,52.00,49.46
2026-02-24T13:53:00Z,52.00,49.71
2026-02-24T13:54:00Z,54.00,50.80
2026-02-24T13:55:00Z,63.50,46.45
2026-02-24T13:56:00Z,58.79,43.00
2026-02-24T13:57:00Z,66.84,45.00
2026-02-24T13:58:00Z,68.06,35.00
2026-02-24T13:59:00Z,68.44,35.00
2026-02-24T14:00:00Z,67.11,35.00
2026-02-24T14:01:00Z,66.00,35.77
2026-02-24T14:02:00Z,72.63,35.04
2026-02-24T14:03:00Z,76.14,30.33
2026-02-24T14:04:00Z,75.00,30.05
2026-02-24T14:05:00Z,75.00,31.70
2026-02-24T14:06:00Z,76.60,28.68
2026-02-24T14:07:00Z,81.22,19.44
2026-02-24T14:08:00Z,76.85,25.34
2026-02-24T14:09:00Z,59.82,37.15
2026-02-24T14:10:00Z,57.57,41.82
2026-02-24T14:11:00Z,64.46,36.06
2026-02-24T14:12:00Z,69.54,31.66
2026-02-24T14:13:00Z,78.74,24.22
2026-02-24T14:14:00Z,75.07,27.63
2026-02-24T14:15:00Z,75.07,29.74
2026-02-24T14:16:00Z,67.76,32.55
2026-02-24T14:17:00Z,69.53,31.74
2026-02-24T14:18:00Z,73.11,26.44
2026-02-24T14:19:00Z,75.62,26.02
2026-02-24T14:20:00Z,72.67,28.53
2026-02-24T14:21:00Z,77.74,25.27
2026-02-24T14:22:00Z,84.81,18.96
2026-02-24T14:23:00Z,87.79,12.99
2026-02-24T14:24:00Z,89.68,11.50
2026-02-24T14:25:00Z,88.57,13.12
2026-02-24T14:26:00Z,90.63,12.48
2026-02-24T14:27:00Z,90.38,10.95
2026-02-24T14:28:00Z,91.63,9.12
2026-02-24T14:29:00Z,88.83,12.75
2026-02-24T14:30:00Z,89.38,11.77
2026-02-24T14:31:00Z,87.65,12.62
2026-02-24T14:32:00Z,89.53,10.00
2026-02-24T14:33:00Z,89.70,10.80
2026-02-24T14:34:00Z,91.00,10.96
2026-02-24T14:35:00Z,90.00,11.55
2026-02-24T14:36:00Z,90.63,11.72
2026-02-24T14:37:00Z,88.32,11.99
2026-02-24T14:38:00Z,89.33,12.53
2026-02-24T14:39:00Z,90.99,10.83
2026-02-24T14:40:00Z,90.64,10.06
2026-02-24T14:41:00Z,93.58,9.41
2026-02-24T14:42:00Z,94.05,8.42
2026-02-24T14:43:00Z,94.62,7.31
2026-02-24T14:44:00Z,95.67,7.56
2026-02-24T14:45:00Z,93.10,7.96
2026-02-24T14:46:00Z,96.17,7.09
2026-02-24T14:47:00Z,96.24,5.59
2026-02-24T14:48:00Z,91.29,9.00
2026-02-24T14:49:00Z,92.00,8.85
2026-02-24T14:50:00Z,91.16,9.31
2026-02-24T14:51:00Z,90.71,6.85
2026-02-24T14:52:00Z,88.57,10.81
2026-02-24T14:53:00Z,88.77,13.77
2026-02-24T14:54:00Z,87.40,16.72
2026-02-24T14:55:00Z,90.11,11.30
2026-02-24T14:56:00Z,94.11,6.26
2026-02-24T14:57:00Z,96.80,4.36
2026-02-24T14:58:00Z,98.04,2.40
2026-02-24T14:59:00Z,97.04,2.60
2026-02-24T15:00:00Z,99.00,1.08
2026-02-24T15:01:00Z,99.00,1.08
2026-02-24T15:02:00Z,99.00,1.08
