# event_ticker=KXATPMATCH-25OCT04ZVEROY
# final_score=6-4 6-4
# match_winner=Alexander Zverev
# fav_player=Alexander Zverev
# dog_player=Valentin Royer
# kalshi_date=2025-10-04
timestamp,Alexander Zverev,Valentin Royer
2025-10-03T19:49:00Z,71.00,33.00
2025-10-03T19:58:00Z,80.00,33.00
2025-10-03T20:05:00Z,79.00,33.00
2025-10-03T20:06:00Z,79.00,33.00
2025-10-03T20:12:00Z,79.00,23.00
2025-10-03T20:21:00Z,78.00,23.00
2025-10-03T20:23:00Z,77.00,23.00
2025-10-03T20:25:00Z,78.00,23.00
2025-10-03T21:04:00Z,77.00,23.00
2025-10-03T21:09:00Z,78.00,23.00
2025-10-03T21:15:00Z,78.00,23.00
2025-10-03T21:23:00Z,77.00,23.00
2025-10-03T21:41:00Z,77.00,24.00
2025-10-03T21:45:00Z,77.00,24.00
2025-10-03T21:50:00Z,77.00,24.00
2025-10-03T21:56:00Z,77.00,24.00
2025-10-03T21:59:00Z,77.00,24.00
2025-10-03T22:03:00Z,77.00,24.00
2025-10-03T22:08:00Z,77.00,24.00
2025-10-03T22:17:00Z,77.00,24.00
2025-10-03T22:19:00Z,77.00,24.00
2025-10-03T22:35:00Z,77.00,24.00
2025-10-03T22:41:00Z,77.00,24.00
2025-10-03T22:42:00Z,77.00,24.00
2025-10-03T22:57:00Z,77.00,24.00
2025-10-03T23:44:00Z,77.00,24.00
2025-10-03T23:47:00Z,77.00,24.00
2025-10-03T23:49:00Z,77.00,23.00
2025-10-04T00:02:00Z,77.00,23.00
2025-10-04T00:25:00Z,77.00,24.00
2025-10-04T00:32:00Z,77.00,23.00
2025-10-04T00:34:00Z,77.00,23.00
2025-10-04T00:38:00Z,77.00,23.00
2025-10-04T00:47:00Z,77.00,24.00
2025-10-04T00:57:00Z,77.00,24.00
2025-10-04T01:00:00Z,77.00,24.00
2025-10-04T01:23:00Z,77.00,24.00
2025-10-04T01:26:00Z,77.00,24.00
2025-10-04T01:52:00Z,77.00,24.00
2025-10-04T01:57:00Z,77.00,24.00
2025-10-04T02:09:00Z,77.00,24.00
2025-10-04T02:24:00Z,77.00,23.16
2025-10-04T02:30:00Z,77.00,24.00
2025-10-04T02:38:00Z,77.00,24.00
2025-10-04T02:41:00Z,77.00,24.00
2025-10-04T02:45:00Z,77.00,24.00
2025-10-04T02:51:00Z,77.00,24.00
2025-10-04T02:53:00Z,77.00,24.00
2025-10-04T02:55:00Z,77.00,24.00
2025-10-04T03:01:00Z,77.00,24.00
2025-10-04T03:08:00Z,76.00,24.00
2025-10-04T03:09:00Z,76.00,24.00
2025-10-04T03:10:00Z,77.00,24.00
2025-10-04T03:20:00Z,77.00,24.00
